spec,family,dep,horizon,winsor,cov,controls,N,R2,b_de,t_de,p_de,b_lsv,t_lsv,p_lsv,b_risk_asym,t_risk_asym,p_risk_asym,fe
S1-01,cross_section,ff5_adj_return,-,True,HC1,base,358,0.134,-0.06912,-4.83,0.0,0.17832,3.22,0.0013,0.11141,3.27,0.0011,
S1-02,cross_section,ff5_adj_return,-,True,HC1,mid,358,0.1641,-0.06782,-4.76,0.0,0.1074,1.99,0.0464,0.0961,2.82,0.0048,
S1-03,cross_section,ff5_adj_return,-,True,HC1,full,358,0.2295,-0.07717,-5.26,0.0,0.13024,2.43,0.0152,0.11773,2.47,0.0136,
S1-04,cross_section,ff5_adj_return,-,True,HC3,base,358,0.134,-0.06912,-4.75,0.0,0.17832,3.18,0.0015,0.11141,3.21,0.0013,
S1-05,cross_section,ff5_adj_return,-,True,HC3,mid,358,0.1641,-0.06782,-4.68,0.0,0.1074,1.96,0.0499,0.0961,2.76,0.0058,
S1-06,cross_section,ff5_adj_return,-,True,HC3,full,358,0.2295,-0.07717,-5.12,0.0,0.13024,2.35,0.0187,0.11773,2.4,0.0164,
S1-07,cross_section,ff5_adj_return,-,True,classic,base,358,0.134,-0.06912,-4.75,0.0,0.17832,3.53,0.0005,0.11141,3.57,0.0004,
S1-08,cross_section,ff5_adj_return,-,True,classic,mid,358,0.1641,-0.06782,-4.68,0.0,0.1074,2.0,0.0462,0.0961,3.09,0.0022,
S1-09,cross_section,ff5_adj_return,-,True,classic,full,358,0.2295,-0.07717,-5.11,0.0,0.13024,2.44,0.015,0.11773,2.66,0.0083,
S1-10,cross_section,ff5_adj_return,-,False,HC1,base,358,0.1255,-0.06871,-4.91,0.0,0.16797,2.88,0.004,0.10409,2.93,0.0034,
S1-11,cross_section,ff5_adj_return,-,False,HC1,mid,358,0.1568,-0.06748,-4.84,0.0,0.09703,1.73,0.0835,0.0888,2.5,0.0123,
S1-12,cross_section,ff5_adj_return,-,False,HC1,full,358,0.2221,-0.07708,-5.37,0.0,0.12051,2.19,0.0284,0.10241,2.06,0.0392,
S1-13,cross_section,ff5_adj_return,-,False,HC3,base,358,0.1255,-0.06871,-4.82,0.0,0.16797,2.82,0.0048,0.10409,2.86,0.0043,
S1-14,cross_section,ff5_adj_return,-,False,HC3,mid,358,0.1568,-0.06748,-4.73,0.0,0.09703,1.69,0.0904,0.0888,2.44,0.0146,
S1-15,cross_section,ff5_adj_return,-,False,HC3,full,358,0.2221,-0.07708,-5.22,0.0,0.12051,2.12,0.0343,0.10241,2.0,0.0451,
S1-16,cross_section,ff5_adj_return,-,False,classic,base,358,0.1255,-0.06871,-4.75,0.0,0.16797,3.28,0.0011,0.10409,3.37,0.0008,
S1-17,cross_section,ff5_adj_return,-,False,classic,mid,358,0.1568,-0.06748,-4.69,0.0,0.09703,1.79,0.0738,0.0888,2.89,0.0041,
S1-18,cross_section,ff5_adj_return,-,False,classic,full,358,0.2221,-0.07708,-5.16,0.0,0.12051,2.25,0.0252,0.10241,2.3,0.0219,
S1-19,cross_section,excess_return,-,True,HC1,base,358,0.0927,-0.08098,-3.29,0.001,0.17295,2.29,0.0222,0.15586,2.6,0.0094,
S1-20,cross_section,excess_return,-,True,HC1,mid,358,0.1154,-0.08526,-3.51,0.0004,0.10497,1.3,0.1925,0.13359,2.35,0.0188,
S1-21,cross_section,excess_return,-,True,HC1,full,358,0.199,-0.05539,-2.17,0.0301,0.05154,0.65,0.5163,-0.00881,-0.14,0.8861,
S1-22,cross_section,excess_return,-,True,HC3,base,358,0.0927,-0.08098,-3.23,0.0012,0.17295,2.25,0.0244,0.15586,2.54,0.0112,
S1-23,cross_section,excess_return,-,True,HC3,mid,358,0.1154,-0.08526,-3.44,0.0006,0.10497,1.28,0.2001,0.13359,2.29,0.022,
S1-24,cross_section,excess_return,-,True,HC3,full,358,0.199,-0.05539,-2.09,0.0363,0.05154,0.63,0.5284,-0.00881,-0.14,0.8892,
S1-25,cross_section,excess_return,-,True,classic,base,358,0.0927,-0.08098,-3.78,0.0002,0.17295,2.32,0.0209,0.15586,3.39,0.0008,
S1-26,cross_section,excess_return,-,True,classic,mid,358,0.1154,-0.08526,-3.97,0.0001,0.10497,1.32,0.1879,0.13359,2.89,0.004,
S1-27,cross_section,excess_return,-,True,classic,full,358,0.199,-0.05539,-2.5,0.0129,0.05154,0.66,0.5106,-0.00881,-0.14,0.8924,
S1-28,cross_section,excess_return,-,False,HC1,base,358,0.0991,-0.08903,-3.44,0.0006,0.18102,2.39,0.0169,0.15632,2.24,0.0254,
S1-29,cross_section,excess_return,-,False,HC1,mid,358,0.1229,-0.09333,-3.67,0.0002,0.11018,1.32,0.1854,0.13377,2.01,0.0442,
S1-30,cross_section,excess_return,-,False,HC1,full,358,0.1897,-0.06562,-2.57,0.0103,0.05025,0.61,0.5408,-0.04882,-0.73,0.4675,
S1-31,cross_section,excess_return,-,False,HC3,base,358,0.0991,-0.08903,-3.36,0.0008,0.18102,2.33,0.0195,0.15632,2.13,0.0332,
S1-32,cross_section,excess_return,-,False,HC3,mid,358,0.1229,-0.09333,-3.58,0.0003,0.11018,1.29,0.1973,0.13377,1.91,0.0557,
S1-33,cross_section,excess_return,-,False,HC3,full,358,0.1897,-0.06562,-2.46,0.0138,0.05025,0.59,0.555,-0.04882,-0.69,0.4877,
S1-34,cross_section,excess_return,-,False,classic,base,358,0.0991,-0.08903,-4.13,0.0,0.18102,2.37,0.0183,0.15632,3.4,0.0008,
S1-35,cross_section,excess_return,-,False,classic,mid,358,0.1229,-0.09333,-4.32,0.0,0.11018,1.36,0.1753,0.13377,2.9,0.004,
S1-36,cross_section,excess_return,-,False,classic,full,358,0.1897,-0.06562,-2.93,0.0037,0.05025,0.62,0.5326,-0.04882,-0.73,0.4648,
S2-37,forward,excess_return,1q,True,cluster(fund),mid,2264,0.4253,-0.01819,-1.03,0.3015,-0.27051,-3.35,0.0008,-0.0899,-1.07,0.2857,year
S2-38,forward,excess_return,1q,True,cluster(fund),mid,2264,0.49,-0.01771,-0.76,0.4478,-0.41805,-3.65,0.0003,-0.06541,-0.5,0.6147,fund+year
S2-39,forward,excess_return,1q,True,cluster(fund),full,2264,0.4605,-0.0083,-0.46,0.6469,-0.28826,-3.53,0.0004,-0.1213,-1.38,0.1676,year
S2-40,forward,excess_return,1q,True,cluster(fund),full,2264,0.5155,-0.012,-0.51,0.6101,-0.39877,-3.52,0.0004,-0.06113,-0.49,0.6231,fund+year
S2-41,forward,excess_return,1q,False,cluster(fund),mid,2264,0.4218,-0.01972,-1.16,0.2445,-0.24386,-3.28,0.001,-0.08557,-1.07,0.2834,year
S2-42,forward,excess_return,1q,False,cluster(fund),mid,2264,0.4866,-0.01887,-0.83,0.406,-0.3828,-3.61,0.0003,-0.05169,-0.43,0.6688,fund+year
S2-43,forward,excess_return,1q,False,cluster(fund),full,2264,0.456,-0.00734,-0.42,0.6731,-0.28381,-3.74,0.0002,-0.1334,-1.57,0.1173,year
S2-44,forward,excess_return,1q,False,cluster(fund),full,2264,0.5113,-0.01319,-0.57,0.5699,-0.40869,-3.91,0.0001,-0.10651,-0.86,0.389,fund+year
S2-45,forward,excess_return,4q,True,cluster(fund),mid,2264,0.5275,-0.03569,-6.08,0.0,-0.01511,-0.59,0.5577,0.16497,4.34,0.0,year
S2-46,forward,excess_return,4q,True,cluster(fund),mid,2264,0.6059,-0.03772,-5.25,0.0,-0.05475,-1.57,0.1168,0.17985,3.26,0.0011,fund+year
S2-47,forward,excess_return,4q,True,cluster(fund),full,2264,0.569,-0.03299,-5.8,0.0,-0.03604,-1.31,0.1888,0.12169,3.33,0.0009,year
S2-48,forward,excess_return,4q,True,cluster(fund),full,2264,0.6351,-0.03734,-5.26,0.0,-0.06102,-1.72,0.0854,0.13903,2.84,0.0045,fund+year
S2-49,forward,excess_return,4q,False,cluster(fund),mid,2264,0.522,-0.03495,-6.28,0.0,-0.02093,-0.78,0.4348,0.17675,3.94,0.0001,year
S2-50,forward,excess_return,4q,False,cluster(fund),mid,2264,0.6033,-0.03607,-5.28,0.0,-0.05888,-1.67,0.0955,0.20457,3.13,0.0018,fund+year
S2-51,forward,excess_return,4q,False,cluster(fund),full,2264,0.5639,-0.03,-5.52,0.0,-0.04075,-1.44,0.1501,0.12417,3.47,0.0005,year
S2-52,forward,excess_return,4q,False,cluster(fund),full,2264,0.6328,-0.03437,-4.93,0.0,-0.07135,-2.03,0.0422,0.13424,2.88,0.004,fund+year
S3-53,within,excess_return,fund+year,True,cluster(fund),mid,2264,0.469,-0.06289,-5.2,0.0,0.17683,3.51,0.0004,0.19391,2.78,0.0054,
S3-54,within,excess_return,fund,True,cluster(fund),mid,2264,0.2164,-0.07144,-5.22,0.0,0.06835,1.19,0.2342,0.67349,9.68,0.0,
S3-55,within,excess_return,fund+year,True,cluster(fund),full,2264,0.5343,-0.06053,-5.75,0.0,0.12896,2.52,0.0116,0.05452,0.88,0.3775,
S3-56,within,excess_return,fund,True,cluster(fund),full,2264,0.3285,-0.07034,-5.9,0.0,0.04795,0.9,0.3682,0.49201,7.33,0.0,
S3-57,within,excess_return,fund+year,False,cluster(fund),mid,2264,0.4606,-0.06021,-4.78,0.0,0.13855,2.64,0.0083,0.20273,3.13,0.0017,
S3-58,within,excess_return,fund,False,cluster(fund),mid,2264,0.2089,-0.06864,-4.91,0.0,0.04457,0.83,0.4068,0.64522,7.97,0.0,
S3-59,within,excess_return,fund+year,False,cluster(fund),full,2264,0.5227,-0.05685,-4.98,0.0,0.1272,2.46,0.014,0.06978,1.16,0.2444,
S3-60,within,excess_return,fund,False,cluster(fund),full,2264,0.3173,-0.06762,-5.29,0.0,0.03198,0.6,0.5512,0.49933,7.75,0.0,
