variable,VIF,aux_R2,layer
ff5_CMA,10.5308,0.905,FF5
ff5_RMW,7.4991,0.8667,FF5
ff5_SMB,5.8387,0.8287,FF5
ff5_HML,5.5659,0.8203,FF5
ff5_MKT_excess,2.1625,0.5376,FF5
return_volatility,1.8328,0.4544,L4
log_aum,1.556,0.3573,CONT
log_fund_age,1.4789,0.3238,L1
ICI,1.473,0.3211,L2
AS_improved,1.4552,0.3128,L2
industry_hhi,1.3874,0.2792,L2
ARG,1.3331,0.2499,L4
TO_wind,1.2808,0.2192,L3
risk_asym,1.2632,0.2083,L5
mgr_total_tenure_v2,1.2408,0.194,L1
SDI,1.2099,0.1735,L3
lsv,1.1493,0.1299,L5
de,1.1139,0.1022,L5
