,log_aum,ff5_MKT_excess,ff5_SMB,ff5_HML,ff5_RMW,ff5_CMA,log_fund_age,mgr_total_tenure_v2,AS_improved,ICI,industry_hhi,SDI,TO_wind,ARG,return_volatility,de,lsv,risk_asym
log_aum,1.0,0.0173,-0.0074,0.0121,0.018,0.0215,0.3849,0.3032,0.089,-0.0745,-0.0727,0.2411,-0.4079,-0.2546,0.1876,0.0604,-0.0992,-0.0354
ff5_MKT_excess,0.0173,1.0,0.0597,-0.5525,-0.2224,-0.3488,0.056,0.0046,0.1205,0.0067,-0.0456,-0.0031,-0.0014,0.219,0.2719,-0.0365,-0.1179,0.2781
ff5_SMB,-0.0074,0.0597,1.0,0.0274,-0.8712,0.6712,0.1226,0.0411,0.1072,0.0333,-0.0884,-0.0492,-0.0166,-0.0346,-0.0201,0.2005,-0.099,0.0087
ff5_HML,0.0121,-0.5525,0.0274,1.0,0.0105,0.6465,0.0873,0.0751,0.0317,0.0819,0.0018,0.0132,-0.0363,-0.2399,-0.2942,0.0291,0.0717,-0.2689
ff5_RMW,0.018,-0.2224,-0.8712,0.0105,1.0,-0.6344,-0.1225,-0.0524,-0.0986,-0.0495,0.0628,0.0786,-0.024,0.0325,0.0447,-0.0994,0.077,-0.0693
ff5_CMA,0.0215,-0.3488,0.6712,0.6465,-0.6344,1.0,0.1017,0.0454,0.0428,0.0345,-0.0684,-0.0201,-0.0248,-0.1699,-0.1339,0.1588,-0.0668,-0.1547
log_fund_age,0.3849,0.056,0.1226,0.0873,-0.1225,0.1017,1.0,0.3549,0.0828,-0.1099,-0.1403,0.3031,-0.1502,-0.3011,-0.0201,0.0103,-0.1111,-0.1388
mgr_total_tenure_v2,0.3032,0.0046,0.0411,0.0751,-0.0524,0.0454,0.3549,1.0,0.0124,-0.1244,-0.024,0.093,-0.163,-0.1764,-0.0607,-0.0432,-0.0312,-0.1044
AS_improved,0.089,0.1205,0.1072,0.0317,-0.0986,0.0428,0.0828,0.0124,1.0,0.2597,0.0116,0.0996,-0.1315,-0.0159,0.3938,-0.0066,0.1118,-0.012
ICI,-0.0745,0.0067,0.0333,0.0819,-0.0495,0.0345,-0.1099,-0.1244,0.2597,1.0,0.4529,-0.0544,-0.0002,0.0958,0.184,-0.0131,0.1155,0.1096
industry_hhi,-0.0727,-0.0456,-0.0884,0.0018,0.0628,-0.0684,-0.1403,-0.024,0.0116,0.4529,1.0,-0.1055,-0.0485,0.1208,0.0705,0.0423,0.1756,0.1237
SDI,0.2411,-0.0031,-0.0492,0.0132,0.0786,-0.0201,0.3031,0.093,0.0996,-0.0544,-0.1055,1.0,-0.0993,-0.2592,0.0646,0.0473,-0.0401,-0.1331
TO_wind,-0.4079,-0.0014,-0.0166,-0.0363,-0.024,-0.0248,-0.1502,-0.163,-0.1315,-0.0002,-0.0485,-0.0993,1.0,0.1928,-0.0653,-0.0764,0.1262,0.0165
ARG,-0.2546,0.219,-0.0346,-0.2399,0.0325,-0.1699,-0.3011,-0.1764,-0.0159,0.0958,0.1208,-0.2592,0.1928,1.0,0.1677,-0.0793,0.0238,0.2017
return_volatility,0.1876,0.2719,-0.0201,-0.2942,0.0447,-0.1339,-0.0201,-0.0607,0.3938,0.184,0.0705,0.0646,-0.0653,0.1677,1.0,-0.0246,-0.0177,0.2871
de,0.0604,-0.0365,0.2005,0.0291,-0.0994,0.1588,0.0103,-0.0432,-0.0066,-0.0131,0.0423,0.0473,-0.0764,-0.0793,-0.0246,1.0,-0.0069,-0.0223
lsv,-0.0992,-0.1179,-0.099,0.0717,0.077,-0.0668,-0.1111,-0.0312,0.1118,0.1155,0.1756,-0.0401,0.1262,0.0238,-0.0177,-0.0069,1.0,-0.0857
risk_asym,-0.0354,0.2781,0.0087,-0.2689,-0.0693,-0.1547,-0.1388,-0.1044,-0.012,0.1096,0.1237,-0.1331,0.0165,0.2017,0.2871,-0.0223,-0.0857,1.0
