fund_code,year,quarter,anchor_high,cgo
11,2018,2,0.8611251739417953,0.0460768875468158
11,2018,4,0.6967467377898365,-0.13953897631856685
11,2019,2,0.8601563823195524,0.1783037254293376
11,2019,4,0.8617386297212205,0.15497382566976164
11,2020,1,0.7706127201107956,0.02803443790598614
11,2020,2,0.8954135312017577,0.20031966332060633
11,2020,3,0.9060983198680524,0.3027284756897731
11,2020,4,0.9217772683737009,0.3653772711709845
11,2021,1,0.9055547803487853,0.2425250530415134
11,2021,2,0.8620726386405211,0.13779824361285262
11,2021,3,0.7854626180562296,0.030170966012754832
11,2021,4,0.8281156525850604,0.09472362337429159
11,2022,1,0.6823422898553859,-0.10331286619528796
11,2022,2,0.7702195026693548,0.05507366247471353
11,2022,3,0.6792239915595621,-0.0831525643261752
11,2022,4,0.6980707606373843,-0.013206551495472688
11,2023,1,0.7743664981420766,0.07802359087993782
11,2023,2,0.7110616489253995,0.013414091742080341
11,2023,3,0.6611076537794486,-0.07009739369605729
11,2023,4,0.6027037780197543,-0.10061460592344916
11,2024,1,0.662582421598983,-0.011933205409451978
11,2024,2,0.6633349635138305,0.0056480411694881045
11,2024,3,0.7617196440664252,0.24938804979575477
11,2024,4,0.782149446889135,0.08741437293492153
11,2025,1,0.8463740633522646,0.05468295596927775
11,2025,2,0.8257720768551754,0.07961474614881213
11,2025,3,0.9679510065042405,0.38087466879347903
11,2025,4,0.8908218153724481,0.2515088380274802
11,2026,1,0.8762429246647151,0.1874040566678581
11,2026,2,0.9902396856127852,0.9814727023906265
17,2018,2,0.8603764648867652,0.1021902938935537
17,2018,4,0.7258753379263889,-0.09289928236382937
17,2019,2,0.9143591727868884,0.21685819808187368
17,2019,4,0.9191791069636381,0.2275404865819752
17,2020,1,0.8799926270193862,0.22668811874124725
17,2020,2,0.979386115139259,0.4774805494736889
17,2020,3,0.8971838902050326,0.2773478776833745
17,2020,4,0.9374610867626233,0.35271769783664353
17,2021,1,0.8567603960657206,0.11427920416848869
17,2021,2,0.8772257950973896,0.13809621424255075
17,2021,3,0.8492264540757861,0.08032033733317916
17,2021,4,0.7336791765471483,-0.016753527879376576
17,2022,1,0.6580908647151202,-0.13543725012315178
17,2022,2,0.7160924233722179,0.039889483449410644
17,2022,3,0.7267017740261831,-0.032949705874210776
17,2022,4,0.7931314023600796,0.10595536050486976
17,2023,1,0.8769949691643731,0.19810319842862864
17,2023,2,0.7906691453247507,0.21119316248990908
17,2023,3,0.7699790438686072,0.11087462736388506
17,2023,4,0.7538611259723117,0.03906212654432907
17,2024,1,0.9130240033703476,0.20113174000628112
17,2024,2,0.8736291799862829,0.27501742171435234
17,2024,3,0.9489840261955714,0.4115161717742979
17,2024,4,0.8752456584007857,0.367174868389596
17,2025,1,0.8061829031771682,0.24431352925185035
17,2025,2,0.9115656136416779,0.38454973634096973
17,2025,3,0.9629805194992269,0.8211298663368725
17,2025,4,0.9632737226091413,0.6998272414726983
17,2026,1,0.8524932611916877,0.40142972285738776
17,2026,2,0.9956439415939689,1.1277459861193353
20,2018,2,0.7917925061855065,-0.014024148671273043
20,2018,4,0.6976475548783673,-0.10929096266366105
20,2019,2,0.851997358622533,0.21395066655633804
20,2019,4,0.89763332931736,0.25729694522392427
20,2020,1,0.8540149325940101,0.1295390646013897
20,2020,2,0.9410794790790356,0.3593988466727718
20,2020,3,0.9180262543681506,0.3524988423738407
20,2020,4,0.9141825082095265,0.3057483591937196
20,2021,1,0.8431170816446524,0.0709451192566074
20,2021,2,0.9114296358134855,0.21350063496468666
20,2021,3,0.8914647394625246,0.13801177448971977
20,2021,4,0.861485369777197,0.1820208021271837
20,2022,1,0.7192411529563117,-0.12058061141293194
20,2022,2,0.7590802054674903,0.009961720421495424
20,2022,3,0.833079749223697,0.04016613487607733
20,2022,4,0.7261094046836535,0.08211332028602729
20,2023,1,0.7695307932667256,0.12459528426404608
20,2023,2,0.7613003693639993,0.11553571661475584
20,2023,3,0.6856491292258037,-0.01550862565882895
20,2023,4,0.6966695189630621,-0.01432920694262088
20,2024,1,0.7125604856162431,-0.010622737513204236
20,2024,2,0.7297226560608996,0.03064899688869744
20,2024,3,0.792721402299004,0.19972673168918323
20,2024,4,0.8560866189309944,0.1741796230878245
20,2025,1,0.9132171378734565,0.1777682408877398
20,2025,2,0.9429185310466182,0.26048049710895127
20,2025,3,0.9475973711380854,0.4531191371992705
20,2025,4,0.9328094768220542,0.3955949674094953
20,2026,1,0.888674808185446,0.31161495081356366
20,2026,2,0.9749512329266141,0.9240173612494698
21,2018,2,0.8314352389920374,0.06920153206961464
21,2018,4,0.7029601536216974,-0.10383526089738138
21,2019,2,0.876864194982192,0.17632297243982087
21,2019,4,0.9213430019648366,0.25972679041198726
21,2020,1,0.8336803298253626,0.12286651100569478
21,2020,2,0.9651068890189061,0.4259246846661145
21,2020,3,0.9484379548538715,0.3438574848752152
21,2020,4,0.9755323932252234,0.4852005662379747
21,2021,1,0.8829427609129712,0.22992954498066634
21,2021,2,0.9435552982405028,0.32072243654085775
21,2021,3,0.8584422078641389,0.2134443975266015
21,2021,4,0.8629023566088991,0.1817401699620349
21,2022,1,0.7044872369836581,-0.1038724628696951
