fund_code,year,mkt2_mean,n_days
10115,2022,0.00011128221397427483,424
10115,2023,9.82096774663666e-05,484
10115,2024,0.00012074188131685313,484
10115,2025,0.00013718187835461877,485
10115,2026,9.07999055118287e-05,299
10237,2021,8.690720874901437e-05,238
10237,2022,0.00011458038357764429,470
10237,2023,9.82096774663666e-05,484
10237,2024,0.00012074188131685313,484
10237,2025,0.00013718187835461877,485
10237,2026,9.07999055118287e-05,299
10238,2021,8.690720874901437e-05,238
10238,2022,0.00011458038357764429,470
10238,2023,9.82096774663666e-05,484
10238,2024,0.00012074188131685313,484
10238,2025,0.00013718187835461877,485
10238,2026,9.07999055118287e-05,299
10335,2021,8.052852014257773e-05,218
10335,2022,0.00011258579027798652,455
10335,2023,9.82096774663666e-05,484
10335,2024,0.00012074188131685313,484
10335,2025,0.00013718187835461877,485
10335,2026,9.07999055118287e-05,299
1037,2016,0.00039276259247939866,396
1037,2017,0.00012870606087436696,488
1037,2018,9.94979535814225e-05,487
1037,2019,0.00015397045530891122,487
1037,2020,0.0001660678296102018,487
1037,2021,0.0001385099331417171,486
1037,2022,0.0001145390831437884,485
1037,2023,9.82096774663666e-05,484
1037,2024,0.00012074188131685313,484
1037,2025,0.00013718187835461877,485
1037,2026,9.07999055118287e-05,299
10389,2021,8.650083518133848e-05,272
10389,2022,0.0001145390831437884,485
10389,2023,9.82096774663666e-05,484
10389,2024,0.00012074188131685313,484
10389,2025,0.00013718187835461877,485
10389,2026,9.07999055118287e-05,299
10390,2021,8.650083518133848e-05,272
10390,2022,0.0001145390831437884,485
10390,2023,9.82096774663666e-05,484
10390,2024,0.00012074188131685313,484
10390,2025,0.00013718187835461877,485
10390,2026,9.07999055118287e-05,299
10415,2022,0.00011628669654519335,383
10415,2023,9.82096774663666e-05,484
10415,2024,0.00012074188131685313,484
10415,2025,0.00013718187835461877,485
10415,2026,9.07999055118287e-05,299
10416,2022,0.00011628669654519335,383
10416,2023,9.82096774663666e-05,484
10416,2024,0.00012074188131685313,484
10416,2025,0.00013718187835461877,485
10416,2026,9.07999055118287e-05,299
1060,2016,0.00040608678475210575,414
1060,2017,0.00012870606087436696,488
1060,2018,9.94979535814225e-05,487
1060,2019,0.00015397045530891122,487
1060,2020,0.0001660678296102018,487
1060,2021,0.0001385099331417171,486
1060,2022,0.0001145390831437884,485
1060,2023,9.82096774663666e-05,484
1060,2024,0.00012074188131685313,484
1060,2025,0.00013718187835461877,485
1060,2026,9.07999055118287e-05,299
1075,2016,0.0003887971731475967,380
1075,2017,0.00012870606087436696,488
1075,2018,9.94979535814225e-05,487
1075,2019,0.00015397045530891122,487
1075,2020,0.0001660678296102018,487
1075,2021,0.0001385099331417171,486
1075,2022,0.0001145390831437884,485
1075,2023,9.82096774663666e-05,484
1075,2024,0.00012074188131685313,484
1075,2025,0.00013718187835461877,485
1075,2026,9.07999055118287e-05,299
10912,2022,0.00011576212165852647,389
10912,2023,9.82096774663666e-05,484
10912,2024,0.00012074188131685313,484
10912,2025,0.00013718187835461877,485
10912,2026,9.07999055118287e-05,299
10913,2022,0.00011576212165852647,389
10913,2023,9.82096774663666e-05,484
10913,2024,0.00012074188131685313,484
10913,2025,0.00013718187835461877,485
10913,2026,9.07999055118287e-05,299
11120,2021,8.833813047408051e-05,247
11120,2022,0.0001145390831437884,485
11120,2023,9.82096774663666e-05,484
11120,2024,0.00012074188131685313,484
11120,2025,0.00013718187835461877,485
11120,2026,9.07999055118287e-05,299
112002,2007,0.0004698592304828171,327
112002,2008,0.0007503032904747581,488
112002,2009,0.000652929283049981,490
112002,2010,0.00029384559435209195,486
112002,2011,0.00017195682543656282,486
112002,2012,0.00013156111513713456,487
112002,2013,0.00012989914174039237,481
112002,2014,0.00012595635415082052,483
112002,2015,0.00033909320908529183,489
112002,2016,0.0003925624282460721,488
112002,2017,0.00012870606087436696,488
112002,2018,9.94979535814225e-05,487
112002,2019,0.00015397045530891122,487
112002,2020,0.0001660678296102018,487
112002,2021,0.0001385099331417171,486
112002,2022,0.0001145390831437884,485
112002,2023,9.82096774663666e-05,484
112002,2024,0.00012074188131685313,484
112002,2025,0.00013718187835461877,485
112002,2026,9.07999055118287e-05,299
11300,2021,7.332920286476504e-05,200
11300,2022,0.00011045786150573042,442
11300,2023,9.82096774663666e-05,484
11300,2024,0.00012074188131685313,484
11300,2025,0.00013718187835461877,485
11300,2026,9.07999055118287e-05,299
11301,2021,7.332920286476504e-05,200
11301,2022,0.00011045786150573042,442
11301,2023,9.82096774663666e-05,484
11301,2024,0.00012074188131685313,484
11301,2025,0.00013718187835461877,485
11301,2026,9.07999055118287e-05,299
11369,2022,0.00011478010239977904,392
11369,2023,9.82096774663666e-05,484
11369,2024,0.00012074188131685313,484
11369,2025,0.00013718187835461877,485
11369,2026,9.07999055118287e-05,299
11370,2022,0.00011478010239977904,392
11370,2023,9.82096774663666e-05,484
11370,2024,0.00012074188131685313,484
11370,2025,0.00013718187835461877,485
11370,2026,9.07999055118287e-05,299
11399,2022,0.00011550155315886963,409
11399,2023,9.82096774663666e-05,484
11399,2024,0.00012074188131685313,484
11399,2025,0.00013718187835461877,485
11399,2026,9.07999055118287e-05,299
11400,2022,0.00011550155315886963,409
11400,2023,9.82096774663666e-05,484
11400,2024,0.00012074188131685313,484
11400,2025,0.00013718187835461877,485
11400,2026,9.07999055118287e-05,299
11412,2022,0.00011128221397427483,424
11412,2023,9.82096774663666e-05,484
11412,2024,0.00012074188131685313,484
11412,2025,0.00013718187835461877,485
11412,2026,9.07999055118287e-05,299
11452,2021,8.455642987397507e-05,214
11452,2022,0.00011458686448598791,456
11452,2023,9.82096774663666e-05,484
11452,2024,0.00012074188131685313,484
11452,2025,0.00013718187835461877,485
11452,2026,9.07999055118287e-05,299
11488,2022,0.000115339377662189,395
11488,2023,9.82096774663666e-05,484
11488,2024,0.00012074188131685313,484
11488,2025,0.00013718187835461877,485
11488,2026,9.07999055118287e-05,299
1170,2016,0.00040913350901724296,416
1170,2017,0.00012870606087436696,488
1170,2018,9.94979535814225e-05,487
1170,2019,0.00015397045530891122,487
1170,2020,0.0001660678296102018,487
1170,2021,0.0001385099331417171,486
1170,2022,0.0001145390831437884,485
1170,2023,9.82096774663666e-05,484
1170,2024,0.00012074188131685313,484
1170,2025,0.00013718187835461877,485
1170,2026,9.07999055118287e-05,299
11822,2023,7.183113635271537e-05,383
11822,2024,0.00012074188131685313,484
11822,2025,0.00013718187835461877,485
11822,2026,9.07999055118287e-05,299
11823,2023,7.183113635271537e-05,383
11823,2024,0.00012074188131685313,484
11823,2025,0.00013718187835461877,485
11823,2026,9.07999055118287e-05,299
1184,2016,0.0004095991385816468,403
1184,2017,0.00012870606087436696,488
1184,2018,9.94979535814225e-05,487
1184,2019,0.00015397045530891122,487
1184,2020,0.0001660678296102018,487
1184,2021,0.0001385099331417171,486
1184,2022,0.0001145390831437884,485
1184,2023,9.82096774663666e-05,484
1184,2024,0.00012074188131685313,484
1184,2025,0.00013718187835461877,485
1184,2026,9.07999055118287e-05,299
11891,2022,0.00013342990440600342,267
11891,2023,9.82096774663666e-05,484
11891,2024,0.00012074188131685313,484
11891,2025,0.00013718187835461877,485
11891,2026,9.07999055118287e-05,299
11892,2022,0.00013385806784194318,266
11892,2023,9.82096774663666e-05,484
11892,2024,0.00012074188131685313,484
11892,2025,0.00013718187835461877,485
11892,2026,9.07999055118287e-05,299
1194,2016,0.00040849713087235095,422
1194,2017,0.00012870606087436696,488
1194,2018,9.94979535814225e-05,487
1194,2019,0.00015397045530891122,487
1194,2020,0.0001660678296102018,487
1194,2021,0.0001385099331417171,486
1194,2022,0.0001145390831437884,485
1194,2023,9.82096774663666e-05,484
1194,2024,0.00012074188131685313,484
1194,2025,0.00013718187835461877,485
1194,2026,9.07999055118287e-05,299
1198,2016,0.00041004143939695587,409
1198,2017,0.00012870606087436696,488
1198,2018,9.94979535814225e-05,487
1198,2019,0.00015397045530891122,487
1198,2020,0.0001660678296102018,487
1198,2021,0.0001385099331417171,486
1198,2022,0.0001145390831437884,485
