var,mean_present,mean_missing,welch_t,p,SMD
ff5_adj_return,0.0197,0.02053,-2.13,0.033,-0.043
log_aum,1.48363,1.31577,4.39,0.0,0.088
log_fund_age,1.77418,1.43551,15.63,0.0,0.306
mgr_total_tenure_v2,1202.4947,1067.13319,6.48,0.0,0.131
TO_wind,3302.11831,2776.0955,0.19,0.851,0.004
SDI,0.25627,0.22117,3.47,0.001,0.087
ICI,0.23425,0.28949,-14.15,0.0,-0.292
industry_hhi,0.05648,0.109,-54.2,0.0,-1.119
AS_improved,0.86477,0.72632,72.92,0.0,1.502
ARG,0.14081,0.13923,0.5,0.616,0.01
return_volatility,0.12835,0.12712,0.82,0.411,0.017
lsv,0.08791,0.0889,-0.89,0.372,-0.019
risk_asym,0.03215,0.03745,-2.75,0.006,-0.065
