fund_code,report_date,stock_code,stock_name,hold_ratio,source
001438,2019-03-31,300144,宋城演艺,10.03,ak-top10-2019
001438,2019-03-31,002153,石基信息,9.15,ak-top10-2019
001438,2019-03-31,600570,恒生电子,8.88,ak-top10-2019
001438,2019-03-31,600030,中信证券,7.05,ak-top10-2019
001438,2019-03-31,002410,广联达,5.96,ak-top10-2019
001438,2019-03-31,601688,华泰证券,5.32,ak-top10-2019
001438,2019-03-31,600837,海通证券,5.23,ak-top10-2019
001438,2019-03-31,600026,中远海能,5.21,ak-top10-2019
001438,2019-03-31,002415,海康威视,5.1,ak-top10-2019
001438,2019-03-31,601872,招商轮船,5.01,ak-top10-2019
001438,2019-06-30,300144,宋城演艺,9.93,ak-top10-2019
001438,2019-06-30,002153,石基信息,9.84,ak-top10-2019
001438,2019-06-30,002415,海康威视,9.69,ak-top10-2019
001438,2019-06-30,600570,恒生电子,9.07,ak-top10-2019
001438,2019-06-30,002410,广联达,6.64,ak-top10-2019
001438,2019-06-30,300661,圣邦股份,6.06,ak-top10-2019
001438,2019-06-30,601888,中国中免,5.43,ak-top10-2019
001438,2019-06-30,600588,用友网络,5.42,ak-top10-2019
001438,2019-06-30,300357,我武生物,5.2,ak-top10-2019
001438,2019-06-30,600967,内蒙一机,4.87,ak-top10-2019
001438,2019-06-30,603960,克来机电,2.69,ak-top10-2019
001438,2019-06-30,300699,光威复材,2.51,ak-top10-2019
001438,2019-06-30,002414,高德红外,2.42,ak-top10-2019
001438,2019-06-30,000568,泸州老窖,2.33,ak-top10-2019
001438,2019-06-30,002179,中航光电,2.14,ak-top10-2019
001438,2019-06-30,603039,泛微网络,2.13,ak-top10-2019
001438,2019-06-30,600195,中牧股份,2.11,ak-top10-2019
001438,2019-06-30,603678,火炬电子,1.98,ak-top10-2019
001438,2019-06-30,600760,中航沈飞,1.95,ak-top10-2019
001438,2019-06-30,600968,海油发展,0.06,ak-top10-2019
001438,2019-06-30,300782,卓胜微,0.05,ak-top10-2019
001438,2019-06-30,601698,中国卫通,0.02,ak-top10-2019
001438,2019-06-30,601236,红塔证券,0.02,ak-top10-2019
001438,2019-06-30,300594,朗进科技,0.02,ak-top10-2019
001438,2019-06-30,603863,松炀资源,0.02,ak-top10-2019
001438,2019-06-30,603867,新化股份,0.02,ak-top10-2019
001438,2019-09-30,300144,宋城演艺,10.01,ak-top10-2019
001438,2019-09-30,002153,石基信息,9.84,ak-top10-2019
001438,2019-09-30,002415,海康威视,9.61,ak-top10-2019
001438,2019-09-30,600967,内蒙一机,9.44,ak-top10-2019
001438,2019-09-30,600570,恒生电子,8.58,ak-top10-2019
001438,2019-09-30,002410,广联达,6.25,ak-top10-2019
001438,2019-09-30,300357,我武生物,6.01,ak-top10-2019
001438,2019-09-30,002405,四维图新,5.51,ak-top10-2019
001438,2019-09-30,600588,用友网络,5.43,ak-top10-2019
001438,2019-09-30,300113,顺网科技,5.24,ak-top10-2019
001438,2019-12-31,300144,宋城演艺,9.87,ak-top10-2019
001438,2019-12-31,002153,石基信息,9.81,ak-top10-2019
001438,2019-12-31,600570,恒生电子,9.66,ak-top10-2019
001438,2019-12-31,600967,内蒙一机,9.56,ak-top10-2019
001438,2019-12-31,002415,海康威视,9.42,ak-top10-2019
001438,2019-12-31,002410,广联达,9.41,ak-top10-2019
001438,2019-12-31,300113,顺网科技,6.14,ak-top10-2019
001438,2019-12-31,600588,用友网络,5.53,ak-top10-2019
001438,2019-12-31,600699,均胜电子,5.1,ak-top10-2019
001438,2019-12-31,600845,宝信软件,5.02,ak-top10-2019
001438,2019-12-31,601658,邮储银行,4.81,ak-top10-2019
001438,2019-12-31,002405,四维图新,3.99,ak-top10-2019
001438,2019-12-31,300699,光威复材,2.44,ak-top10-2019
001438,2019-12-31,603960,克来机电,2.05,ak-top10-2019
001438,2019-12-31,688116,天奈科技,0.34,ak-top10-2019
001438,2019-12-31,688030,山石网科,0.22,ak-top10-2019
001438,2019-12-31,688039,当虹科技,0.15,ak-top10-2019
001438,2019-12-31,688198,佰仁医疗,0.09,ak-top10-2019
001438,2019-12-31,688288,鸿泉物联,0.07,ak-top10-2019
001438,2019-12-31,688181,八亿时空,0.06,ak-top10-2019
001438,2019-12-31,688081,兴图新科,0.05,ak-top10-2019
001438,2019-12-31,002972,科安达,0.02,ak-top10-2019
001438,2019-12-31,603109,神驰机电,0.01,ak-top10-2019
