spec,lsv_beta,t2w,p2w,stars,N,funds
A 基准(1%/99%全模型),0.01548,0.77,0.441,,2264,348
B 无缩尾,0.01457,0.72,0.475,,2264,348
C 5%/95%,0.0166,0.84,0.404,,2264,348
D 0.5%/99.5%,0.01455,0.72,0.474,,2264,348
E 删lsv极端1%,0.02039,1.12,0.261,,2251,348
F +lsv^2(非线性),0.00663,0.24,0.808,,2264,348
G 2022+,0.02542,2.03,0.043,**,1945,348
H 2022前,-0.0374,-1.2,0.23,,319,56
I AUM小,-0.01185,-0.64,0.52,,788,157
I AUM中,0.01769,0.91,0.364,,787,185
I AUM大,0.02709,1.29,0.199,,689,160
J 去其他L5(隔离),0.02748,2.78,0.005,***,4873,354
K 去L3(SDI/TO),0.0153,0.86,0.389,,3177,362
