layer,var,cn,M4_beta,M4_t2w,M4_sig,FE_beta,FE_t,FE_sig,VIF,iso_beta,iso_t,iso_sig,iso_N,iso_funds,sign_consistent
L1,log_fund_age,基金年龄,-0.00417,-2.53,**,0.0,1.26,n.s.,1.479,,,,,,✗ 翻转
L1,mgr_total_tenure_v2,从业年限,0.0,1.02,n.s.,0.0,0.01,n.s.,1.241,,,,,,✓
L2,AS_improved,改进主动份额,-0.02982,-2.81,***,0.0,0.65,n.s.,1.455,,,,,,✗ 翻转
L2,ICI,行业偏离,0.01804,3.74,***,-0.0,-0.41,n.s.,1.473,,,,,,✗ 翻转
L2,industry_hhi,行业集中度,0.00865,0.19,n.s.,0.0,0.63,n.s.,1.387,,,,,,✓
L3,SDI,风格漂移,-0.0,-0.0,n.s.,-0.0,-1.39,n.s.,1.21,,,,,,✓
L3,TO_wind,换手率,0.0,1.07,n.s.,-0.0,-0.05,n.s.,1.281,,,,,,✗ 翻转
L4,ARG,主动增益,0.01625,2.98,***,-0.0,-0.57,n.s.,1.333,,,,,,✗ 翻转
L4,return_volatility,收益波动率,0.02379,0.81,n.s.,-0.0,-1.46,n.s.,1.833,,,,,,✗ 翻转
L5,de,处置效应,-0.00606,-2.99,***,-0.0,-0.53,n.s.,1.114,-0.00525,-2.42,**,2264.0,348.0,✓
L5,lsv,羊群效应,0.01548,0.77,n.s.,-0.0,-0.91,n.s.,1.149,0.01141,1.03,n.s.,2264.0,348.0,✗ 翻转
L5,risk_asym,风险不对称,0.07311,3.57,***,0.0,2.44,**,1.263,0.06506,5.66,***,2264.0,348.0,✓
