序号,文献,DOI,类型,语种,来源
1,"KAHNEMAN D, TVERSKY A. Prospect theory: an analysis of decision under risk[J]. Econometrica, 1979, 47(2): 263-292.",,期刊论文,英文,既有底库
2,"BARON R M, KENNY D A. The moderator–mediator variable distinction in social psychological research[J]. Journal of Personality and Social Psychology, 1986, 51(6): 1173-1182.",,期刊论文,英文,既有底库
3,"SHARPE W F. Capital asset prices: a theory of market equilibrium under conditions of risk[J]. Journal of Political Economy, 1964, 72(3): 425-442.",,期刊论文,英文,既有底库
4,"FAMA E F. Efficient capital markets: a review of theory and empirical work[J]. The Journal of Finance, 1970, 25(2): 383-417.",,期刊论文,英文,既有底库
5,"JENSEN M C. The performance of mutual funds in the period 1945–1964[J]. The Journal of Finance, 1968, 23(2): 389-416.",,期刊论文,英文,既有底库
6,"BASU S. Investment performance of common stocks in relation to their price-earnings ratios: a test of the efficient market hypothesis[J]. The Journal of Finance, 1977, 32(3): 663-682.",,期刊论文,英文,既有底库
7,"BANZ R W. The relationship between return and market value of common stocks[J]. Journal of Financial Economics, 1981, 9(1): 3-18.",,期刊论文,英文,既有底库
8,"DE BONDT W F M, THALER R. Does the stock market overreact?[J]. The Journal of Finance, 1985, 40(3): 793-805.",,期刊论文,英文,既有底库
9,"JEGADEESH N, TITMAN S. Returns to buying winners and selling losers: implications for stock market efficiency[J]. The Journal of Finance, 1993, 48(1): 65-91.",,期刊论文,英文,既有底库
10,"SHLEIFER A, VISHNY R W. The limits of arbitrage[J]. The Journal of Finance, 1997, 52(1): 35-55.",,期刊论文,英文,既有底库
11,"BARBERIS N, THALER R. A survey of behavioral finance[M]//CONSTANTINIDES G M, HARRIS M, STULZ R M. Handbook of the Economics of Finance. Amsterdam: Elsevier, 2003: 1053-1128.",,专著,英文,既有底库
12,"HEATON J B. Managerial optimism and corporate finance[J]. Financial Management, 2002, 31(2): 33-45.",,期刊论文,英文,既有底库
13,"GERVAIS S, ODEAN T. Learning to be overconfident[J]. The Review of Financial Studies, 2001, 14(1): 1-27.",,期刊论文,英文,既有底库
14,"BARBER B M, ODEAN T. Boys will be boys: gender, overconfidence, and common stock investment[J]. The Quarterly Journal of Economics, 2001, 116(1): 261-292.",,期刊论文,英文,既有底库
15,"SHEFRIN H, STATMAN M. The disposition to sell winners too early and ride losers too long: theory and evidence[J]. The Journal of Finance, 1985, 40(3): 777-790.",,期刊论文,英文,既有底库
16,"ODEAN T. Are investors reluctant to realize their losses?[J]. The Journal of Finance, 1998, 53(5): 1775-1798.",,期刊论文,英文,既有底库
17,"FRAZZINI A. The disposition effect and underreaction to news[J]. The Journal of Finance, 2006, 61(4): 2017-2046.",,期刊论文,英文,既有底库
18,"KAHNEMAN D. Thinking, fast and slow[M]. New York: Farrar, Straus and Giroux, 2011.",,专著,英文,既有底库
19,"BIKHCHANDANI S, SHARMA S. Herd behavior in financial markets[J]. IMF Staff Papers, 2000, 47(3): 279-310.",,期刊论文,英文,既有底库
20,"SCHARFSTEIN D S, STEIN J C. Herd behavior and investment[J]. The American Economic Review, 1990, 80(3): 465-479.",,期刊论文,英文,既有底库
21,"FAMA E F, FRENCH K R. Common risk factors in the returns on stocks and bonds[J]. Journal of Financial Economics, 1993, 33(1): 3-56.",,期刊论文,英文,既有底库
22,"CARHART M M. On persistence in mutual fund performance[J]. The Journal of Finance, 1997, 52(1): 57-82.",,期刊论文,英文,既有底库
23,"FAMA E F, FRENCH K R. A five-factor asset pricing model[J]. Journal of Financial Economics, 2015, 116(1): 1-22.",,期刊论文,英文,既有底库
24,"FAMA E F, FRENCH K R. International tests of a five-factor asset pricing model[J]. Journal of Financial Economics, 2017, 123(3): 441-463.",,期刊论文,英文,既有底库
25,"GOLEC J H. The effects of mutual fund managers' characteristics on their portfolio performance and risk[J]. Financial Services Review, 1996, 5(2): 133-147.",,期刊论文,英文,既有底库
26,"CHEVALIER J, ELLISON G. Career concerns of mutual fund managers[J]. The Quarterly Journal of Economics, 1999, 114(2): 389-432.",,期刊论文,英文,既有底库
27,"GOTTESMAN A A, MOREY M R. Morningstar mutual fund ratings redux[R]. Working Paper, Pace University, 2006.",,工作论文,英文,既有底库
28,"CREMERS K J M, PETAJISTO A. How active is your fund manager? A new measure that predicts performance[J]. The Review of Financial Studies, 2009, 22(9): 3841-3880.",,期刊论文,英文,既有底库
29,"PETAJISTO A. Active share and mutual fund performance[J]. Financial Analysts Journal, 2013, 69(5): 35-57.",,期刊论文,英文,既有底库
30,"KACPERCZYK M, SIALM C, ZHENG L. On the industry concentration of actively managed equity mutual funds[J]. The Journal of Finance, 2005, 60(4): 1983-2011.",,期刊论文,英文,既有底库
31,"WERMERS R. Mutual fund herding and the impact on stock prices[J]. The Journal of Finance, 1999, 54(2): 585-622.",,期刊论文,英文,既有底库
32,"CHAN L K C, CHEN H-L, LAKONISHOK J. On mutual fund investment styles[J]. The Review of Financial Studies, 2002, 15(5): 1407-1437.",,期刊论文,英文,既有底库
33,"BROWN K C, HARLOW W V, STARKS L T. Of tournaments, temptations, and risk-taking in the mutual fund industry[J]. The Journal of Finance, 1996, 51(5): 1807-1831.",,期刊论文,英文,既有底库
34,"LAKONISHOK J, SHLEIFER A, VISHNY R W. The impact of institutional trading on stock prices[J]. Journal of Financial Economics, 1992, 32(1): 23-43.",,期刊论文,英文,既有底库
35,"GRINBLATT M, TITMAN S, WERMERS R. Value investing, momentum, and performance[J]. The Journal of Finance, 1995, 50(4): 1079-1111.",,期刊论文,英文,既有底库
36,"SIAS R W. Institutional herding[J]. The Review of Financial Studies, 2004, 17(1): 165-206.",,期刊论文,英文,既有底库
37,"GUTIERREZ R C, KELLEY E K. Institutional herding and future stock returns[R]. Working Paper, University of Oregon and University of Arizona, 2009.",,工作论文,英文,既有底库
38,"KEMPF A, RUENZI S, THIELE T. Employment risk, compensation incentives, and managerial risk taking: evidence from the mutual fund industry[J]. Journal of Financial Economics, 2009, 92(1): 92-108.",,期刊论文,英文,既有底库
39,"ANG A, CHEN J, XING Y. Downside risk[J]. The Review of Financial Studies, 2006, 19(4): 1217-1251.",,期刊论文,英文,既有底库
40,"CUTHBERTSON K, NITZSCHE D, O'SULLIVAN N. A review of behavioural and management effects in mutual fund performance[J]. International Review of Financial Analysis, 2016, 48: 162-176.",,期刊论文,英文,既有底库
41,"肖奎喜, 杨义群. 我国开放式基金的业绩持续性研究[J]. 财贸研究, 2005, 16(4): 55-59.",,期刊论文,中文,既有底库
42,"沈维涛, 黄兴孪. 我国证券投资基金业绩的实证研究与评价[J]. 经济研究, 2001(9).",,期刊论文,中文,既有底库
43,"李志冰, 杨光艺, 冯永昌, 景亮. Fama-French五因子模型在中国股票市场的实证检验[J]. 金融研究, 2017(6): 191-206.",,期刊论文,中文,既有底库
44,"伍旭川, 何鹏. 中国开放式基金羊群行为分析[J]. 金融研究, 2005(5).",,期刊论文,中文,既有底库
45,"HENRIKSSON R D, MERTON R C. On market timing and investment performance. II. Statistical procedures for evaluating forecasting skills[J]. The Journal of Business, 1981, 54(4): 513-533.",,期刊论文,英文,既有底库
46,"STAIGER D, STOCK J H. Instrumental variables regression with weak instruments[J]. Econometrica, 1997, 65(3): 557-586.",,期刊论文,英文,既有底库
47,"OSTER E. Unobservable selection and coefficient stability: theory and evidence[J]. Journal of Business & Economic Statistics, 2019, 37(2): 187-204.",,期刊论文,英文,既有底库
48,"KOENKER R, BASSETT G. Regression quantiles[J]. Econometrica, 1978, 46(1): 33-50.",,期刊论文,英文,既有底库
49,"SIMONSOHN U, SIMMONS J P, NELSON L D. Specification curve analysis[J]. Nature Human Behaviour, 2020, 4(11): 1208-1214.",,期刊论文,英文,既有底库
