,中文名,count,mean,std,min,25%,50%,75%,max
mgr_total_tenure_v2,经理累计任职天数,400,1048.3763,817.8013,196.1864,535.7226,821.7328,1239.3462,4292.6762
log_fund_age,基金年龄对数,400,1.3896,1.0128,-0.6259,0.605,1.3386,2.3945,2.9626
log_aum,基金规模对数,400,1.6139,1.2184,0.0,0.5819,1.498,2.493,4.5907
risk_asym,风险偏好不对称性,386,0.0445,0.0507,-0.0215,0.016,0.0318,0.0567,0.2765
de,处置效应,399,-0.1333,0.072,-0.3394,-0.1691,-0.1273,-0.0868,0.0286
oc_conf,过度自信（换手×过度交易）,394,-2.1264,14.8282,-71.9537,-6.9299,-0.9736,4.121,47.4391
ICI,行业集中度,400,0.2897,0.157,0.0968,0.186,0.2508,0.3473,0.8593
ISDI,行业风格漂移指数,400,0.2395,0.1272,0.0001,0.1424,0.2493,0.3285,0.5229
ARG,调仓幅度,400,0.1647,0.1115,0.0339,0.0651,0.1346,0.2404,0.4417
timing,下行保护系数（−HM γ）,355,0.9135,0.7448,-1.831,0.4406,0.9032,1.3768,2.5646
mppm8_lag,操纵稳健业绩测度MPPM,394,0.0249,0.0963,-0.1681,-0.0287,0.0198,0.0554,0.4588
sortino8_lag,Sortino比率,371,0.2323,0.7044,-0.6044,-0.1198,0.0951,0.36,4.1919
sharpe8_lag,Sharpe比率,394,0.1323,0.213,-0.506,0.0152,0.1289,0.2421,0.697
SDI,策略偏离指数,366,0.2332,0.2288,0.0,0.0,0.282,0.4309,0.7594
lsv,交易趋同度LSV,400,0.091,0.0183,0.0471,0.0786,0.0896,0.1019,0.1371
ff5_adj_return,FF5 超额收益（基金层alpha）,362,0.0203,0.0195,-0.0182,0.0069,0.0192,0.0331,0.0751
quarter_return,季度收益,400,0.0836,0.0632,0.0248,0.0492,0.0657,0.0867,0.3695
