fund_code,composite,ff5_adj_return,V0 现行(对照),V1 优先级修正,V2 分位数交集,V3 综合分末十分位,V4 剔风险转化后末十分位
11,-0.3388650820414087,-0.0084148888388725,均衡型(其他),均衡型(其他),均衡型(其他),均衡型(其他),均衡型(其他)
17,-0.3067790812402042,0.0164847649949621,均衡型(其他),均衡型(其他),均衡型(其他),均衡型(其他),均衡型(其他)
20,-0.3123051649850936,0.0095254252166679,均衡型(其他),均衡型(其他),均衡型(其他),均衡型(其他),均衡型(其他)
21,-0.2096249555497638,0.012186250420382,均衡型(其他),均衡型(其他),均衡型(其他),均衡型(其他),均衡型(其他)
31,-0.2875659253522805,-0.0132287624758803,均衡型(其他),均衡型(其他),均衡型(其他),均衡型(其他),均衡型(其他)
61,-0.1040265094393237,0.0345973353470991,均衡型(其他),均衡型(其他),均衡型(其他),均衡型(其他),均衡型(其他)
73,-0.2962548538448974,0.0298618339942805,均衡型(其他),均衡型(其他),均衡型(其他),均衡型(其他),均衡型(其他)
263,-0.1196726404406746,0.0289038419962925,低偏误纪律型,低偏误纪律型,低偏误纪律型,低偏误纪律型,低偏误纪律型
308,-0.1972954223693506,0.0201569034228364,均衡型(其他),均衡型(其他),均衡型(其他),均衡型(其他),均衡型(其他)
327,-0.4385841667557287,0.0113605716679312,均衡型(其他),均衡型(其他),均衡型(其他),高换手噪声型(输家),高换手噪声型(输家)
354,-0.1487889501477114,0.0011142615429632,低偏误纪律型,低偏误纪律型,低偏误纪律型,低偏误纪律型,低偏误纪律型
390,-0.3644677813707823,0.0194793348007424,均衡型(其他),均衡型(其他),均衡型(其他),均衡型(其他),均衡型(其他)
404,0.2004942915253207,0.0334394588103164,均衡型(其他),均衡型(其他),均衡型(其他),均衡型(其他),均衡型(其他)
522,0.4062992981222921,0.0574214690458094,行业集中下注型,行业集中下注型,行业集中下注型,行业集中下注型,行业集中下注型
601,-0.2590251602445815,0.0247740204065876,均衡型(其他),均衡型(其他),均衡型(其他),均衡型(其他),均衡型(其他)
742,0.0950579747800584,0.0094496121602618,低偏误纪律型,低偏误纪律型,低偏误纪律型,低偏误纪律型,低偏误纪律型
800,-0.4261629917976615,0.0043489068422433,均衡型(其他),均衡型(其他),均衡型(其他),高换手噪声型(输家),高换手噪声型(输家)
823,-0.0851514644014771,0.0094689412426303,低偏误纪律型,低偏误纪律型,低偏误纪律型,低偏误纪律型,低偏误纪律型
