规则版本,原型,数量,有alpha样本,组均alpha,组均composite,vs均衡_t,sig
V0 现行(对照),风控择股型(赢家),25,10,0.0419,1.192,2.74,**
V0 现行(对照),行业集中下注型,70,55,0.03,0.454,3.96,***
V0 现行(对照),低偏误纪律型,43,41,0.0222,0.045,1.42,ns
V0 现行(对照),高换手噪声型(输家),2,2,0.0348,-2.512,,
V0 现行(对照),均衡型(其他),260,254,0.017,-0.178,,
V1 优先级修正,风控择股型(赢家),25,10,0.0419,1.192,2.74,**
V1 优先级修正,行业集中下注型,70,55,0.03,0.454,3.96,***
V1 优先级修正,低偏误纪律型,43,41,0.0222,0.045,1.42,ns
V1 优先级修正,高换手噪声型(输家),2,2,0.0348,-2.512,,
V1 优先级修正,均衡型(其他),260,254,0.017,-0.178,,
V2 分位数交集,风控择股型(赢家),25,10,0.0419,1.192,2.72,**
V2 分位数交集,行业集中下注型,65,54,0.0303,0.452,3.93,***
V2 分位数交集,低偏误纪律型,43,41,0.0222,0.045,1.37,ns
V2 分位数交集,高换手噪声型(输家),20,16,0.016,-0.175,-0.19,ns
V2 分位数交集,均衡型(其他),247,241,0.0172,-0.184,,
V3 综合分末十分位,风控择股型(赢家),25,10,0.0419,1.192,2.44,**
V3 综合分末十分位,行业集中下注型,70,55,0.03,0.454,3.13,***
V3 综合分末十分位,低偏误纪律型,41,39,0.0237,0.075,1.11,ns
V3 综合分末十分位,高换手噪声型(输家),40,40,0.0018,-0.624,-6.81,***
V3 综合分末十分位,均衡型(其他),224,218,0.0197,-0.122,,
V4 剔风险转化后末十分位,风控择股型(赢家),25,10,0.0419,1.192,2.53,**
V4 剔风险转化后末十分位,行业集中下注型,70,55,0.03,0.454,3.35,***
V4 剔风险转化后末十分位,低偏误纪律型,43,41,0.0222,0.045,0.9,ns
V4 剔风险转化后末十分位,高换手噪声型(输家),40,40,0.0078,-0.565,-4.72,***
V4 剔风险转化后末十分位,均衡型(其他),222,216,0.0188,-0.129,,
