             Unnamed: 0                 中文名  count       mean       std       min       25%       50%        75%        max
0   mgr_total_tenure_v2            经理累计任职天数    400  1048.3763  817.8013  196.1864  535.7226  821.7328  1239.3462  4292.6762
1          log_fund_age              基金年龄对数    400     1.3896    1.0128   -0.6259    0.6050    1.3386     2.3945     2.9626
2               log_aum              基金规模对数    400     1.6139    1.2184    0.0000    0.5819    1.4980     2.4930     4.5907
3             risk_asym            风险偏好不对称性    386     0.0445    0.0507   -0.0215    0.0160    0.0318     0.0567     0.2765
4                    de                处置效应    399    -0.1333    0.0720   -0.3394   -0.1691   -0.1273    -0.0868     0.0286
5               oc_conf       过度自信（换手×过度交易）    394    -2.1264   14.8282  -71.9537   -6.9299   -0.9736     4.1210    47.4391
6                   ICI               行业集中度    400     0.2897    0.1570    0.0968    0.1860    0.2508     0.3473     0.8593
7                  ISDI            行业风格漂移指数    400     0.2395    0.1272    0.0001    0.1424    0.2493     0.3285     0.5229
8                   ARG                调仓幅度    400     0.1647    0.1115    0.0339    0.0651    0.1346     0.2404     0.4417
9                timing       下行保护系数（−HM γ）    355     0.9135    0.7448   -1.8310    0.4406    0.9032     1.3768     2.5646
10            mppm8_lag        操纵稳健业绩测度MPPM    394     0.0249    0.0963   -0.1681   -0.0287    0.0198     0.0554     0.4588
11         sortino8_lag           Sortino比率    371     0.2323    0.7044   -0.6044   -0.1198    0.0951     0.3600     4.1919
12          sharpe8_lag            Sharpe比率    394     0.1323    0.2130   -0.5060    0.0152    0.1289     0.2421     0.6970
13                  SDI              策略偏离指数    366     0.2332    0.2288    0.0000    0.0000    0.2820     0.4309     0.7594
14                  lsv            交易趋同度LSV    400     0.0910    0.0183    0.0471    0.0786    0.0896     0.1019     0.1371
15       ff5_adj_return  FF5 超额收益（基金层alpha）    362     0.0203    0.0195   -0.0182    0.0069    0.0192     0.0331     0.0751
16       quarter_return                季度收益    400     0.0836    0.0632    0.0248    0.0492    0.0657     0.0867     0.3695
