fund_code,report_date,stock_code,stock_name,hold_ratio,hold_shares,hold_value,year,quarter,report_type,data_source,hold_ratio_flag
000011,2018-06-30,2,万科A,1.15,171.74,4224.88,2018,2,半年报,legacy,
000011,2018-06-30,69,华侨城A,1.84,930.94,6730.72,2018,2,半年报,legacy,
000011,2018-06-30,89,深圳机场,3.43,1640.5,12549.83,2018,2,半年报,legacy,
000011,2018-06-30,333,美的集团,4.51,316.35,16519.78,2018,2,半年报,legacy,
000011,2018-06-30,338,潍柴动力,1.91,800.0,7000.00,2018,2,半年报,legacy,
000011,2018-06-30,568,泸州老窖,3.16,189.99,11562.56,2018,2,半年报,legacy,
000011,2018-06-30,625,长安汽车,0.10,40.0,360.00,2018,2,半年报,legacy,
000011,2018-06-30,858,五粮液,2.86,137.71,10465.96,2018,2,半年报,legacy,
000011,2018-06-30,2032,苏泊尔,1.13,80.21,4130.56,2018,2,半年报,legacy,
000011,2018-06-30,2271,东方雨虹,1.16,250.0,4252.50,2018,2,半年报,legacy,
000011,2018-06-30,2866,传艺科技,0.00,0.05,1.53,2018,2,半年报,legacy,
000011,2018-12-31,89,深圳机场,4.75,2040.49,15895.42,2018,4,年报,legacy,
000011,2018-12-31,333,美的集团,0.62,56.36,2077.35,2018,4,年报,legacy,
000011,2018-12-31,528,柳工,0.36,200.0,1214.00,2018,4,年报,legacy,
000011,2018-12-31,568,泸州老窖,2.79,229.58,9334.78,2018,4,年报,legacy,
000011,2018-12-31,596,古井贡酒,1.73,107.35,5792.61,2018,4,年报,legacy,
000011,2018-12-31,2032,苏泊尔,2.36,150.2,7885.45,2018,4,年报,legacy,
000011,2018-12-31,2271,东方雨虹,0.00,0.0,0.00,2018,4,年报,legacy,
000011,2018-12-31,2419,天虹股份,3.87,1180.0,12944.59,2018,4,年报,legacy,
000011,2018-12-31,2938,鹏鼎控股,0.01,1.2,20.99,2018,4,年报,legacy,
000011,2019-06-30,89,深圳机场,1.13,662.84,5892.64,2019,2,半年报,legacy,
000011,2019-06-30,338,潍柴动力,1.18,499.99,6144.93,2019,2,半年报,legacy,
000011,2019-06-30,568,泸州老窖,4.46,286.65,23169.94,2019,2,半年报,legacy,
000011,2019-06-30,596,古井贡酒,4.74,207.63,24606.39,2019,2,半年报,legacy,
000011,2019-06-30,1979,招商蛇口,0.22,55.02,1149.96,2019,2,半年报,legacy,
000011,2019-06-30,2032,苏泊尔,1.86,127.1,9638.23,2019,2,半年报,legacy,
000011,2019-06-30,2242,九阳股份,1.25,311.79,6488.35,2019,2,半年报,legacy,
000011,2019-06-30,2271,东方雨虹,0.00,0.0,0.00,2019,2,半年报,legacy,
000011,2019-06-30,2419,天虹股份,5.60,2228.03,29098.12,2019,2,半年报,legacy,
000011,2019-12-31,89,深圳机场,2.35,1312.83,12826.31,2019,4,年报,legacy,
000011,2019-12-31,338,潍柴动力,6.13,2110.79,33519.38,2019,4,年报,legacy,
000011,2019-12-31,568,泸州老窖,2.50,157.98,13693.74,2019,4,年报,legacy,
000011,2019-12-31,596,古井贡酒,2.66,107.22,14573.18,2019,4,年报,legacy,
000011,2019-12-31,2311,海大集团,0.20,30.0,1080.00,2019,4,年报,legacy,
000011,2019-12-31,2419,天虹股份,5.61,2909.47,30694.91,2019,4,年报,legacy,
000011,2019-12-31,2507,涪陵榨菜,0.24,50.0,1336.50,2019,4,年报,legacy,
000011,2019-12-31,2972,科安达,0.00,0.11,2.15,2019,4,年报,legacy,
000011,2019-12-31,2973,侨银股份,0.00,0.11,0.66,2019,4,年报,legacy,
000011,2020-03-31,568,泸州老窖,4.14,207.97,15317.17,2020,1,季报,akshare,
000011,2020-03-31,596,古井贡酒,3.77,122.22,13961.05,2020,1,季报,akshare,
000011,2020-03-31,2419,天虹股份,3.71,1546.15,13745.27,2020,1,季报,akshare,
000011,2020-06-30,425,徐工机械,3.72,2500.0,14775.0,2020,2,半年报,akshare,
000011,2020-06-30,568,泸州老窖,5.45,237.97,21684.05,2020,2,半年报,akshare,
000011,2020-06-30,596,古井贡酒,5.37,142.22,21366.61,2020,2,半年报,akshare,
000011,2020-06-30,961,ST中南,5.24,2341.48,20839.17,2020,2,半年报,akshare,
000011,2020-06-30,2311,海大集团,5.33,444.98,21176.74,2020,2,半年报,akshare,
000011,2020-06-30,2398,垒知集团,1.14,429.97,4544.8,2020,2,半年报,akshare,
000011,2020-06-30,2419,天虹股份,3.71,1546.15,14765.73,2020,2,半年报,akshare,
000011,2020-09-30,425,徐工机械,2.83,2500.0,13874.99,2020,3,季报,akshare,
000011,2020-09-30,568,泸州老窖,5.33,181.97,26122.14,2020,3,季报,akshare,
000011,2020-09-30,596,古井贡酒,3.99,90.23,19559.78,2020,3,季报,akshare,
000011,2020-09-30,961,ST中南,4.19,2241.47,20554.26,2020,3,季报,akshare,
000011,2020-09-30,2311,海大集团,4.82,384.98,23611.01,2020,3,季报,akshare,
000011,2020-09-30,2419,天虹股份,3.09,1686.15,15158.48,2020,3,季报,akshare,
000011,2020-12-31,425,徐工机械,2.21,2936.31,15767.96,2020,4,年报,akshare,
000011,2020-12-31,568,泸州老窖,4.94,155.97,35274.72,2020,4,年报,akshare,
000011,2020-12-31,596,古井贡酒,4.66,122.21,33241.8,2020,4,年报,akshare,
000011,2020-12-31,876,新希望,3.03,966.33,21645.7,2020,4,年报,akshare,
000011,2020-12-31,961,ST中南,4.0,3233.88,28555.2,2020,4,年报,akshare,
000011,2020-12-31,2179,中航光电,4.94,449.98,35229.11,2020,4,年报,akshare,
000011,2020-12-31,2311,海大集团,5.49,598.26,39186.12,2020,4,年报,akshare,
000011,2020-12-31,2419,天虹股份,1.37,1280.4,9782.29,2020,4,年报,akshare,
000011,2020-12-31,2541,鸿路钢构,1.89,369.99,13515.67,2020,4,年报,akshare,
000011,2020-12-31,3026,中晶科技,0.0,0.05,2.17,2020,4,年报,akshare,
000011,2020-12-31,3029,吉大正元,0.0,0.07,1.87,2020,4,年报,akshare,
000011,2020-12-31,3030,祖名股份,0.0,0.05,0.73,2020,4,年报,akshare,
000011,2020-12-31,3031,中瓷电子,0.0,0.04,0.59,2020,4,年报,akshare,
000011,2021-03-31,2,万科A,3.28,579.99,17399.85,2021,1,季报,akshare,
000011,2021-03-31,425,徐工机械,3.91,2736.31,20768.56,2021,1,季报,akshare,
000011,2021-03-31,2179,中航光电,6.18,484.98,32784.76,2021,1,季报,akshare,
