fund_code,period,active_share,n_holdings,n_in_benchmark
5827,2020Q1,0.8993,10,4
5827,2020Q2,0.8513,10,4
5827,2020Q3,0.8603,10,6
5827,2020Q4,0.8694,10,6
5827,2021Q1,0.861,10,7
5827,2021Q2,0.8967,10,6
5827,2021Q3,0.9079,10,8
5827,2021Q4,0.9085,10,8
5827,2022Q1,0.9138,10,7
5827,2022Q2,0.882,10,6
5827,2022Q3,0.8843,10,6
5827,2022Q4,0.8821,10,6
5827,2023Q1,0.8769,10,6
5827,2023Q2,0.8789,10,6
5827,2023Q3,0.8823,10,5
5827,2023Q4,0.8713,10,5
5827,2024Q1,0.8606,10,6
5827,2024Q2,0.8518,10,5
5827,2024Q3,0.8758,10,5
5827,2024Q4,0.8816,10,5
161725,2020Q1,0.9082,10,7
161725,2020Q2,0.9003,10,7
161725,2020Q3,0.9183,10,7
161725,2020Q4,0.9099,10,7
161725,2021Q1,0.9174,10,7
161725,2021Q2,0.9059,10,7
161725,2021Q3,0.9155,10,7
161725,2021Q4,0.914,10,7
161725,2022Q1,0.908,10,7
161725,2022Q2,0.8992,10,7
161725,2022Q3,0.9122,10,7
161725,2022Q4,0.9002,10,7
161725,2023Q1,0.8983,10,7
161725,2023Q2,0.891,10,7
161725,2023Q3,0.8977,10,7
161725,2023Q4,0.9002,10,7
161725,2024Q1,0.9067,10,7
161725,2024Q2,0.9032,10,7
161725,2024Q3,0.8953,10,7
161725,2024Q4,0.8971,10,7
163406,2020Q1,0.698,10,6
163406,2020Q2,0.6848,10,7
163406,2020Q3,0.6711,10,10
163406,2020Q4,0.6776,10,9
163406,2021Q1,0.6953,10,7
163406,2021Q2,0.701,10,6
163406,2021Q3,0.7075,10,5
163406,2021Q4,0.6855,10,4
163406,2022Q1,0.6943,10,2
163406,2022Q2,0.6844,10,3
163406,2022Q3,0.6805,10,5
163406,2022Q4,0.6649,10,5
163406,2023Q1,0.6714,10,5
163406,2023Q2,0.6811,10,6
163406,2023Q3,0.6822,10,5
163406,2023Q4,0.6759,10,5
163406,2024Q1,0.6836,10,5
163406,2024Q2,0.7126,10,6
163406,2024Q3,0.6976,10,6
163406,2024Q4,0.6952,10,7
270002,2020Q1,0.6263,10,5
270002,2020Q2,0.6215,10,5
270002,2020Q3,0.613,10,6
270002,2020Q4,0.6447,10,6
270002,2021Q1,0.6408,10,6
270002,2021Q2,0.6208,10,5
270002,2021Q3,0.6378,10,4
270002,2021Q4,0.6436,10,5
270002,2022Q1,0.6115,10,6
270002,2022Q2,0.6271,10,5
270002,2022Q3,0.615,10,4
270002,2022Q4,0.6233,10,4
270002,2023Q1,0.6263,10,4
270002,2023Q2,0.6175,10,4
270002,2023Q3,0.6275,10,5
270002,2023Q4,0.6233,10,5
270002,2024Q1,0.6227,10,5
270002,2024Q2,0.6154,10,6
270002,2024Q3,0.6315,10,5
270002,2024Q4,0.648,10,4
519066,2020Q1,0.7455,10,4
519066,2020Q2,0.7354,10,4
519066,2020Q3,0.7131,10,4
519066,2020Q4,0.7369,10,5
519066,2021Q1,0.7702,10,5
519066,2021Q2,0.7894,10,5
519066,2021Q3,0.7198,10,7
519066,2021Q4,0.7136,10,7
519066,2022Q1,0.701,10,8
519066,2022Q2,0.6942,10,9
519066,2022Q3,0.6836,10,10
519066,2022Q4,0.6944,10,9
519066,2023Q1,0.7052,10,9
519066,2023Q2,0.6892,10,9
519066,2023Q3,0.6966,10,8
519066,2023Q4,0.6895,10,8
519066,2024Q1,0.6781,10,9
519066,2024Q2,0.6172,10,10
519066,2024Q3,0.6332,10,10
519066,2024Q4,0.613,10,10
