fund_code,quarter,arg
5827,2020Q2,0.335215
5827,2020Q3,0.258174
5827,2020Q4,0.264374
5827,2021Q1,0.18713
5827,2021Q2,0.135355
5827,2021Q3,0.255372
5827,2021Q4,0.091304
5827,2022Q1,0.191433
5827,2022Q2,0.145409
5827,2022Q3,0.17702299999999999
5827,2022Q4,0.540305
5827,2023Q1,0.128111
5827,2023Q2,0.16699999999999998
5827,2023Q3,0.196335
5827,2023Q4,0.13238
5827,2024Q1,0.23214
5827,2024Q2,0.10778
5827,2024Q3,0.246065
5827,2024Q4,0.099802
161725,2020Q2,0.301298
161725,2020Q3,0.40542500000000004
161725,2020Q4,0.433219
161725,2021Q1,0.116051
161725,2021Q2,0.283562
161725,2021Q3,0.330968
161725,2021Q4,0.051449999999999996
161725,2022Q1,0.262036
161725,2022Q2,0.24163099999999998
161725,2022Q3,0.153614
161725,2022Q4,0.494667
161725,2023Q1,0.1016
161725,2023Q2,0.190516
161725,2023Q3,0.22007
161725,2023Q4,0.106993
161725,2024Q1,0.279539
161725,2024Q2,0.174713
161725,2024Q3,0.326971
161725,2024Q4,0.193654
163406,2020Q2,0.257128
163406,2020Q3,0.199678
163406,2020Q4,0.169036
163406,2021Q1,0.08884
163406,2021Q2,0.043051
163406,2021Q3,0.098861
163406,2021Q4,0.09137899999999999
163406,2022Q1,0.24366300000000002
163406,2022Q2,0.1992
163406,2022Q3,0.168139
163406,2022Q4,0.104712
163406,2023Q1,0.070453
163406,2023Q2,0.07008
163406,2023Q3,0.074018
163406,2023Q4,0.040848999999999996
163406,2024Q1,0.291042
163406,2024Q2,0.076111
163406,2024Q3,0.280305
163406,2024Q4,0.037836
270002,2020Q2,0.119698
270002,2020Q3,0.098136
270002,2020Q4,0.042972
270002,2021Q1,0.082636
270002,2021Q2,0.046142
270002,2021Q3,0.065268
270002,2021Q4,0.035704
270002,2022Q1,0.098957
270002,2022Q2,0.062618
270002,2022Q3,0.067829
270002,2022Q4,0.076881
270002,2023Q1,0.049537
270002,2023Q2,0.047444
270002,2023Q3,0.053172
270002,2023Q4,0.035657
270002,2024Q1,0.098817
270002,2024Q2,0.057053
270002,2024Q3,0.094802
270002,2024Q4,0.041685
519066,2020Q2,0.28991
519066,2020Q3,0.19139
519066,2020Q4,0.126301
519066,2021Q1,0.116576
519066,2021Q2,0.092511
519066,2021Q3,0.207591
519066,2021Q4,0.051903
519066,2022Q1,0.174762
519066,2022Q2,0.19173099999999998
519066,2022Q3,0.105524
519066,2022Q4,0.13939200000000002
519066,2023Q1,0.094143
519066,2023Q2,0.139871
519066,2023Q3,0.094559
519066,2023Q4,0.057847
519066,2024Q1,0.218853
519066,2024Q2,0.061194
519066,2024Q3,0.203467
519066,2024Q4,0.048567
