fund_code,report_date,year,quarter,AS_new,num_holdings
10115,2021-06-30,2021,2,0.974768093152107,82
10115,2021-12-31,2021,4,0.9744328831082065,115
10115,2022-06-30,2022,2,0.9697075382028079,107
10115,2022-12-31,2022,4,0.9688805185494814,94
10115,2023-06-30,2023,2,0.9833333333333196,130
10115,2023-12-31,2023,4,0.9823333333333196,134
10115,2024-06-30,2024,2,0.9713333333333196,83
10115,2024-12-31,2024,4,0.9679999999999864,77
10115,2025-06-30,2025,2,0.9781541301338118,85
10115,2025-12-31,2025,4,0.960984392419161,144
10237,2020-06-30,2020,2,0.9896666666666524,10
10237,2020-12-31,2020,4,0.9625248561734631,57
10237,2021-06-30,2021,2,0.9669629172325666,136
10237,2021-12-31,2021,4,0.9664264614690646,105
10237,2022-06-30,2022,2,0.9691217155822153,97
10237,2022-12-31,2022,4,0.9707586380026333,75
10237,2023-06-30,2023,2,0.962929328621894,65
10237,2023-12-31,2023,4,0.9576666666666528,95
10237,2024-06-30,2024,2,0.9592480625912839,81
10237,2024-12-31,2024,4,0.9593333333333187,72
10237,2025-06-30,2025,2,0.9671940769623404,68
10237,2025-12-31,2025,4,0.9679999999999859,66
10238,2020-06-30,2020,2,0.9896666666666524,10
10238,2020-12-31,2020,4,0.9625248561734631,57
10238,2021-06-30,2021,2,0.9669629172325666,136
10238,2021-12-31,2021,4,0.9664264614690646,105
10238,2022-06-30,2022,2,0.9691217155822153,97
10238,2022-12-31,2022,4,0.9707586380026333,75
10238,2023-06-30,2023,2,0.962929328621894,65
10238,2023-12-31,2023,4,0.9576666666666528,95
10238,2024-06-30,2024,2,0.9592480625912839,81
10238,2024-12-31,2024,4,0.9593333333333187,72
10238,2025-06-30,2025,2,0.9671940769623404,68
10238,2025-12-31,2025,4,0.9679999999999859,66
10335,2021-06-30,2021,2,0.9581558762184335,149
10335,2021-12-31,2021,4,0.9579999999999849,130
10335,2022-06-30,2022,2,0.9513333333333194,97
10335,2022-12-31,2022,4,0.9702539892153483,86
10335,2023-06-30,2023,2,0.9575075407817646,92
10335,2023-12-31,2023,4,0.9606343420866295,120
10335,2024-06-30,2024,2,0.9798525073746167,72
10335,2024-12-31,2024,4,0.9774403199034111,77
10335,2025-06-30,2025,2,0.9556666666666536,95
10335,2025-12-31,2025,4,0.9703333333333202,73
1037,2020-06-30,2020,2,0.9608281934541572,81
1037,2020-12-31,2020,4,0.9583040367909936,74
1037,2021-06-30,2021,2,0.9465963609605863,146
1037,2021-12-31,2021,4,0.9538317378881578,208
