序号,stock_code,stock_name,hold_ratio,hold_shares,hold_value,report_period,fund_code,year
1,00700,腾讯控股,9.88,265.5,92231.71,2020年1季度股票投资明细,005827,2020
2,600519,贵州茅台,9.82,82.49,91650.72,2020年1季度股票投资明细,005827,2020
3,000568,泸州老窖,9.55,1210.33,89140.82,2020年1季度股票投资明细,005827,2020
4,000858,五粮液,9.54,773.35,89089.83,2020年1季度股票投资明细,005827,2020
5,01177,中国生物制药,9.07,9070.5,84700.46,2020年1季度股票投资明细,005827,2020
6,00388,香港交易所,8.53,372.6,79595.95,2020年1季度股票投资明细,005827,2020
7,002007,华兰生物,7.75,1509.99,72358.62,2020年1季度股票投资明细,005827,2020
8,02269,药明生物,7.18,730.0,67033.6,2020年1季度股票投资明细,005827,2020
9,01093,石药集团,6.94,4565.0,64734.55,2020年1季度股票投资明细,005827,2020
10,600009,上海机场,4.26,653.99,39769.23,2020年1季度股票投资明细,005827,2020
11,00388,香港交易所,9.62,581.68,175338.83,2020年2季度股票投资明细,005827,2020
12,00700,腾讯控股,9.57,382.9,174388.43,2020年2季度股票投资明细,005827,2020
13,000858,五粮液,9.48,1009.01,172661.29,2020年2季度股票投资明细,005827,2020
14,600519,贵州茅台,9.45,117.7,172182.59,2020年2季度股票投资明细,005827,2020
15,000568,泸州老窖,9.43,1885.0,171761.49,2020年2季度股票投资明细,005827,2020
16,03690,美团-W,7.19,834.72,131068.01,2020年2季度股票投资明细,005827,2020
17,01177,中国生物制药,6.22,8500.5,113364.57,2020年2季度股票投资明细,005827,2020
18,02269,药明生物,4.05,570.0,73829.7,2020年2季度股票投资明细,005827,2020
19,600161,天坛生物,3.98,1600.0,72528.22,2020年2季度股票投资明细,005827,2020
20,300015,爱尔眼科,3.94,1650.01,71692.78,2020年2季度股票投资明细,005827,2020
21,000568,泸州老窖,9.76,2307.85,331292.0,2020年3季度股票投资明细,005827,2020
22,002304,洋河股份,9.52,2585.0,323099.45,2020年3季度股票投资明细,005827,2020
23,600519,贵州茅台,9.52,193.56,322950.69,2020年3季度股票投资明细,005827,2020
24,00700,腾讯控股,9.51,718.4,322895.86,2020年3季度股票投资明细,005827,2020
25,00388,香港交易所,9.48,1012.26,321818.61,2020年3季度股票投资明细,005827,2020
26,000858,五粮液,9.47,1454.71,321491.24,2020年3季度股票投资明细,005827,2020
27,03690,美团-W,5.32,850.0,180603.32,2020年3季度股票投资明细,005827,2020
28,300015,爱尔眼科,4.85,3200.0,164544.03,2020年3季度股票投资明细,005827,2020
29,01177,中国生物制药,4.37,20000.0,148327.94,2020年3季度股票投资明细,005827,2020
30,002415,海康威视,4.27,3800.01,144818.49,2020年3季度股票投资明细,005827,2020
31,600519,贵州茅台,9.64,326.55,652453.29,2020年4季度股票投资明细,005827,2020
32,03690,美团-W,9.59,2619.23,649430.6,2020年4季度股票投资明细,005827,2020
33,002304,洋河股份,9.48,2720.0,641892.8,2020年4季度股票投资明细,005827,2020
34,00700,腾讯控股,9.48,1352.0,641774.07,2020年4季度股票投资明细,005827,2020
35,000858,五粮液,9.42,2185.85,637940.29,2020年4季度股票投资明细,005827,2020
36,00388,香港交易所,9.4,1779.67,636582.62,2020年4季度股票投资明细,005827,2020
37,000568,泸州老窖,9.25,2770.0,626463.2,2020年4季度股票投资明细,005827,2020
38,002415,海康威视,5.02,7000.0,339570.12,2020年4季度股票投资明细,005827,2020
39,300015,爱尔眼科,3.54,3200.0,239648.04,2020年4季度股票投资明细,005827,2020
40,01579,颐海国际,3.07,2150.0,208095.49,2020年4季度股票投资明细,005827,2020
1,000858,五粮液,10.05,3300.0,884334.0,2021年1季度股票投资明细,005827,2021
2,00388,香港交易所,10.04,2286.0,883734.07,2021年1季度股票投资明细,005827,2021
3,600519,贵州茅台,9.86,432.0,867888.0,2021年1季度股票投资明细,005827,2021
4,03690,美团-W,9.65,3370.43,849458.49,2021年1季度股票投资明细,005827,2021
5,00700,腾讯控股,9.43,1610.0,830051.28,2021年1季度股票投资明细,005827,2021
6,000568,泸州老窖,7.62,2980.0,670560.59,2021年1季度股票投资明细,005827,2021
7,600036,招商银行,6.56,11300.0,577430.0,2021年1季度股票投资明细,005827,2021
8,002415,海康威视,5.72,9000.02,503100.89,2021年1季度股票投资明细,005827,2021
9,002304,洋河股份,4.68,2500.02,411753.21,2021年1季度股票投资明细,005827,2021
10,000001,平安银行,3.25,13000.0,286130.0,2021年1季度股票投资明细,005827,2021
11,00388,香港交易所,9.9,2310.0,889550.1,2021年2季度股票投资明细,005827,2021
12,000858,五粮液,9.88,2980.0,887712.2,2021年2季度股票投资明细,005827,2021
13,00700,腾讯控股,9.78,1810.0,879541.84,2021年2季度股票投资明细,005827,2021
14,600519,贵州茅台,9.75,426.0,876154.2,2021年2季度股票投资明细,005827,2021
15,000568,泸州老窖,9.71,3700.01,872980.71,2021年2季度股票投资明细,005827,2021
16,002304,洋河股份,9.68,4200.01,870241.47,2021年2季度股票投资明细,005827,2021
17,03690,美团-W,8.3,2800.0,746475.61,2021年2季度股票投资明细,005827,2021
18,600036,招商银行,6.81,11300.0,612347.0,2021年2季度股票投资明细,005827,2021
19,002415,海康威视,6.46,9000.02,580501.03,2021年2季度股票投资明细,005827,2021
20,03968,招商银行,3.07,5000.0,275626.5,2021年2季度股票投资明细,005827,2021
21,000568,泸州老窖,9.93,3130.0,693545.4,2021年3季度股票投资明细,005827,2021
22,600519,贵州茅台,9.9,378.0,691740.0,2021年3季度股票投资明细,005827,2021
23,000858,五粮液,9.83,3130.0,686690.7,2021年3季度股票投资明细,005827,2021
24,002415,海康威视,9.76,12400.0,682000.0,2021年3季度股票投资明细,005827,2021
25,00388,香港交易所,9.49,1658.0,662706.23,2021年3季度股票投资明细,005827,2021
26,002304,洋河股份,9.48,3988.66,662436.65,2021年3季度股票投资明细,005827,2021
27,00700,腾讯控股,9.37,1703.0,654588.72,2021年3季度股票投资明细,005827,2021
28,600036,招商银行,8.31,11500.01,580175.5,2021年3季度股票投资明细,005827,2021
29,600887,伊利股份,5.72,10600.02,399620.58,2021年3季度股票投资明细,005827,2021
30,000001,平安银行,5.13,20000.01,358600.13,2021年3季度股票投资明细,005827,2021
31,00700,腾讯控股,10.12,1832.62,684446.33,2021年4季度股票投资明细,005827,2021
32,002415,海康威视,9.83,12700.0,664464.19,2021年4季度股票投资明细,005827,2021
33,000568,泸州老窖,9.76,2600.0,660062.0,2021年4季度股票投资明细,005827,2021
34,600519,贵州茅台,9.7,320.0,656000.0,2021年4季度股票投资明细,005827,2021
35,000858,五粮液,9.35,2840.0,632354.4,2021年4季度股票投资明细,005827,2021
36,002304,洋河股份,9.18,3770.0,621032.1,2021年4季度股票投资明细,005827,2021
37,00388,香港交易所,9.13,1658.0,617331.5,2021年4季度股票投资明细,005827,2021
38,600036,招商银行,8.28,11500.01,560165.49,2021年4季度股票投资明细,005827,2021
39,600887,伊利股份,7.11,11600.01,480936.57,2021年4季度股票投资明细,005827,2021
40,000001,平安银行,4.58,18800.0,309824.0,2021年4季度股票投资明细,005827,2021
1,600519,贵州茅台,9.81,315.3,542000.7,2022年1季度股票投资明细,005827,2022
2,600036,招商银行,9.74,11500.01,538200.47,2022年1季度股票投资明细,005827,2022
3,00700,腾讯控股,9.66,1760.0,534124.7,2022年1季度股票投资明细,005827,2022
4,002415,海康威视,9.35,12600.0,516600.0,2022年1季度股票投资明细,005827,2022
5,000568,泸州老窖,9.08,2700.0,501876.0,2022年1季度股票投资明细,005827,2022
6,000858,五粮液,9.08,3236.01,501775.45,2022年1季度股票投资明细,005827,2022
7,00388,香港交易所,9.04,1658.0,499404.71,2022年1季度股票投资明细,005827,2022
8,002304,洋河股份,8.91,3630.0,492336.9,2022年1季度股票投资明细,005827,2022
9,600887,伊利股份,7.74,11600.0,427924.0,2022年1季度股票投资明细,005827,2022
10,03690,美团-W,5.02,2200.0,277624.94,2022年1季度股票投资明细,005827,2022
11,000858,五粮液,9.94,3090.0,623963.7,2022年2季度股票投资明细,005827,2022
12,002304,洋河股份,9.92,3400.0,622710.0,2022年2季度股票投资明细,005827,2022
13,000568,泸州老窖,9.89,2518.0,620787.72,2022年2季度股票投资明细,005827,2022
14,600519,贵州茅台,9.84,302.0,617590.0,2022年2季度股票投资明细,005827,2022
15,00700,腾讯控股,8.74,1810.0,548573.6,2022年2季度股票投资明细,005827,2022
