fund_code,report_date,quarter,stock_code,stock_name,hold_ratio
002910,2020-03-31,2020Q1,600486,扬农化工,7.57
002910,2020-03-31,2020Q1,002734,利民股份,5.73
002910,2020-03-31,2020Q1,603378,亚士创能,5.54
002910,2020-03-31,2020Q1,002597,金禾实业,5.1
002910,2020-03-31,2020Q1,002258,利尔化学,4.61
002910,2020-03-31,2020Q1,000902,新洋丰,4.4
002910,2020-03-31,2020Q1,603033,三维股份,2.34
002910,2020-03-31,2020Q1,603916,苏博特,2.09
002910,2020-03-31,2020Q1,600873,梅花生物,2.03
002910,2020-03-31,2020Q1,600309,万华化学,1.99
002910,2020-06-30,2020Q2,600486,扬农化工,7.77
002910,2020-06-30,2020Q2,002597,金禾实业,6.04
002910,2020-06-30,2020Q2,002648,卫星化学,5.89
002910,2020-06-30,2020Q2,002258,利尔化学,5.81
002910,2020-06-30,2020Q2,000902,新洋丰,5.49
002910,2020-06-30,2020Q2,600409,三友化工,5.08
002910,2020-06-30,2020Q2,002734,利民股份,4.86
002910,2020-06-30,2020Q2,603378,亚士创能,4.34
002910,2020-06-30,2020Q2,600309,万华化学,4.17
002910,2020-06-30,2020Q2,002250,联化科技,2.81
002910,2020-09-30,2020Q3,002597,金禾实业,6.91
002910,2020-09-30,2020Q3,600486,扬农化工,6.19
002910,2020-09-30,2020Q3,002648,卫星化学,5.74
002910,2020-09-30,2020Q3,000902,新洋丰,5.17
002910,2020-09-30,2020Q3,002258,利尔化学,4.39
002910,2020-09-30,2020Q3,002206,海利得,4.19
002910,2020-09-30,2020Q3,002734,利民股份,4.19
002910,2020-09-30,2020Q3,002643,万润股份,3.98
002910,2020-09-30,2020Q3,600309,万华化学,3.48
002910,2020-09-30,2020Q3,002080,中材科技,3.16
002910,2020-12-31,2020Q4,000902,新洋丰,5.8
002910,2020-12-31,2020Q4,002648,卫星化学,5.2
002910,2020-12-31,2020Q4,601808,中海油服,5.02
002910,2020-12-31,2020Q4,600989,宝丰能源,4.97
002910,2020-12-31,2020Q4,002734,利民股份,4.94
002910,2020-12-31,2020Q4,600486,扬农化工,4.93
002910,2020-12-31,2020Q4,002597,金禾实业,4.92
002910,2020-12-31,2020Q4,002206,海利得,4.81
002910,2020-12-31,2020Q4,002643,万润股份,4.05
002910,2020-12-31,2020Q4,600309,万华化学,3.34
002910,2021-03-31,2021Q1,600989,宝丰能源,7.42
002910,2021-03-31,2021Q1,002648,卫星化学,7.3
002910,2021-03-31,2021Q1,603378,亚士创能,5.7
002910,2021-03-31,2021Q1,000902,新洋丰,4.93
002910,2021-03-31,2021Q1,601808,中海油服,4.92
002910,2021-03-31,2021Q1,600583,海油工程,4.86
002910,2021-03-31,2021Q1,002206,海利得,4.57
002910,2021-03-31,2021Q1,600660,福耀玻璃,3.6
002910,2021-03-31,2021Q1,002734,利民股份,3.54
002910,2021-03-31,2021Q1,002475,立讯精密,3.51
002910,2021-06-30,2021Q2,002648,卫星化学,9.75
002910,2021-06-30,2021Q2,600989,宝丰能源,5.74
002910,2021-06-30,2021Q2,601808,中海油服,5.14
002910,2021-06-30,2021Q2,000902,新洋丰,5.04
002910,2021-06-30,2021Q2,600583,海油工程,4.88
002910,2021-06-30,2021Q2,002206,海利得,4.7
002910,2021-06-30,2021Q2,601233,桐昆股份,4.31
002910,2021-06-30,2021Q2,600660,福耀玻璃,4.08
002910,2021-06-30,2021Q2,000807,云铝股份,4.04
002910,2021-06-30,2021Q2,002475,立讯精密,4.03
002910,2021-09-30,2021Q3,002648,卫星化学,8.02
002910,2021-09-30,2021Q3,002206,海利得,7.62
002910,2021-09-30,2021Q3,601808,中海油服,7.07
002910,2021-09-30,2021Q3,600583,海油工程,6.92
002910,2021-09-30,2021Q3,600989,宝丰能源,5.78
002910,2021-09-30,2021Q3,600188,兖矿能源,5.23
002910,2021-09-30,2021Q3,603995,甬金股份,5.22
002910,2021-09-30,2021Q3,000807,云铝股份,4.61
002910,2021-09-30,2021Q3,002475,立讯精密,4.59
002910,2021-09-30,2021Q3,601702,华峰铝业,4.57
002910,2021-12-31,2021Q4,603995,甬金股份,8.95
002910,2021-12-31,2021Q4,002648,卫星化学,7.98
