fund_code,report_date,quarter,stock_code,stock_name,hold_ratio
002910,2020-06-30,2020Q2,000902,新洋丰,5.8
002910,2020-06-30,2020Q2,002648,卫星化学,5.2
002910,2020-06-30,2020Q2,601808,中海油服,5.02
002910,2020-06-30,2020Q2,600989,宝丰能源,4.97
002910,2020-06-30,2020Q2,002734,利民股份,4.94
002910,2020-06-30,2020Q2,600486,扬农化工,4.93
002910,2020-06-30,2020Q2,002597,金禾实业,4.92
002910,2020-06-30,2020Q2,002206,海利得,4.81
002910,2020-06-30,2020Q2,002643,万润股份,4.05
002910,2020-06-30,2020Q2,600309,万华化学,3.34
002910,2020-06-30,2020Q2,002597,金禾实业,6.91
002910,2020-06-30,2020Q2,600486,扬农化工,6.19
002910,2020-06-30,2020Q2,002648,卫星化学,5.74
002910,2020-06-30,2020Q2,000902,新洋丰,5.17
002910,2020-06-30,2020Q2,002258,利尔化学,4.39
002910,2020-06-30,2020Q2,002206,海利得,4.19
002910,2020-06-30,2020Q2,002734,利民股份,4.19
002910,2020-06-30,2020Q2,002643,万润股份,3.98
002910,2020-06-30,2020Q2,600309,万华化学,3.48
002910,2020-06-30,2020Q2,002080,中材科技,3.16
002910,2020-06-30,2020Q2,600486,扬农化工,7.77
002910,2020-06-30,2020Q2,002597,金禾实业,6.04
002910,2020-06-30,2020Q2,002648,卫星化学,5.89
002910,2020-06-30,2020Q2,002258,利尔化学,5.81
002910,2020-06-30,2020Q2,000902,新洋丰,5.49
002910,2020-06-30,2020Q2,600409,三友化工,5.08
002910,2020-06-30,2020Q2,002734,利民股份,4.86
002910,2020-06-30,2020Q2,603378,亚士创能,4.34
002910,2020-06-30,2020Q2,600309,万华化学,4.17
002910,2020-06-30,2020Q2,002250,联化科技,2.81
002910,2020-06-30,2020Q2,300575,中旗股份,2.31
002910,2020-06-30,2020Q2,300530,领湃科技,2.31
002910,2020-06-30,2020Q2,002876,三利谱,2.27
002910,2020-06-30,2020Q2,603650,彤程新材,2.21
002910,2020-06-30,2020Q2,601233,桐昆股份,2.13
002910,2020-06-30,2020Q2,600596,新安股份,2.09
002910,2020-06-30,2020Q2,000059,华锦股份,2.06
002910,2020-06-30,2020Q2,002064,华峰化学,2.05
002910,2020-06-30,2020Q2,002601,龙佰集团,1.98
002910,2020-06-30,2020Q2,600346,恒力石化,1.95
002910,2020-06-30,2020Q2,000703,恒逸石化,1.85
002910,2020-06-30,2020Q2,603033,三维股份,1.78
002910,2020-06-30,2020Q2,300806,斯迪克,1.35
002910,2020-06-30,2020Q2,300121,阳谷华泰,1.32
002910,2020-06-30,2020Q2,002409,雅克科技,1.27
002910,2020-06-30,2020Q2,300054,鼎龙股份,1.2
002910,2020-06-30,2020Q2,603938,三孚股份,1.14
002910,2020-06-30,2020Q2,000822,山东海化,1.12
002910,2020-06-30,2020Q2,000830,鲁西化工,1.07
002910,2020-06-30,2020Q2,002493,荣盛石化,0.98
002910,2020-06-30,2020Q2,002254,泰和新材,0.98
002910,2020-06-30,2020Q2,601808,中海油服,0.94
002910,2020-06-30,2020Q2,600426,华鲁恒升,0.92
002910,2020-06-30,2020Q2,688300,联瑞新材,0.85
002910,2020-06-30,2020Q2,002810,山东赫达,0.84
002910,2020-06-30,2020Q2,300782,卓胜微,0.29
002910,2020-06-30,2020Q2,603290,斯达半导,0.18
002910,2020-06-30,2020Q2,603392,万泰生物,0.16
002910,2020-06-30,2020Q2,603087,甘李药业,0.03
002910,2020-06-30,2020Q2,300842,帝科股份,0.02
