序号,stock_code,stock_name,hold_ratio,hold_shares,hold_value,report_period,fund_code
1,000063,中兴通讯,8.56,6.5,278.2,2020年1季度股票投资明细,005844
2,002236,大华股份,8.38,16.84,272.3,2020年1季度股票投资明细,005844
3,002415,海康威视,8.02,9.34,260.59,2020年1季度股票投资明细,005844
4,002475,立讯精密,7.16,6.1,232.78,2020年1季度股票投资明细,005844
5,002384,东山精密,6.78,10.7,220.53,2020年1季度股票投资明细,005844
6,002214,大立科技,6.18,10.36,200.98,2020年1季度股票投资明细,005844
7,300124,汇川技术,5.96,7.5,193.88,2020年1季度股票投资明细,005844
8,002555,三七互娱,5.94,5.91,193.02,2020年1季度股票投资明细,005844
9,002624,完美世界,5.85,4.0,190.2,2020年1季度股票投资明细,005844
10,600183,生益科技,5.13,6.3,166.76,2020年1季度股票投资明细,005844
11,002236,大华股份,8.84,17.76,341.17,2020年2季度股票投资明细,005844
12,002415,海康威视,8.72,11.09,336.58,2020年2季度股票投资明细,005844
13,000063,中兴通讯,5.26,5.06,203.06,2020年2季度股票投资明细,005844
14,002475,立讯精密,4.03,3.03,155.53,2020年2季度股票投资明细,005844
15,002555,三七互娱,3.64,3.0,140.4,2020年2季度股票投资明细,005844
16,300502,新易盛,3.53,2.16,136.34,2020年2季度股票投资明细,005844
17,300770,新媒股份,3.36,0.58,129.72,2020年2季度股票投资明细,005844
18,300033,同花顺,3.28,0.95,126.43,2020年2季度股票投资明细,005844
19,002912,中新赛克,3.18,0.75,122.69,2020年2季度股票投资明细,005844
20,300394,天孚通信,3.16,2.05,122.08,2020年2季度股票投资明细,005844
21,002415,海康威视,9.14,8.6,327.75,2020年3季度股票投资明细,005844
22,002236,大华股份,8.69,15.2,311.6,2020年3季度股票投资明细,005844
23,000063,中兴通讯,8.64,9.36,309.82,2020年3季度股票投资明细,005844
24,002475,立讯精密,5.68,3.56,203.65,2020年3季度股票投资明细,005844
25,300408,三环集团,3.7,4.6,132.8,2020年3季度股票投资明细,005844
26,601231,环旭电子,3.56,5.0,127.6,2020年3季度股票投资明细,005844
27,300413,芒果超媒,2.99,1.59,107.17,2020年3季度股票投资明细,005844
28,002555,三七互娱,2.9,2.62,103.99,2020年3季度股票投资明细,005844
29,600183,生益科技,2.87,4.42,103.07,2020年3季度股票投资明细,005844
30,002912,中新赛克,2.83,1.49,101.53,2020年3季度股票投资明细,005844
31,002415,海康威视,8.65,6.2,300.76,2020年4季度股票投资明细,005844
32,002236,大华股份,8.58,15.0,298.35,2020年4季度股票投资明细,005844
33,000063,中兴通讯,8.42,8.7,292.76,2020年4季度股票投资明细,005844
34,300413,芒果超媒,6.26,3.0,217.5,2020年4季度股票投资明细,005844
35,300394,天孚通信,5.92,3.86,205.85,2020年4季度股票投资明细,005844
36,300502,新易盛,5.76,3.61,200.28,2020年4季度股票投资明细,005844
37,300792,壹网壹创,5.4,1.7,187.7,2020年4季度股票投资明细,005844
38,002439,启明星辰,5.29,6.3,184.02,2020年4季度股票投资明细,005844
39,300378,鼎捷数智,5.17,6.59,179.58,2020年4季度股票投资明细,005844
40,300308,中际旭创,4.99,3.41,173.43,2020年4季度股票投资明细,005844
1,002236,大华股份,8.73,11.0,271.37,2021年1季度股票投资明细,005844
2,000063,中兴通讯,8.58,9.1,266.81,2021年1季度股票投资明细,005844
3,002415,海康威视,8.11,4.51,252.11,2021年1季度股票投资明细,005844
4,601615,明阳智能,5.69,10.14,176.94,2021年1季度股票投资明细,005844
5,002414,高德红外,5.64,4.9,175.47,2021年1季度股票投资明细,005844
6,300124,汇川技术,5.5,2.0,171.02,2021年1季度股票投资明细,005844
7,300274,阳光电源,5.29,2.29,164.38,2021年1季度股票投资明细,005844
8,002475,立讯精密,5.27,4.84,163.74,2021年1季度股票投资明细,005844
9,300413,芒果超媒,5.18,2.77,160.99,2021年1季度股票投资明细,005844
10,000951,中国重汽,4.88,3.97,151.65,2021年1季度股票投资明细,005844
11,002415,海康威视,8.76,4.4,283.8,2021年2季度股票投资明细,005844
12,000063,中兴通讯,8.51,8.3,275.81,2021年2季度股票投资明细,005844
13,002236,大华股份,7.75,11.9,251.09,2021年2季度股票投资明细,005844
14,688208,道通科技,5.64,2.1,182.68,2021年2季度股票投资明细,005844
15,688036,传音控股,5.3,0.82,171.85,2021年2季度股票投资明细,005844
16,300124,汇川技术,5.1,2.23,165.23,2021年2季度股票投资明细,005844
17,300408,三环集团,4.87,3.72,157.8,2021年2季度股票投资明细,005844
18,601100,恒立液压,4.61,1.74,149.5,2021年2季度股票投资明细,005844
19,300724,捷佳伟创,4.58,1.28,148.49,2021年2季度股票投资明细,005844
20,002008,大族激光,4.54,3.64,147.02,2021年2季度股票投资明细,005844
21,002415,海康威视,9.05,4.35,239.25,2021年3季度股票投资明细,005844
22,000063,中兴通讯,8.78,7.0,231.91,2021年3季度股票投资明细,005844
23,002236,大华股份,8.62,9.6,227.71,2021年3季度股票投资明细,005844
24,600570,恒生电子,6.94,3.2,183.3,2021年3季度股票投资明细,005844
25,002241,歌尔股份,6.52,4.0,172.4,2021年3季度股票投资明细,005844
26,688208,道通科技,5.84,2.18,154.41,2021年3季度股票投资明细,005844
27,002920,德赛西威,5.44,1.71,143.78,2021年3季度股票投资明细,005844
28,300408,三环集团,5.36,3.82,141.72,2021年3季度股票投资明细,005844
29,600660,福耀玻璃,5.34,3.34,141.12,2021年3季度股票投资明细,005844
30,688036,传音控股,5.23,0.98,138.18,2021年3季度股票投资明细,005844
31,002555,三七互娱,5.09,4.98,134.56,2021年4季度股票投资明细,005844
32,002624,完美世界,4.92,6.41,130.19,2021年4季度股票投资明细,005844
33,002602,世纪华通,4.92,15.5,130.05,2021年4季度股票投资明细,005844
34,603825,华扬联众,4.83,4.38,127.72,2021年4季度股票投资明细,005844
35,300413,芒果超媒,4.8,2.22,127.03,2021年4季度股票投资明细,005844
36,300770,新媒股份,4.69,2.07,124.2,2021年4季度股票投资明细,005844
37,300418,昆仑万维,4.44,5.07,117.37,2021年4季度股票投资明细,005844
38,300364,中文在线,3.01,5.37,79.64,2021年4季度股票投资明细,005844
39,600640,国脉文化,2.97,5.15,78.54,2021年4季度股票投资明细,005844
40,002292,奥飞娱乐,2.95,12.31,77.92,2021年4季度股票投资明细,005844
1,300413,芒果超媒,5.02,6.38,198.8,2022年1季度股票投资明细,005844
2,002987,京北方,4.91,4.95,194.44,2022年1季度股票投资明细,005844
3,000665,湖北广电,4.79,20.0,189.6,2022年1季度股票投资明细,005844
4,300579,数字认证,4.24,3.4,167.86,2022年1季度股票投资明细,005844
5,002555,三七互娱,4.2,7.1,166.5,2022年1季度股票投资明细,005844
6,600756,浪潮软件,4.2,11.5,166.18,2022年1季度股票投资明细,005844
7,600880,博瑞传播,3.93,26.1,155.82,2022年1季度股票投资明细,005844
8,605168,三人行,3.87,0.98,153.47,2022年1季度股票投资明细,005844
9,600986,浙文互联,3.7,22.75,146.51,2022年1季度股票投资明细,005844
