序号,行业类别,占净值比例,市值,截止时间,fund_code
1,制造业,77.45,53646.504312,2024-12-31,481015
2,信息传输、软件和信息技术服务业,16.96,11745.508166,2024-12-31,481015
3,交通运输、仓储和邮政业,0.0,3.18648,2024-12-31,481015
4,科学研究和技术服务业,0.0,1.114856,2024-12-31,481015
5,制造业,86.32,56784.08749,2024-09-30,481015
6,采矿业,4.38,2882.689,2024-09-30,481015
7,信息传输、软件和信息技术服务业,3.78,2488.278214,2024-09-30,481015
8,科学研究和技术服务业,0.0,0.954168,2024-09-30,481015
9,制造业,85.98,50436.633058,2024-06-30,481015
10,采矿业,6.11,3583.15848,2024-06-30,481015
11,信息传输、软件和信息技术服务业,2.3,1348.628826,2024-06-30,481015
12,水利、环境和公共设施管理业,0.0,1.463532,2024-06-30,481015
13,制造业,86.88,54093.885792,2024-03-31,481015
14,信息传输、软件和信息技术服务业,4.27,2661.569752,2024-03-31,481015
15,采矿业,3.08,1916.4546,2024-03-31,481015
16,科学研究和技术服务业,0.0,1.575021,2024-03-31,481015
17,水利、环境和公共设施管理业,0.0,1.156337,2024-03-31,481015
18,交通运输、仓储和邮政业,0.0,1.042185,2024-03-31,481015
19,租赁和商务服务业,0.0,0.30976,2024-03-31,481015
1,制造业,86.89,120075.819763,2024-12-31,162201
2,信息传输、软件和信息技术服务业,6.33,8746.2185,2024-12-31,162201
3,制造业,92.55,124678.589631,2024-09-30,162201
4,信息传输、软件和信息技术服务业,1.1,1484.749852,2024-09-30,162201
5,采矿业,0.86,1154.9738,2024-09-30,162201
6,制造业,94.65,117406.147475,2024-06-30,162201
7,采矿业,0.05,63.252,2024-06-30,162201
8,制造业,92.77,91194.071369,2024-03-31,162201
9,采矿业,1.71,1680.1498,2024-03-31,162201
10,信息传输、软件和信息技术服务业,0.48,470.338472,2024-03-31,162201
1,制造业,72.0,3247.69307,2024-12-31,162214
2,信息传输、软件和信息技术服务业,22.32,1006.706002,2024-12-31,162214
3,制造业,71.72,3131.648325,2024-09-30,162214
4,信息传输、软件和信息技术服务业,22.21,969.63539,2024-09-30,162214
5,制造业,75.51,2853.78423,2024-06-30,162214
6,信息传输、软件和信息技术服务业,17.86,675.141186,2024-06-30,162214
7,制造业,75.13,2907.224911,2024-03-31,162214
8,信息传输、软件和信息技术服务业,15.23,589.257176,2024-03-31,162214
1,制造业,44.92,26873.744898,2024-12-31,630001
2,金融业,10.93,6539.0814,2024-12-31,630001
3,采矿业,5.86,3506.1052,2024-12-31,630001
4,交通运输、仓储和邮政业,3.46,2070.4486,2024-12-31,630001
5,科学研究和技术服务业,1.75,1044.903056,2024-12-31,630001
6,文化、体育和娱乐业,1.33,794.1816,2024-12-31,630001
7,信息传输、软件和信息技术服务业,0.08,46.540716,2024-12-31,630001
8,制造业,58.23,37033.712083,2024-09-30,630001
9,采矿业,10.89,6924.6037,2024-09-30,630001
10,交通运输、仓储和邮政业,4.85,3084.3009,2024-09-30,630001
11,信息传输、软件和信息技术服务业,4.21,2679.508921,2024-09-30,630001
12,电力、热力、燃气及水生产和供应业,4.09,2602.5465,2024-09-30,630001
13,批发和零售业,2.0,1271.3485,2024-09-30,630001
14,金融业,1.04,659.4176,2024-09-30,630001
15,文化、体育和娱乐业,0.51,321.3452,2024-09-30,630001
16,科学研究和技术服务业,0.2,128.700168,2024-09-30,630001
17,制造业,47.17,29201.181521,2024-06-30,630001
18,采矿业,21.93,13573.9794,2024-06-30,630001
19,信息传输、软件和信息技术服务业,3.98,2466.145295,2024-06-30,630001
20,交通运输、仓储和邮政业,2.0,1239.2451,2024-06-30,630001
21,电力、热力、燃气及水生产和供应业,1.9,1174.8688,2024-06-30,630001
22,租赁和商务服务业,1.53,946.792,2024-06-30,630001
23,建筑业,1.52,942.2704,2024-06-30,630001
24,金融业,0.51,315.6538,2024-06-30,630001
25,水利、环境和公共设施管理业,0.0,1.027824,2024-06-30,630001
26,制造业,46.39,29196.830847,2024-03-31,630001
27,采矿业,28.18,17736.9124,2024-03-31,630001
28,信息传输、软件和信息技术服务业,3.07,1934.084298,2024-03-31,630001
29,电力、热力、燃气及水生产和供应业,2.23,1406.1861,2024-03-31,630001
30,租赁和商务服务业,2.22,1398.97386,2024-03-31,630001
31,交通运输、仓储和邮政业,1.96,1231.28385,2024-03-31,630001
32,金融业,1.73,1087.072,2024-03-31,630001
33,水利、环境和公共设施管理业,0.95,600.096343,2024-03-31,630001
34,批发和零售业,0.87,547.524,2024-03-31,630001
35,教育,0.29,183.0682,2024-03-31,630001
36,文化、体育和娱乐业,0.19,120.3498,2024-03-31,630001
37,科学研究和技术服务业,0.0,1.575021,2024-03-31,630001
1,制造业,81.02,177778.791277,2024-12-31,110005
2,交通运输、仓储和邮政业,9.47,20778.4785,2024-12-31,110005
3,租赁和商务服务业,2.11,4630.8719,2024-12-31,110005
4,信息传输、软件和信息技术服务业,0.0,10.516964,2024-12-31,110005
5,科学研究和技术服务业,0.0,1.114856,2024-12-31,110005
6,制造业,90.26,213690.327031,2024-09-30,110005
7,信息传输、软件和信息技术服务业,0.3,712.499056,2024-09-30,110005
8,科学研究和技术服务业,0.0,0.954168,2024-09-30,110005
9,制造业,87.25,180006.914745,2024-06-30,110005
10,信息传输、软件和信息技术服务业,4.81,9927.242562,2024-06-30,110005
11,水利、环境和公共设施管理业,0.0,2.007768,2024-06-30,110005
12,租赁和商务服务业,0.0,0.241912,2024-06-30,110005
13,制造业,84.85,195451.948174,2024-03-31,110005
14,信息传输、软件和信息技术服务业,4.91,11321.183442,2024-03-31,110005
15,科学研究和技术服务业,0.0,2.374861,2024-03-31,110005
16,水利、环境和公共设施管理业,0.0,1.586338,2024-03-31,110005
17,批发和零售业,0.0,1.554228,2024-03-31,110005
18,交通运输、仓储和邮政业,0.0,1.155645,2024-03-31,110005
19,租赁和商务服务业,0.0,0.30976,2024-03-31,110005
1,制造业,63.2,84824.75352,2024-12-31,310358
2,信息传输、软件和信息技术服务业,19.62,26332.295357,2024-12-31,310358
3,文化、体育和娱乐业,5.69,7631.2246,2024-12-31,310358
4,科学研究和技术服务业,3.37,4527.4518,2024-12-31,310358
5,采矿业,1.22,1634.0376,2024-12-31,310358
6,交通运输、仓储和邮政业,0.03,43.009191,2024-12-31,310358
7,制造业,77.47,175156.537231,2024-09-30,310358
8,信息传输、软件和信息技术服务业,3.28,7410.26232,2024-09-30,310358
9,租赁和商务服务业,1.45,3283.308,2024-09-30,310358
10,交通运输、仓储和邮政业,1.4,3171.4636,2024-09-30,310358
11,金融业,1.18,2673.4773,2024-09-30,310358
12,制造业,78.93,156770.828773,2024-06-30,310358
13,信息传输、软件和信息技术服务业,3.19,6328.20825,2024-06-30,310358
14,制造业,76.94,177260.177408,2024-03-31,310358
15,信息传输、软件和信息技术服务业,5.29,12196.6281,2024-03-31,310358
16,采矿业,4.0,9213.984,2024-03-31,310358
17,农、林、牧、渔业,3.03,6975.25791,2024-03-31,310358
1,制造业,88.07,64262.375114,2024-12-31,110002
2,交通运输、仓储和邮政业,2.72,1987.020735,2024-12-31,110002
3,租赁和商务服务业,1.1,803.17724,2024-12-31,110002
