code,name,fund_type,inception_date,size,size_val,company,manager,benchmark
005844,东方人工智能主题混合A,混合型-偏股,2018-06-07,37.96亿,37.96,东方基金管理股份有限公司,严凯,中证人工智能主题指数收益率×80%+银行活期存款利率（税后）×20%
481015,工银主题策略混合A,混合型-偏股,2011-10-24,38.02亿,38.02,工银瑞信基金管理有限公司,林念,80%×沪深300指数收益率＋20%×中债综合指数收益率
162201,宏利成长混合,混合型-偏股,2003-04-25,64.27亿,64.27,宏利基金管理有限公司,孙硕,65%×中信成长风格指数+35%×上证国债指数
162214,宏利领先中小盘混合,混合型-偏股,2011-01-26,2.89亿,2.89,宏利基金管理有限公司,张岩,80%×中证700指数收益率+20%×上证国债指数收益率
007490,南方信息创新混合A,混合型-偏股,2019-06-19,71.38亿,71.38,南方基金管理股份有限公司,郑晓曦,中证信息技术指数收益率×80%+中证港股通TMT主题指数（人民币）收益率×10%+中债-综合财富（1-3年）指数收益率×10%
007491,南方信息创新混合C,混合型-偏股,2019-06-19,85.42亿,85.42,南方基金管理股份有限公司,郑晓曦,中证信息技术指数收益率×80%+中证港股通TMT主题指数（人民币）收益率×10%+中债-综合财富（1-3年）指数收益率×10%
630001,华商领先企业混合,混合型-偏股,2007-05-15,19.30亿,19.3,华商基金管理有限公司,刘力,中证800指数收益率*85%+上证国债指数收益率*15%
007349,华夏科技创新混合A,混合型-偏股,2019-05-06,16.69亿,16.69,华夏基金管理有限公司,高翔,中国战略新兴产业成份指数收益率*70%+中证港股通科技指数（人民币）收益率*20%+上证国债指数收益率*10%
002692,富国创新科技混合A,混合型-偏股,2016-06-16,151.56亿,151.56,富国基金管理有限公司,罗擎,中证TMT产业主题指数*60%+中证全债指数收益率*40%
110005,易方达积极成长混合,混合型-偏股,2004-09-09,72.85亿,72.85,易方达基金管理有限公司,何崇恺,中证800成长指数收益率×85%+中债-总全价（总值）指数收益率×15%
007350,华夏科技创新混合C,混合型-偏股,2019-05-06,2.22亿,2.22,华夏基金管理有限公司,高翔,中国战略新兴产业成份指数收益率*70%+中证港股通科技指数（人民币）收益率*20%+上证国债指数收益率*10%
001513,易方达信息产业混合A,混合型-偏股,2016-09-27,130.24亿,130.24,易方达基金管理有限公司,郑希,中证TMT产业主题指数收益率×85%+中债-总全价（总值）指数收益率×15%
001723,华商新动力混合A,混合型-偏股,2015-09-17,2.32亿,2.32,华商基金管理有限公司,刘力,中国战略新兴产业成份指数收益率×70%+上证国债指数收益率×30%
000017,财通可持续混合A,混合型-偏股,2013-03-27,6.75亿,6.75,财通基金管理有限公司,夏钦,沪深300指数收益率×80%+上证国债指数收益率×20%
310358,申万菱信新经济混合A,混合型-偏股,2006-12-06,24.23亿,24.23,申万菱信基金管理有限公司,付娟,沪深300指数*85%＋金融同业存款利率*15%
110002,易方达策略成长混合,混合型-偏股,2003-12-09,27.10亿,27.1,易方达基金管理有限公司,张琦,上证A指收益率×75%+上证国债指数收益率×25%
005819,国泰优势行业混合A,混合型-偏股,2018-05-17,4.58亿,4.58,国泰基金管理有限公司,彭凌志,沪深300指数收益率*80%+中债综合指数收益率*20%
006887,诺德新生活混合A,混合型-偏股,2019-03-28,15.50亿,15.5,诺德基金管理有限公司,周建胜,60%×沪深300指数收益率+40%×中国债券总指数收益率
006888,诺德新生活混合C,混合型-偏股,2019-03-28,24.66亿,24.66,诺德基金管理有限公司,周建胜,60%×沪深300指数收益率+40%×中国债券总指数收益率
005875,易方达中盘成长混合,混合型-偏股,2018-07-04,56.30亿,56.3,易方达基金管理有限公司,欧阳良琦,中证700指数收益率×65%+中证港股通综合指数收益率×15%+中债总指数收益率×20%
110015,易方达行业领先混合,混合型-偏股,2009-03-26,17.94亿,17.94,易方达基金管理有限公司,彭珂,沪深300指数收益率×80%+中债总指数收益率×20%
001076,易方达改革红利混合,混合型-偏股,2015-04-23,28.71亿,28.71,易方达基金管理有限公司,陈皓,沪深300指数收益率×70%+一年期人民币定期存款利率（税后）×30%
006025,诺安优化配置混合A,混合型-偏股,2018-09-20,11.82亿,11.82,诺安基金管理有限公司,刘慧影,中国战略新兴产业成份指数收益率*90%+中债-综合财富（1-3年）指数收益率*5%+活期存款基准利率*5%
110029,易方达科讯混合,混合型-偏股,2007-12-18,127.57亿,127.57,易方达基金管理有限公司,刘健维,沪深300指数收益率×80%+中债总指数收益率×20%
257070,国联安优选行业混合,混合型-偏股,2011-05-23,81.66亿,81.66,国联安基金管理有限公司,潘明,中国战略新兴产业成份指数收益率*90%+上证国债指数收益率*5%+活期存款基准利率*5%
240011,华宝大盘精选混合,混合型-偏股,2008-10-07,10.83亿,10.83,华宝基金管理有限公司,郑英亮,沪深300指数收益率×80%＋上证国债指数收益率×20%
020018,国泰金鹿混合,混合型-偏股,2008-06-12,8.64亿,8.64,国泰基金管理有限公司,赵大震,沪深300指数收益率×80%＋中债综合指数收益率×20%
460007,华泰柏瑞行业领先混合,混合型-偏股,2009-08-03,8.04亿,8.04,华泰柏瑞基金管理有限公司,吕慧建,沪深300指数×80%＋上证国债指数×15%＋同业存款利率×5%
006976,鹏华核心优势混合A,混合型-偏股,2019-04-03,5.07亿,5.07,鹏华基金管理有限公司,黄奕松,沪深300指数收益率×70%＋中证综合债指数收益率×30%
006533,易方达科融混合,混合型-偏股,2019-03-26,130.76亿,130.76,易方达基金管理有限公司,刘健维,60%×中证500指数收益率+20%×中证港股通综合指数收益率＋20%×中债总指数收益率
005094,万家臻选混合A,混合型-偏股,2017-12-20,22.93亿,22.93,万家基金管理有限公司,莫海波,沪深300指数收益率×80%+上证国债指数收益率×20%
040025,华安科技动力混合A,混合型-偏股,2011-12-20,32.67亿,32.67,华安基金管理有限公司,栾超,中国战略新兴产业成份指数收益率×85%+中债-总全价（1-3年）指数收益率×15%
240017,华宝新兴产业混合,混合型-偏股,2010-12-07,4.87亿,4.87,华宝基金管理有限公司,陈怀逸,75%中证新兴产业指数+25%上证国债指数
100039,富国通胀通缩主题轮动混合A,混合型-偏股,2010-05-12,24.01亿,24.01,富国基金管理有限公司,曹晋,沪深300指数收益率×80%＋中债综合指数收益率×20%
580006,东吴新经济混合A,混合型-偏股,2009-12-30,2.49亿,2.49,东吴基金管理有限公司,徐慢,75%*沪深300指数+25%*中证全债指数
202027,南方高端装备混合A,混合型-偏股,2012-09-25,13.03亿,13.03,南方基金管理股份有限公司,张磊,中证高端装备制造指数收益率×75%＋中证港股通综合指数（人民币）收益率×5%+中债综合指数收益率×20%
005914,景顺长城智能生活混合A,混合型-偏股,2019-01-31,12.54亿,12.54,景顺长城基金管理有限公司,江山,中证800指数收益率*50%+恒生指数收益率*30%+中国债券总指数收益率*20%
005207,南方高端装备混合C,混合型-偏股,2017-12-01,2.90亿,2.9,南方基金管理股份有限公司,张磊,中证高端装备制造指数收益率×75%＋中证港股通综合指数（人民币）收益率×5%+中债综合指数收益率×20%
007343,嘉实科技创新混合,混合型-偏股,2019-05-07,78.02亿,78.02,嘉实基金管理有限公司,王贵重,中国战略新兴产业成份指数收益率×65%+恒生指数收益率×15%+中债综合财富指数收益率×20%
110013,易方达科翔混合,混合型-偏股,2008-11-13,52.54亿,52.54,易方达基金管理有限公司,陈皓,80%×中证红利指数收益率＋中债总指数收益率×20%
161606,融通行业景气混合A,混合型-偏股,2004-04-29,17.65亿,17.65,融通基金管理有限公司,李进,沪深300指数收益率×70%+中债综合全价（总值）指数收益率×30%
200012,长城中小盘成长混合A,混合型-偏股,2011-01-27,5.27亿,5.27,长城基金管理公司,余欢,中证700指数收益率×80%＋中证全债指数收益率×20%
519181,万家和谐增长混合A,混合型-偏股,2006-11-30,13.45亿,13.45,万家基金管理公司,莫海波,沪深300指数×65%+中证全债指数×30%+同业存款利率×5%
610006,信澳产业升级混合A,混合型-偏股,2011-06-13,3.08亿,3.08,信达澳亚基金管理有限公司,曾国富,沪深300指数收益率*80%+中国债券总指数收益率*20%
000940,富国中小盘精选混合A,混合型-偏股,2015-01-23,54.23亿,54.23,富国基金管理有限公司,曹晋,中证700指数收益率×80%+中债综合财富指数收益率×20%
005136,华安幸福生活混合A,混合型-偏股,2017-10-26,8.53亿,8.53,华安基金管理有限公司,孔涛,80%×中证800指数收益率+20%×中债综合全价指数收益率
213008,宝盈资源优选混合,混合型-偏股,2008-04-15,17.92亿,17.92,宝盈基金管理有限公司,赵国进,中证800指数收益率×85%+上证国债指数收益率×15%
501079,大成科创主题混合(LOF)A,混合型-偏股,2019-07-18,12.67亿,12.67,大成基金管理有限公司,郭玮羚,中国战略新兴产业成份指数收益率×90%+中债-国债总全价(1-3年)指数收益率×10%
000354,长盛城镇化主题混合A,混合型-偏股,2013-11-12,5.55亿,5.55,长盛基金管理有限公司,代毅,80%*沪深300指数收益率+20%*中证综合债指数收益率
481001,工银核心价值混合A,混合型-偏股,2005-08-31,72.37亿,72.37,工银瑞信基金管理有限公司,何肖颉,75%×沪深300指数收益率＋25%×中证综合债指数收益率
006615,工银战略新兴产业混合A,混合型-偏股,2019-04-24,7.68亿,7.68,工银瑞信基金管理有限公司,夏雨 马丽娜,75%×中证800指数收益率＋25%×中债综合财富（总值）指数收益率
570008,诺德周期策略混合,混合型-偏股,2012-03-21,12.19亿,12.19,诺德基金管理有限公司,罗世锋 陈国光,沪深300指数×80%＋金融同业存款利率×20%
006616,工银战略新兴产业混合C,混合型-偏股,2019-04-24,4.86亿,4.86,工银瑞信基金管理有限公司,夏雨 马丽娜,75%×中证800指数收益率＋25%×中债综合财富（总值）指数收益率
006522,财通新兴蓝筹混合A,混合型-偏股,2019-02-28,2.02亿,2.02,财通基金管理有限公司,唐家伟,沪深300指数收益率*75%+上证国债指数收益率*25%
007346,易方达科技创新混合A,混合型-偏股,2019-04-29,34.02亿,34.02,易方达基金管理有限公司,蔡荣成,中国战略新兴产业成份指数收益率×70%+中证港股通综合指数收益率×10%+中债总指数收益率×20%
006523,财通新兴蓝筹混合C,混合型-偏股,2019-02-28,7.25亿,7.25,财通基金管理有限公司,唐家伟,沪深300指数收益率*75%+上证国债指数收益率*25%
320007,诺安成长混合A,混合型-偏股,2009-03-10,119.28亿,119.28,诺安基金管理有限公司,刘慧影,中国战略新兴产业成份指数收益率*90%+中债-综合财富（1-3年）指数收益率*5%+活期存款基准利率*5%
530019,建信社会责任混合A,混合型-偏股,2012-08-14,3.23亿,3.23,建信基金管理有限责任公司,赵荣杰,75%×沪深300指数收益率+25%×中国债券总指数收益率
370027,摩根智选30混合A,混合型-偏股,2013-03-06,8.32亿,8.32,摩根基金管理（中国）有限公司,李德辉,沪深300指数收益率×80%+上证国债指数收益率×20%
001664,平安鑫安混合A,混合型-偏股,2015-12-11,2.94亿,2.94,平安基金管理有限公司,林清源,中证800指数收益率×80%+中债-综合财富（1-3年）指数收益率×20%
007049,平安鑫安混合E,混合型-偏股,2019-02-19,7.82亿,7.82,平安基金管理有限公司,林清源,中证800指数收益率×80%+中债-综合财富（1-3年）指数收益率×20%
001000,中欧明睿新起点混合,混合型-偏股,2015-01-29,13.70亿,13.7,中欧基金管理公司,代云锋,沪深300指数收益率×80%+中债综合指数收益率×20%
001665,平安鑫安混合C,混合型-偏股,2015-12-11,19.53亿,19.53,平安基金管理有限公司,林清源,中证800指数收益率×80%+中债-综合财富（1-3年）指数收益率×20%
180031,银华中小盘混合A,混合型-偏股,2012-06-20,58.69亿,58.69,银华基金管理股份有限公司,李晓星 张萍 杜宇,中证500指数收益率×80%+中证综合债指数收益率×20%
519674,银河创新成长混合A,混合型-偏股,2010-12-29,142.56亿,142.56,银河基金管理有限公司,郑巍山,中证500指数收益率×75%＋上证国债指数收益率×25%
000522,华润元大信息传媒科技混合A,混合型-偏股,2014-03-31,3.07亿,3.07,华润元大基金管理有限公司,李武群,中证TMT产业主题指数收益率×80%+中债综合指数收益率×20%
519698,交银先锋混合A,混合型-偏股,2009-04-10,10.74亿,10.74,交银施罗德基金公司,封晴,75%×中证700指数+25%×中证综合债券指数
630010,华商价值精选混合,混合型-偏股,2011-05-31,5.70亿,5.7,华商基金管理有限公司,彭欣杨,沪深300指数收益率×75%＋上证国债指数收益率×25%
007113,永赢高端制造混合A,混合型-偏股,2019-11-01,7.41亿,7.41,永赢基金管理有限公司,胡泽,申银万国制造业指数收益率*60%+中债综合指数收益率*40%
100022,富国天瑞强势混合A,混合型-偏股,2005-04-05,49.79亿,49.79,富国基金管理有限公司,毕天宇,上证A股指数收益率×70%＋上证国债指数收益率×25%＋同业存款利率×5%
007114,永赢高端制造混合C,混合型-偏股,2019-11-01,12.17亿,12.17,永赢基金管理有限公司,胡泽,申银万国制造业指数收益率*60%+中债综合指数收益率*40%
470009,汇添富民营活力混合,混合型-偏股,2010-05-05,52.08亿,52.08,汇添富基金管理股份有限公司,马翔,中证民营企业综合指数×80%+上证国债指数×20%
001702,东方创新科技混合,混合型-偏股,2015-09-08,9.83亿,9.83,东方基金管理股份有限公司,严凯,中证科技100指数收益率×85%+中债-总全价（总值）指数收益率×15%
050010,博时特许价值混合A,混合型-偏股,2008-05-28,10.01亿,10.01,博时基金管理有限公司,曾鹏,中证A500指数收益率*85%+中债-国债总财富（1-3年）指数收益率*10%+活期存款基准利率*5%
007340,南方科技创新混合A,混合型-偏股,2019-05-06,17.26亿,17.26,南方基金管理股份有限公司,王博,中国战略新兴产业成份指数收益率×80%+中证港股通科技指数（港元）收益率×10%+中债-综合财富（1-3年）指数收益率×10%
110025,易方达资源行业混合,混合型-偏股,2011-08-16,27.63亿,27.63,易方达基金管理有限公司,朱运,中证内地资源主题指数收益率×80%＋中债总指数收益率×20%
007341,南方科技创新混合C,混合型-偏股,2019-05-06,2.21亿,2.21,南方基金管理股份有限公司,王博,中国战略新兴产业成份指数收益率×80%+中证港股通科技指数（港元）收益率×10%+中债-综合财富（1-3年）指数收益率×10%
481010,工银中小盘混合,混合型-偏股,2010-02-10,16.13亿,16.13,工银瑞信基金管理有限公司,李昱,80%×中证700指数收益率+20%×上证国债指数收益率
377240,摩根新兴动力混合A,混合型-偏股,2011-07-13,123.85亿,123.85,摩根基金管理（中国）有限公司,杜猛,中国战略新兴产业成份指数收益率*85%+上证国债指数收益率*15%
519005,海富通股票混合,混合型-偏股,2005-07-29,30.26亿,30.26,海富通基金管理有限公司,吕越超,MSCI中国A股指数*80%+上证国债指数*20%
001088,华宝国策导向混合A,混合型-偏股,2015-05-08,2.00亿,2.0,华宝基金管理有限公司,丁靖斐,中证800指数收益率×80%+上证国债指数收益率×20%
240005,华宝多策略增长A,混合型-偏股,2004-05-11,9.24亿,9.24,华宝基金管理有限公司,丁靖斐,中证800指数收益率×80%+上证国债指数收益率×20%
005774,华夏产业升级混合A,混合型-偏股,2018-08-24,4.12亿,4.12,华夏基金管理有限公司,屠环宇,沪深300指数收益率*60%+经汇率调整的恒生指数收益率*20%+上证国债指数收益率*20%
952004,国泰海通君得明混合A,混合型-偏股,2019-08-30,17.31亿,17.31,上海国泰海通证券资产管理有限公司,陈思靖 李子波,70%*沪深300指数收益率+30%*中债综合指数收益率
050009,博时新兴成长混合,混合型-偏股,2007-07-06,42.35亿,42.35,博时基金管理有限公司,曾鹏,中国战略新兴产业成份指数收益率*85%+中债-国债总财富（1-3年）指数收益率*10%+活期存款基准利率*5%
004374,华泰保兴吉年丰混合发起A,混合型-偏股,2017-03-24,5.92亿,5.92,华泰保兴基金管理有限公司,尚烁徽,沪深300指数收益率*70%＋中债总指数（全价）收益率*30%
004375,华泰保兴吉年丰混合发起C,混合型-偏股,2017-03-24,2.14亿,2.14,华泰保兴基金管理有限公司,尚烁徽,沪深300指数收益率*70%＋中债总指数（全价）收益率*30%
