code,name
002910,易方达供给改革混合
021179,易方达产业机遇混合A
021180,易方达产业机遇混合C
720001,财通价值动量混合A
021523,财通价值动量混合C
001480,财通成长优选混合A
021528,财通成长优选混合C
011369,华商均衡成长混合A
011370,华商均衡成长混合C
013840,银华集成电路混合A
013841,银华集成电路混合C
519770,交银优择回报灵活配置混合A
001184,易方达新常态混合A
519771,交银优择回报灵活配置混合C
004320,前海开源沪港深乐享生活
017811,东方人工智能主题混合C
013107,华夏先进制造龙头混合A
024459,华商致远回报混合A
018358,华富数字经济混合A
013108,华夏先进制造龙头混合C
024460,华商致远回报混合C
013312,工银主题策略混合C
018359,华富数字经济混合C
001170,宏利复兴混合A
017612,宏利复兴混合C
001198,东方惠新灵活配置混合A
002163,东方惠新灵活配置混合C
005903,宏利绩优混合A
015576,宏利绩优混合C
005119,银华智荟内在价值灵活配置混合发起A
016262,银华智荟内在价值灵活配置混合发起C
001411,诺安创新驱动混合A
002051,诺安创新驱动混合C
019829,华夏数字产业混合A
019830,华夏数字产业混合C
009855,中加新兴成长混合A
740001,长安宏观策略混合A
016500,华夏半导体龙头混合发起A
009856,中加新兴成长混合C
016501,华夏半导体龙头混合发起C
016579,长安宏观策略混合C
001753,红土创新新兴产业混合A
010415,华泰柏瑞质量精选混合A
010416,华泰柏瑞质量精选混合C
022364,永赢科技智选混合发起A
022365,永赢科技智选混合发起C
020469,长城半导体混合发起式A
009707,工银新兴制造混合A
011120,富国创新科技混合C
020470,长城半导体混合发起式C
009708,工银新兴制造混合C
008988,大成科技创新混合A
008989,大成科技创新混合C
008528,华泰柏瑞质量成长A
009808,易方达创新成长混合
011452,华泰柏瑞质量成长C
019018,易方达信息产业混合C
008555,华商龙头优势混合
501026,财通多策略福享混合(LOF)A
002376,国寿安保核心产业混合
009242,中加核心智造混合A
017927,华商新动力混合C
009062,财通智慧成长混合A
002244,景顺长城低碳科技主题混合
009243,中加核心智造混合C
010335,华宝竞争优势混合A
001856,易方达环保主题混合A
009063,财通智慧成长混合C
019925,华宝竞争优势混合C
009049,易方达高端制造混合发起式A
160220,国泰民益混合(LOF)A
019032,易方达环保主题混合C
160226,国泰民益混合(LOF)C
022735,申万菱信新经济混合C
112002,易方达策略成长二号混合
000390,华商优势行业混合A
019034,易方达高端制造混合发起式C
011822,易方达产业升级混合A
013369,汇添富自主核心科技一年持有混合A
015585,国泰优势行业混合C
011823,易方达产业升级混合C
013370,汇添富自主核心科技一年持有混合C
002125,广发新兴成长混合A
000742,国泰新经济灵活配置混合A
018291,广发新兴成长混合C
011300,易方达智造优势混合A
014989,国泰新经济灵活配置混合C
519172,浦银安盛睿智精选混合A
021593,上银数字经济混合发起式A
012301,易方达核心智造混合
011301,易方达智造优势混合C
016370,信澳业绩驱动混合A
021594,上银数字经济混合发起式C
519173,浦银安盛睿智精选混合C
017102,大摩数字经济混合A
016371,信澳业绩驱动混合C
017103,大摩数字经济混合C
519773,交银数据产业灵活配置混合A
003857,前海开源周期优选混合A
008185,诺安研究优选混合A
003858,前海开源周期优选混合C
014549,交银数据产业灵活配置混合C
007305,国联安新科技混合
014497,诺安研究优选混合C
019571,诺安优化配置混合C
011488,申万菱信乐享混合A
021792,华泰保兴产业升级混合发起A
022740,申万菱信乐享混合C
021793,华泰保兴产业升级混合发起C
001194,景顺长城稳健回报混合A
168401,红土精选混合(LOF)A
005550,汇安成长优选混合A
001407,景顺长城稳健回报混合C
002420,汇添富盈鑫混合A
010912,国泰成长价值混合A
016772,诺德兴新趋势混合A
002152,华宝核心优势混合A
014833,汇添富盈鑫混合C
021382,博时科技驱动混合A
001715,工银新焦点混合A
010913,国泰成长价值混合C
005551,汇安成长优选混合C
008734,交银科锐科技创新混合A
016773,诺德兴新趋势混合C
016461,华宝核心优势混合C
021383,博时科技驱动混合C
001437,易方达瑞享混合I
001998,工银新焦点混合C
013949,交银科锐科技创新混合C
001438,易方达瑞享混合E
021626,华富半导体产业混合发起式A
018325,国泰海通创新成长混合发起A
021627,华富半导体产业混合发起式C
018326,国泰海通创新成长混合发起C
024592,圆信永丰科技驱动混合发起A
024593,圆信永丰科技驱动混合发起C
019426,中银数字经济混合A
001037,国投瑞银锐意改革混合A
010389,易方达科益混合A
019427,中银数字经济混合C
005775,中加转型动力混合A
016780,国投瑞银锐意改革混合C
014319,德邦半导体产业混合发起式A
010390,易方达科益混合C
014320,德邦半导体产业混合发起式C
010237,安信创新先锋混合发起A
017732,鹏华核心优势混合C
014611,富国核心科技12个月持有混合A
005776,中加转型动力混合C
000823,银华高端制造业混合A
010238,安信创新先锋混合发起C
003961,易方达瑞程灵活配置混合A
001060,前海开源高端装备制造混合A
002450,平安睿享文娱混合A
007639,汇添富竞争优势灵活配置混合
003962,易方达瑞程灵活配置混合C
014612,富国核心科技12个月持有混合C
001075,宝盈转型动力混合A
016263,银华高端制造业混合C
016721,前海开源高端装备制造混合C
018956,中航机遇领航混合发起A
009913,中信保诚成长动力混合A
001759,嘉实成长增强混合
011891,易方达先锋成长混合A
015389,宝盈转型动力混合C
002451,平安睿享文娱混合C
021510,宏利半导体产业混合发起A
012456,鹏扬数字经济先锋混合A
023397,尚正研究睿选混合发起A
013238,财通均衡优选一年持有混合A
017234,永赢睿恒混合A
021511,宏利半导体产业混合发起C
023451,中欧信息科技混合发起A
011892,易方达先锋成长混合C
014282,中信保诚成长动力混合C
959991,兴证资管金麒麟领先优势一年持有期混合A
018957,中航机遇领航混合发起C
001412,德邦鑫星价值灵活配置混合A
023398,尚正研究睿选混合发起C
024052,工银科技先锋混合发起式A
002112,德邦鑫星价值灵活配置混合C
022709,万家臻选混合C
022368,永赢睿恒混合C
012457,鹏扬数字经济先锋混合C
023452,中欧信息科技混合发起C
011399,汇添富数字未来混合A
013239,财通均衡优选一年持有混合C
024053,工银科技先锋混合发起式C
010115,易方达远见成长混合A
501082,博时科创主题灵活配置混合(LOF)A
