fund_code,date,nav,daily_return
002910,2017-01-25,1.0,0.0
002910,2017-01-26,1.0,0.0
002910,2017-02-03,0.9995,-0.05
002910,2017-02-10,1.0046,0.0
002910,2017-02-17,0.9962,0.0
002910,2017-02-24,1.0134,0.0
002910,2017-03-03,1.0051,0.0
002910,2017-03-06,1.0146,0.9452
002910,2017-03-07,1.0103,-0.4238
002910,2017-03-08,1.005,-0.5246
002910,2017-03-09,0.9914,-1.3532
002910,2017-03-10,0.9942,0.2824
002910,2017-03-13,1.0061,1.1969
002910,2017-03-14,1.0095,0.3379
002910,2017-03-15,1.0092,-0.0297
002910,2017-03-16,1.0196,1.0305
002910,2017-03-17,1.0019,-1.736
002910,2017-03-20,0.9996,-0.2296
002910,2017-03-21,0.994,-0.5602
002910,2017-03-22,0.9875,-0.6539
002910,2017-03-23,0.9911,0.3646
002910,2017-03-24,0.9896,-0.1513
002910,2017-03-27,0.9844,-0.5255
002910,2017-03-28,0.9819,-0.254
002910,2017-03-29,0.984,0.2139
002910,2017-03-30,0.9673,-1.6972
002910,2017-03-31,0.9754,0.8374
002910,2017-04-05,1.0027,2.7989
002910,2017-04-06,1.0061,0.3391
002910,2017-04-07,1.0032,-0.2882
002910,2017-04-10,0.9928,-1.0367
002910,2017-04-11,0.9897,-0.3122
002910,2017-04-12,0.9878,-0.192
002910,2017-04-13,0.9916,0.3847
002910,2017-04-14,0.9818,-0.9883
002910,2017-04-17,0.9758,-0.6111
002910,2017-04-18,0.9596,-1.6602
002910,2017-04-19,0.9403,-2.0113
002910,2017-04-20,0.9369,-0.3616
002910,2017-04-21,0.9337,-0.3416
002910,2017-04-24,0.9119,-2.3348
002910,2017-04-25,0.9123,0.0439
002910,2017-04-26,0.918,0.6248
002910,2017-04-27,0.9261,0.8824
002910,2017-04-28,0.9283,0.2376
002910,2017-05-02,0.9287,0.0431
002910,2017-05-03,0.924,-0.5061
002910,2017-05-04,0.9177,-0.6818
002910,2017-05-05,0.9082,-1.0352
002910,2017-05-08,0.902,-0.6827
002910,2017-05-09,0.9064,0.4878
002910,2017-05-10,0.9033,-0.342
002910,2017-05-11,0.9054,0.2325
002910,2017-05-12,0.9053,-0.011
002910,2017-05-15,0.9071,0.1988
002910,2017-05-16,0.9106,0.3858
002910,2017-05-17,0.9076,-0.3295
002910,2017-05-18,0.9055,-0.2314
002910,2017-05-19,0.9048,-0.0773
002910,2017-05-22,0.9012,-0.3979
002910,2017-05-23,0.8953,-0.6547
002910,2017-05-24,0.8949,-0.0447
002910,2017-05-25,0.9007,0.6481
002910,2017-05-26,0.8993,-0.1554
002910,2017-05-31,0.896,-0.367
002910,2017-06-01,0.8916,-0.4911
002910,2017-06-02,0.8904,-0.1346
002910,2017-06-05,0.8873,-0.3482
002910,2017-06-06,0.8933,0.6762
002910,2017-06-07,0.9027,1.0523
002910,2017-06-08,0.9075,0.5317
002910,2017-06-09,0.9083,0.0882
002910,2017-06-12,0.9061,-0.2422
002910,2017-06-13,0.9155,1.0374
002910,2017-06-14,0.9103,-0.568
002910,2017-06-15,0.9131,0.3076
002910,2017-06-16,0.9115,-0.1752
002910,2017-06-19,0.9204,0.9764
002910,2017-06-20,0.9266,0.6736
002910,2017-06-21,0.9292,0.2806
002910,2017-06-22,0.9181,-1.1946
002910,2017-06-23,0.9241,0.6535
002910,2017-06-26,0.9409,1.818
002910,2017-06-27,0.9459,0.5314
002910,2017-06-28,0.9455,-0.0423
002910,2017-06-29,0.9491,0.3808
002910,2017-06-30,0.9501,0.1054
002910,2017-07-03,0.9633,1.3893
002910,2017-07-04,0.9586,-0.4879
002910,2017-07-05,0.9701,1.1997
002910,2017-07-06,0.987,1.7421
002910,2017-07-07,1.001,1.4184
002910,2017-07-10,1.0046,0.3596
002910,2017-07-11,0.9826,-2.1899
002910,2017-07-12,0.9943,1.1907
002910,2017-07-13,0.9982,0.3922
002910,2017-07-14,1.0046,0.6412
002910,2017-07-17,0.9873,-1.7221
002910,2017-07-18,1.0125,2.5524
002910,2017-07-19,1.0505,3.7531
002910,2017-07-20,1.056,0.5236
002910,2017-07-21,1.0598,0.3598
002910,2017-07-24,1.0479,-1.1229
002910,2017-07-25,1.0386,-0.8875
002910,2017-07-26,1.0397,0.1059
002910,2017-07-27,1.0244,-1.4716
002910,2017-07-28,1.0435,1.8645
002910,2017-07-31,1.08,3.4978
002910,2017-08-01,1.0715,-0.787
002910,2017-08-02,1.0757,0.392
002910,2017-08-03,1.0934,1.6454
002910,2017-08-04,1.0866,-0.6219
002910,2017-08-07,1.1258,3.6076
002910,2017-08-08,1.1248,-0.0888
002910,2017-08-09,1.1454,1.8314
002910,2017-08-10,1.1183,-2.366
002910,2017-08-11,1.0487,-6.2237
002910,2017-08-14,1.0606,1.1347
002910,2017-08-15,1.0603,-0.0283
002910,2017-08-16,1.0575,-0.2641
002910,2017-08-17,1.0636,0.5768
002910,2017-08-18,1.0562,-0.6958
002910,2017-08-21,1.0697,1.2782
002910,2017-08-22,1.0652,-0.4207
002910,2017-08-23,1.0464,-1.7649
002910,2017-08-24,1.0402,-0.5925
002910,2017-08-25,1.0614,2.0381
002910,2017-08-28,1.0731,1.1023
002910,2017-08-29,1.0718,-0.1211
002910,2017-08-30,1.0958,2.2392
002910,2017-08-31,1.1093,1.232
002910,2017-09-01,1.1338,2.2086
002910,2017-09-04,1.1278,-0.5292
002910,2017-09-05,1.1309,0.2749
002910,2017-09-06,1.1353,0.3891
002910,2017-09-07,1.1209,-1.2684
002910,2017-09-08,1.1259,0.4461
002910,2017-09-11,1.1421,1.4388
002910,2017-09-12,1.1411,-0.0876
002910,2017-09-13,1.1502,0.7975
002910,2017-09-14,1.1344,-1.3737
002910,2017-09-15,1.0946,-3.5085
002910,2017-09-18,1.0897,-0.4477
002910,2017-09-19,1.0883,-0.1285
002910,2017-09-20,1.109,1.902
002910,2017-09-21,1.0836,-2.2904
002910,2017-09-22,1.0667,-1.5596
002910,2017-09-25,1.0523,-1.35
002910,2017-09-26,1.0641,1.1214
002910,2017-09-27,1.0857,2.0299
002910,2017-09-28,1.0754,-0.9487
002910,2017-09-29,1.0771,0.1581
002910,2017-10-09,1.0822,0.4735
002910,2017-10-10,1.0706,-1.0719
002910,2017-10-11,1.0628,-0.7286
