fund_code,date,quarter,prev_hold_quarter,r_fund,r_holdings,rg,rg_abs
5827,2020-04-30,2020Q2,2020Q1,0.103309,0,0.103309,0.103309
5827,2020-05-31,2020Q2,2020Q1,0.094773,0,0.094773,0.094773
5827,2020-06-30,2020Q2,2020Q1,0.137133,0,0.137133,0.137133
5827,2020-07-31,2020Q3,2020Q2,0.131829,0,0.131829,0.131829
5827,2020-08-31,2020Q3,2020Q2,0.065661,0,0.065661,0.065661
5827,2020-09-30,2020Q3,2020Q2,-0.060684,0,-0.060684,0.060684
5827,2020-10-31,2020Q4,2020Q3,0.098345,0,0.098345,0.098345
5827,2020-11-30,2020Q4,2020Q3,0.033957,0,0.033957,0.033957
5827,2020-12-31,2020Q4,2020Q3,0.132072,0,0.132072,0.132072
5827,2021-01-31,2021Q1,2020Q4,0.093081,0,0.093081,0.093081
5827,2021-02-28,2021Q1,2020Q4,-0.046514,0,-0.046514,0.046514
5827,2021-03-31,2021Q1,2020Q4,-0.047535,0,-0.047535,0.047535
5827,2021-04-30,2021Q2,2021Q1,0.044516,0,0.044516,0.044516
5827,2021-05-31,2021Q2,2021Q1,0.053605,0,0.053605,0.053605
5827,2021-06-30,2021Q2,2021Q1,-0.037234,0,-0.037234,0.037234
5827,2021-07-31,2021Q3,2021Q2,-0.171514,0,-0.171514,0.171514
5827,2021-08-31,2021Q3,2021Q2,-0.02324,0,-0.02324,0.02324
5827,2021-09-30,2021Q3,2021Q2,0.060618,0,0.060618,0.060618
5827,2021-10-31,2021Q4,2021Q3,0.026063,0,0.026063,0.026063
5827,2021-11-30,2021Q4,2021Q3,-0.045411,0,-0.045411,0.045411
5827,2021-12-31,2021Q4,2021Q3,0.01983,0,0.01983,0.01983
5827,2022-01-31,2022Q1,2021Q4,-0.059971,0,-0.059971,0.059971
5827,2022-02-28,2022Q1,2021Q4,-0.032259,0,-0.032259,0.032259
5827,2022-03-31,2022Q1,2021Q4,-0.099203,0,-0.099203,0.099203
5827,2022-04-30,2022Q2,2022Q1,0.037223,0,0.037223,0.037223
5827,2022-05-31,2022Q2,2022Q1,-0.008028,0,-0.008028,0.008028
5827,2022-06-30,2022Q2,2022Q1,0.100158,0,0.100158,0.100158
5827,2022-07-31,2022Q3,2022Q2,-0.094272,0,-0.094272,0.094272
5827,2022-08-31,2022Q3,2022Q2,0.009843,0,0.009843,0.009843
5827,2022-09-30,2022Q3,2022Q2,-0.072908,0,-0.072908,0.072908
5827,2022-10-31,2022Q4,2022Q3,-0.210445,0,-0.210445,0.210445
5827,2022-11-30,2022Q4,2022Q3,0.235132,0,0.235132,0.235132
5827,2022-12-31,2022Q4,2022Q3,0.094728,0,0.094728,0.094728
5827,2023-01-31,2023Q1,2022Q4,0.071186,0,0.071186,0.071186
5827,2023-02-28,2023Q1,2022Q4,-0.052154,0,-0.052154,0.052154
5827,2023-03-31,2023Q1,2022Q4,-0.004771,0,-0.004771,0.004771
5827,2023-04-30,2023Q2,2023Q1,-0.055826,0,-0.055826,0.055826
5827,2023-05-31,2023Q2,2023Q1,-0.082491,0,-0.082491,0.082491
5827,2023-06-30,2023Q2,2023Q1,0.028683,0,0.028683,0.028683
5827,2023-07-31,2023Q3,2023Q2,0.10473,0,0.10473,0.10473
5827,2023-08-31,2023Q3,2023Q2,-0.061728,0,-0.061728,0.061728
5827,2023-09-30,2023Q3,2023Q2,-0.029877,0,-0.029877,0.029877
5827,2023-10-31,2023Q4,2023Q3,-0.030456,0,-0.030456,0.030456
5827,2023-11-30,2023Q4,2023Q3,-0.025637,0,-0.025637,0.025637
5827,2023-12-31,2023Q4,2023Q3,-0.076287,0,-0.076287,0.076287
5827,2024-01-31,2024Q1,2023Q4,-0.106077,0,-0.106077,0.106077
5827,2024-02-29,2024Q1,2023Q4,0.093962,0,0.093962,0.093962
5827,2024-03-31,2024Q1,2023Q4,0.032101,0,0.032101,0.032101
5827,2024-04-30,2024Q2,2024Q1,0.040119,0,0.040119,0.040119
5827,2024-05-31,2024Q2,2024Q1,-0.01747,0,-0.01747,0.01747
5827,2024-06-30,2024Q2,2024Q1,-0.050191,0,-0.050191,0.050191
5827,2024-07-31,2024Q3,2024Q2,-0.043395,0,-0.043395,0.043395
5827,2024-08-31,2024Q3,2024Q2,0.003683,0,0.003683,0.003683
5827,2024-09-30,2024Q3,2024Q2,0.198987,0,0.198987,0.198987
5827,2024-10-31,2024Q4,2024Q3,-0.076673,0,-0.076673,0.076673
5827,2024-11-30,2024Q4,2024Q3,-0.009773,0,-0.009773,0.009773
5827,2024-12-31,2024Q4,2024Q3,-0.013356,0,-0.013356,0.013356
161725,2020-04-30,2020Q2,2020Q1,0.097903,0,0.097903,0.097903
161725,2020-05-31,2020Q2,2020Q1,0.09441,0,0.09441,0.09441
161725,2020-06-30,2020Q2,2020Q1,0.108985,0,0.108985,0.108985
161725,2020-07-31,2020Q3,2020Q2,0.179873,0,0.179873,0.179873
161725,2020-08-31,2020Q3,2020Q2,0.136764,0,0.136764,0.136764
161725,2020-09-30,2020Q3,2020Q2,-0.088788,0,-0.088788,0.088788
161725,2020-10-31,2020Q4,2020Q3,0.125871,0,0.125871,0.125871
161725,2020-11-30,2020Q4,2020Q3,0.057236,0,0.057236,0.057236
161725,2020-12-31,2020Q4,2020Q3,0.250112,0,0.250112,0.250112
161725,2021-01-31,2021Q1,2020Q4,-0.000721,0,-0.000721,0.000721
161725,2021-02-28,2021Q1,2020Q4,-0.087961,0,-0.087961,0.087961
161725,2021-03-31,2021Q1,2020Q4,-0.027369,0,-0.027369,0.027369
161725,2021-04-30,2021Q2,2021Q1,0.117374,0,0.117374,0.117374
161725,2021-05-31,2021Q2,2021Q1,0.111789,0,0.111789,0.111789
161725,2021-06-30,2021Q2,2021Q1,-0.054399,0,-0.054399,0.054399
161725,2021-07-31,2021Q3,2021Q2,-0.194607,0,-0.194607,0.194607
161725,2021-08-31,2021Q3,2021Q2,-0.013655,0,-0.013655,0.013655
161725,2021-09-30,2021Q3,2021Q2,0.122706,0,0.122706,0.122706
161725,2021-10-31,2021Q4,2021Q3,0.007344,0,0.007344,0.007344
161725,2021-11-30,2021Q4,2021Q3,0.021289,0,0.021289,0.021289
161725,2021-12-31,2021Q4,2021Q3,0.022817,0,0.022817,0.022817
161725,2022-01-31,2022Q1,2021Q4,-0.11106,0,-0.11106,0.11106
161725,2022-02-28,2022Q1,2021Q4,0.015629,0,0.015629,0.015629
161725,2022-03-31,2022Q1,2021Q4,-0.135347,0,-0.135347,0.135347
161725,2022-04-30,2022Q2,2022Q1,0.067324,0,0.067324,0.067324
161725,2022-05-31,2022Q2,2022Q1,0.030254,0,0.030254,0.030254
161725,2022-06-30,2022Q2,2022Q1,0.144053,0,0.144053,0.144053
161725,2022-07-31,2022Q3,2022Q2,-0.114391,0,-0.114391,0.114391
161725,2022-08-31,2022Q3,2022Q2,0.021,0,0.021,0.021
161725,2022-09-30,2022Q3,2022Q2,-0.018223,0,-0.018223,0.018223
161725,2022-10-31,2022Q4,2022Q3,-0.21929,0,-0.21929,0.21929
161725,2022-11-30,2022Q4,2022Q3,0.141883,0,0.141883,0.141883
161725,2022-12-31,2022Q4,2022Q3,0.133494,0,0.133494,0.133494
161725,2023-01-31,2023Q1,2022Q4,0.06391,0,0.06391,0.06391
161725,2023-02-28,2023Q1,2022Q4,0.022676,0,0.022676,0.022676
161725,2023-03-31,2023Q1,2022Q4,-0.015014,0,-0.015014,0.015014
161725,2023-04-30,2023Q2,2023Q1,-0.089126,0,-0.089126,0.089126
161725,2023-05-31,2023Q2,2023Q1,-0.092698,0,-0.092698,0.092698
161725,2023-06-30,2023Q2,2023Q1,-0.008692,0,-0.008692,0.008692
161725,2023-07-31,2023Q3,2023Q2,0.138226,0,0.138226,0.138226
161725,2023-08-31,2023Q3,2023Q2,-0.049406,0,-0.049406,0.049406
161725,2023-09-30,2023Q3,2023Q2,-0.032438,0,-0.032438,0.032438
161725,2023-10-31,2023Q4,2023Q3,-0.017042,0,-0.017042,0.017042
161725,2023-11-30,2023Q4,2023Q3,-0.028426,0,-0.028426,0.028426
161725,2023-12-31,2023Q4,2023Q3,-0.061525,0,-0.061525,0.061525
161725,2024-01-31,2024Q1,2023Q4,-0.130522,0,-0.130522,0.130522
161725,2024-02-29,2024Q1,2023Q4,0.115774,0,0.115774,0.115774
161725,2024-03-31,2024Q1,2023Q4,0.033243,0,0.033243,0.033243
161725,2024-04-30,2024Q2,2024Q1,0.011135,0,0.011135,0.011135
161725,2024-05-31,2024Q2,2024Q1,-0.040337,0,-0.040337,0.040337
161725,2024-06-30,2024Q2,2024Q1,-0.123241,0,-0.123241,0.123241
161725,2024-07-31,2024Q3,2024Q2,-0.040909,0,-0.040909,0.040909
161725,2024-08-31,2024Q3,2024Q2,-0.039026,0,-0.039026,0.039026
161725,2024-09-30,2024Q3,2024Q2,0.247036,0,0.247036,0.247036
161725,2024-10-31,2024Q4,2024Q3,-0.106623,0,-0.106623,0.106623
161725,2024-11-30,2024Q4,2024Q3,0.033069,0,0.033069,0.033069
161725,2024-12-31,2024Q4,2024Q3,-0.053962,0,-0.053962,0.053962
163406,2020-04-30,2020Q2,2020Q1,0.087385,0,0.087385,0.087385
163406,2020-05-31,2020Q2,2020Q1,0.058101,0,0.058101,0.058101
163406,2020-06-30,2020Q2,2020Q1,0.111642,0,0.111642,0.111642
163406,2020-07-31,2020Q3,2020Q2,0.126324,0,0.126324,0.126324
163406,2020-08-31,2020Q3,2020Q2,0.051323,0,0.051323,0.051323
163406,2020-09-30,2020Q3,2020Q2,-0.022031,0,-0.022031,0.022031
163406,2020-10-31,2020Q4,2020Q3,0.0673,0,0.0673,0.0673
163406,2020-11-30,2020Q4,2020Q3,0.027649,0,0.027649,0.027649
163406,2020-12-31,2020Q4,2020Q3,0.074087,0,0.074087,0.074087
163406,2021-01-31,2021Q1,2020Q4,0.054101,0,0.054101,0.054101
163406,2021-02-28,2021Q1,2020Q4,0.007938,0,0.007938,0.007938
163406,2021-03-31,2021Q1,2020Q4,-0.026801,0,-0.026801,0.026801
163406,2021-04-30,2021Q2,2021Q1,0.035196,0,0.035196,0.035196
