model,variable,coef,tval,pval_original,stars_original,pval_for_correction,pval_bonferroni,significant_bonferroni,stars_bonferroni,pval_fdr_bh,significant_fdr,stars_fdr
Model1_OLS,AS,-0.283,-5.481,0.0,***,1e-300,5.1e-299,True,***,3e-300,True,***
Model1_OLS,ICI,-0.0034,-0.076,0.9394,,0.9394,1.0,False,,0.971346,False,
Model1_OLS,SDI,0.002,0.167,0.8673,,0.8673,1.0,False,,0.9409500000000001,False,
Model1_OLS,ARG,0.1759,8.939,0.0,***,1e-300,5.1e-299,True,***,3e-300,True,***
Model1_OLS,OCI,-1.0725,-25.18,0.0,***,1e-300,5.1e-299,True,***,3e-300,True,***
Model2_OLS,AS,-0.1781,-3.805,0.0001,***,0.0001,0.0051,True,***,0.00022173913043478262,True,***
Model2_OLS,ICI,0.0388,0.915,0.3603,,0.3603,1.0,False,,0.5000756756756757,False,
Model2_OLS,SDI,0.0075,0.643,0.5205,,0.5205,1.0,False,,0.655255894631915,False,
Model2_OLS,ARG,0.1521,7.951,0.0,***,1e-300,5.1e-299,True,***,3e-300,True,***
Model2_OLS,OCI,-1.1117,-26.023,0.0,***,1e-300,5.1e-299,True,***,3e-300,True,***
Model2_OLS,log_aum,-0.0101,-11.638,0.0,***,1e-300,5.1e-299,True,***,3e-300,True,***
Model2_OLS,manager_tenure,-0.0004,-0.793,0.4278,,0.4278,1.0,False,,0.5741526315789474,False,
Model2_OLS,TO_calc,-0.0076,-4.191,0.0,***,1e-300,5.1e-299,True,***,3e-300,True,***
Model2_OLS,treasury_10y,-0.0655,-20.812,0.0,***,1e-300,5.1e-299,True,***,3e-300,True,***
Model2_OLS,manager_change_dummy,-0.0027,-0.313,0.754,,0.754,1.0,False,,0.8545333333333334,False,
Model3_YearFE,AS,-0.1716,-3.897,0.0001,***,0.0001,0.0051,True,***,0.00022173913043478262,True,***
Model3_YearFE,ICI,0.1136,2.487,0.0129,**,0.0129,0.6579,False,,0.022686206896551726,True,**
Model3_YearFE,SDI,0.0189,1.511,0.1309,,0.1309,1.0,False,,0.20229999999999998,False,
Model3_YearFE,ARG,0.0615,2.739,0.0062,***,0.0062,0.3162,False,,0.012161538461538461,True,**
Model3_YearFE,OCI,-1.3187,-24.56,0.0,***,1e-300,5.1e-299,True,***,3e-300,True,***
Model3_YearFE,log_aum,-0.0113,-13.351,0.0,***,1e-300,5.1e-299,True,***,3e-300,True,***
Model3_YearFE,manager_tenure,-0.0002,-0.38,0.7037,,0.7037,1.0,False,,0.8346209302325581,False,
Model3_YearFE,TO_calc,0.0018,0.944,0.345,,0.345,1.0,False,,0.5000756756756757,False,
Model3_YearFE,treasury_10y,-0.0002,-0.024,0.9808,,0.9808,1.0,False,,0.9808,False,
Model3_YearFE,manager_change_dummy,-0.0062,-0.735,0.4622,,0.4622,1.0,False,,0.6044153846153847,False,
FundFE,AS,-0.2919,-4.499,0.0,***,1e-300,5.1e-299,True,***,3e-300,True,***
FundFE,ICI,-0.3414,-3.33,0.0009,***,0.0009,0.045899999999999996,True,**,0.0019125,True,***
FundFE,SDI,0.0842,4.7,0.0,***,1e-300,5.1e-299,True,***,3e-300,True,***
FundFE,ARG,0.1914,8.616,0.0,***,1e-300,5.1e-299,True,***,3e-300,True,***
FundFE,OCI,-1.1044,-24.584,0.0,***,1e-300,5.1e-299,True,***,3e-300,True,***
FundFE,log_aum,-0.021,-6.818,0.0,***,1e-300,5.1e-299,True,***,3e-300,True,***
FundFE,manager_tenure,0.0007,2.373,0.0176,**,0.0176,0.8976000000000001,False,,0.029920000000000002,True,**
FundFE,TO_calc,-0.0151,-5.688,0.0,***,1e-300,5.1e-299,True,***,3e-300,True,***
FamaMacBeth,AS,-0.2018,-1.956,0.0763,*,0.0763,1.0,False,,0.12552580645161293,False,
FamaMacBeth,ICI,0.0082,0.061,0.9523,,0.9523,1.0,False,,0.971346,False,
FamaMacBeth,SDI,-0.0105,-0.602,0.5594,,0.5594,1.0,False,,0.6792714285714286,False,
FamaMacBeth,ARG,0.0335,0.986,0.3453,,0.3453,1.0,False,,0.5000756756756757,False,
FamaMacBeth,OCI,0.1173,0.949,0.3628,,0.3628,1.0,False,,0.5000756756756757,False,
FamaMacBeth,log_aum,-0.0038,-3.508,0.0049,***,0.0049,0.24989999999999998,False,,0.009996,True,***
FamaMacBeth,TO_calc,-0.0033,-0.285,0.7813,,0.7813,1.0,False,,0.8662239130434782,False,
FamaMacBeth,manager_tenure,-0.0001,-0.147,0.8856,,0.8856,1.0,False,,0.9409500000000001,False,
Bull_Subsample,AS,-0.234,-4.242,2.2490201698532886e-05,***,2.2490201698532886e-05,0.0011470002866251772,True,***,5.735001433125886e-05,True,***
Bull_Subsample,ICI,0.0188,0.317,0.7512547372102212,,0.7512547372102212,1.0,False,,0.8545333333333334,False,
Bull_Subsample,SDI,0.0694,4.051,5.1648898193423776e-05,***,5.1648898193423776e-05,0.0026340938078646126,True,***,0.00012543303846974347,True,***
Bull_Subsample,ARG,0.151,5.759,8.884968538680482e-09,***,8.884968538680482e-09,4.531333954727046e-07,True,***,2.5174077526261364e-08,True,***
Bull_Subsample,OCI,-1.1757,-23.45,0.0,***,1e-300,5.1e-299,True,***,3e-300,True,***
Bear_Subsample,AS,0.0737,1.661,0.09680160222272671,*,0.09680160222272671,1.0,False,,0.1542775535424707,False,
Bear_Subsample,ICI,-0.0268,-0.633,0.5267743466648729,,0.5267743466648729,1.0,False,,0.655255894631915,False,
Bear_Subsample,SDI,-0.0474,-4.332,1.5184355140807071e-05,***,1.5184355140807071e-05,0.0007744021121811606,True,***,4.075800590427161e-05,True,***
Bear_Subsample,ARG,0.0676,2.538,0.011191128677995987,**,0.011191128677995987,0.5707475625777954,False,,0.02113879861399242,True,**
Bear_Subsample,OCI,0.2086,2.491,0.012783681538372615,**,0.012783681538372615,0.6519677584570034,False,,0.022686206896551726,True,**
