model,variable,coef,pval_original,bonf_significant,fdr_pval,fdr_significant
ff3_adj_return|原始行为指标|基础控制,AS,-0.1734,0.000191,True,0.000615,True
ff3_adj_return|原始行为指标|基础控制,ICI,0.012,0.767301,False,0.811147,False
ff3_adj_return|原始行为指标|基础控制,SDI,0.0114,0.320549,False,0.439271,False
ff3_adj_return|原始行为指标|基础控制,ARG,0.1545,0.0,True,0.0,True
ff3_adj_return|原始行为指标|基础控制,OCI,-1.1016,0.0,True,0.0,True
ff3_adj_return|原始行为指标|扩展控制,AS,-0.0764,0.127637,False,0.214662,False
ff3_adj_return|原始行为指标|扩展控制,ICI,-0.0883,0.059438,False,0.11278,False
ff3_adj_return|原始行为指标|扩展控制,SDI,0.0068,0.566386,False,0.665279,False
ff3_adj_return|原始行为指标|扩展控制,ARG,0.2816,0.0,True,0.0,True
ff3_adj_return|原始行为指标|扩展控制,OCI,-1.1835,0.0,True,0.0,True
ff3_adj_return|改进指标(AS_improved+BHS)|基础控制,AS_improved,-0.1506,0.001553,False,0.004104,True
ff3_adj_return|改进指标(AS_improved+BHS)|基础控制,ICI,0.0027,0.946232,False,0.946601,False
ff3_adj_return|改进指标(AS_improved+BHS)|基础控制,SDI,0.0073,0.524991,False,0.626602,False
ff3_adj_return|改进指标(AS_improved+BHS)|基础控制,ARG,0.1556,0.0,True,0.0,True
ff3_adj_return|改进指标(AS_improved+BHS)|基础控制,OCI,-1.1035,0.0,True,0.0,True
ff3_adj_return|改进指标(AS_improved+BHS)|基础控制,BHS,-0.0006,0.914239,False,0.939635,False
ff3_adj_return|改进指标(AS_improved+BHS)|扩展控制,AS_improved,-0.0668,0.18711,False,0.294599,False
ff3_adj_return|改进指标(AS_improved+BHS)|扩展控制,ICI,-0.0922,0.045206,False,0.090412,False
ff3_adj_return|改进指标(AS_improved+BHS)|扩展控制,SDI,0.0054,0.642769,False,0.699725,False
ff3_adj_return|改进指标(AS_improved+BHS)|扩展控制,ARG,0.2812,0.0,True,0.0,True
ff3_adj_return|改进指标(AS_improved+BHS)|扩展控制,OCI,-1.1831,0.0,True,0.0,True
ff3_adj_return|改进指标(AS_improved+BHS)|扩展控制,BHS,0.0004,0.946601,False,0.946601,False
ff4_adj_return|原始行为指标|基础控制,AS,-0.0387,0.004144,False,0.009892,True
ff4_adj_return|原始行为指标|基础控制,ICI,0.0134,0.524286,False,0.626602,False
ff4_adj_return|原始行为指标|基础控制,SDI,-0.0244,0.0,True,0.0,True
ff4_adj_return|原始行为指标|基础控制,ARG,0.0195,6e-06,True,2.2e-05,True
ff4_adj_return|原始行为指标|基础控制,OCI,-0.003,0.306427,False,0.427841,False
ff4_adj_return|原始行为指标|扩展控制,AS,-0.0169,0.161213,False,0.259343,False
ff4_adj_return|原始行为指标|扩展控制,ICI,0.0134,0.473732,False,0.604417,False
ff4_adj_return|原始行为指标|扩展控制,SDI,-0.0131,0.001903,False,0.004856,True
ff4_adj_return|原始行为指标|扩展控制,ARG,0.0112,0.013244,False,0.029376,True
ff4_adj_return|原始行为指标|扩展控制,OCI,-0.0013,0.652446,False,0.699725,False
ff4_adj_return|改进指标(AS_improved+BHS)|基础控制,AS_improved,-0.0201,0.136566,False,0.224575,False
ff4_adj_return|改进指标(AS_improved+BHS)|基础控制,ICI,0.0096,0.64841,False,0.699725,False
ff4_adj_return|改进指标(AS_improved+BHS)|基础控制,SDI,-0.0255,0.0,True,0.0,True
ff4_adj_return|改进指标(AS_improved+BHS)|基础控制,ARG,0.0197,5e-06,True,1.9e-05,True
ff4_adj_return|改进指标(AS_improved+BHS)|基础控制,OCI,-0.0038,0.198267,False,0.305662,False
ff4_adj_return|改进指标(AS_improved+BHS)|基础控制,BHS,-0.0004,0.202479,False,0.305785,False
ff4_adj_return|改进指标(AS_improved+BHS)|扩展控制,AS_improved,-0.0107,0.393461,False,0.519931,False
ff4_adj_return|改进指标(AS_improved+BHS)|扩展控制,ICI,0.0121,0.518506,False,0.626602,False
ff4_adj_return|改进指标(AS_improved+BHS)|扩展控制,SDI,-0.0134,0.001388,False,0.003804,True
ff4_adj_return|改进指标(AS_improved+BHS)|扩展控制,ARG,0.0111,0.013497,False,0.029376,True
ff4_adj_return|改进指标(AS_improved+BHS)|扩展控制,OCI,-0.0014,0.6454,False,0.699725,False
ff4_adj_return|改进指标(AS_improved+BHS)|扩展控制,BHS,-0.0002,0.431568,False,0.560281,False
FamaMacBeth,AS_improved,0.0267,0.015743,False,0.033285,True
FamaMacBeth,ICI,-0.0296,2e-06,True,8e-06,True
FamaMacBeth,SDI,0.007,0.093493,False,0.164726,False
FamaMacBeth,ARG,0.0344,0.028958,False,0.059525,False
FamaMacBeth,OCI,0.0052,0.286161,False,0.415214,False
FamaMacBeth,BHS,-0.0005,0.298243,False,0.424423,False
FamaMacBeth,log_aum,0.0094,0.0,True,0.0,True
FamaMacBeth,TO_calc,0.0068,0.004469,False,0.010335,True
bull_subsample,AS_improved,-0.0078,0.515723,False,0.626602,False
bull_subsample,ICI,-0.004,0.849317,False,0.885204,False
bull_subsample,SDI,-0.0331,0.0,True,0.0,True
bull_subsample,ARG,0.0291,2e-06,True,8e-06,True
bull_subsample,OCI,-0.0295,0.0,True,0.0,True
bull_subsample,BHS,0.0002,0.575505,False,0.665428,False
bull_subsample,log_aum,-0.0015,0.002013,False,0.004965,True
bull_subsample,manager_tenure,-0.0007,0.109664,False,0.188724,False
bull_subsample,TO_calc,0.0047,0.0,True,0.0,True
bull_subsample,treasury_10y,0.0077,0.0,True,0.0,True
bull_subsample,manager_change_dummy,-0.0006,0.638376,False,0.699725,False
bear_subsample,AS_improved,-0.0253,0.054923,False,0.106955,False
bear_subsample,ICI,0.0163,0.389837,False,0.519931,False
bear_subsample,SDI,-0.0157,0.000218,True,0.000672,True
bear_subsample,ARG,0.0169,0.000347,True,0.001027,True
bear_subsample,OCI,0.0207,0.001123,False,0.003196,True
bear_subsample,BHS,-0.0008,0.073524,False,0.132702,False
bear_subsample,log_aum,-0.0024,1.4e-05,True,4.7e-05,True
bear_subsample,manager_tenure,-0.0005,0.275774,False,0.408146,False
bear_subsample,TO_calc,0.0029,0.0,True,0.0,True
bear_subsample,treasury_10y,0.0139,9e-06,True,3.2e-05,True
bear_subsample,manager_change_dummy,0.002,0.07193,False,0.132702,False
