变量,N,均值,标准差,最小值,P25,中位数,P75,最大值,偏度,峰度
AS,9581,0.8325,0.0412,0.5136,0.8325,0.8325,0.8325,1.0,-0.9862,7.9458
AS_improved,9581,0.8302,0.0422,0.5136,0.8325,0.8325,0.8325,1.1265,-1.0727,8.7146
ICI,9581,0.0711,0.0457,0.0024,0.04,0.0606,0.0898,0.4625,1.9739,7.0155
SDI,9581,0.3344,0.1591,0.0084,0.2357,0.3214,0.4138,1.294,0.8207,2.2255
RG,9581,0.0,0.1085,-0.9688,-0.0468,-0.0027,0.0438,0.9876,-0.3125,11.8632
ARG,9581,0.23,0.1527,0.0,0.1291,0.1968,0.2916,1.3994,1.8912,6.0859
OCI,9581,0.0576,0.0833,0.0,0.0153,0.0327,0.0648,0.9656,4.2044,24.2613
BHS,9581,0.4628,0.4986,0.0,0.0,0.0,1.0,1.0,0.1493,-1.9781
CR,9581,0.5021,0.8332,-0.6475,0.0323,0.3183,0.714,17.741,4.401,44.1359
RAR,9103,0.3278,0.242,0.0,0.1221,0.2793,0.493,0.9929,0.6597,-0.4988
ff3_adj_return,9581,0.0237,0.2446,-0.7286,-0.0978,0.0061,0.0993,1.4693,1.5414,5.7914
ff4_adj_return,9270,0.035,0.022,-0.0116,0.0179,0.0346,0.0504,0.0895,0.0459,-0.6997
log_aum,9516,19.8211,1.9136,1.9782,18.7208,20.0884,21.1407,24.4176,-0.7712,1.5583
manager_tenure,9581,7.9044,2.5674,0.3915,7.6003,7.6003,7.6003,21.8672,1.7948,7.1861
TO_calc,9519,1.0731,0.9841,0.0,0.7245,0.8903,1.0322,10.0,6.281,48.7969
treasury_10y,9581,2.5122,0.5674,1.6469,1.8605,2.6751,2.8528,4.5518,-0.0025,-0.8659
fund_age,9581,7.3983,5.5819,0.0027,2.757,5.974,11.3812,24.5257,0.6769,-0.5621
family_size,9315,19.82,1.3022,11.8987,19.0211,19.9991,20.7499,23.4845,-0.604,0.4513
return_volatility,8381,0.129,0.0722,0.0032,0.0824,0.1173,0.159,0.536,1.5188,3.7662
MKT_excess,9581,0.0084,0.0888,-0.2962,-0.0451,0.0063,0.0559,0.4764,0.2987,0.5397
SMB,9581,0.0102,0.0481,-0.359,-0.0078,0.0111,0.0352,0.3322,-0.5992,3.2688
HML,9581,0.002,0.0324,-0.0518,-0.0196,-0.0039,0.0096,0.1353,2.805,9.167
MOM,9581,-0.0023,0.0576,-0.9519,-0.0258,-0.0023,0.0242,1.5009,3.271,106.6196
net_asset,9578,14.7191,28.9822,0.0,1.31,5.23,15.04,402.2,5.2201,38.3274
fund_flow,9377,-0.1185,3.3168,-76.45,-0.37,-0.05,0.04,82.47,1.274,142.7078
