,AS,AS_improved,ICI,SDI,ARG,OCI,BHS,ff4_adj_return,log_aum,TO_calc,fund_age,return_volatility
AS,1.0,0.6692217361644819,0.15544465750102993,0.11055200412707514,0.04713150873139838,0.04901841053042565,-0.06265695316607466,-0.09713342393865361,0.08199052686605739,-0.082952874316432,0.11965591213252796,0.07053770419245423
AS_improved,0.6692217361644819,1.0,0.12715030128544852,0.021891815941700934,0.05912809482231695,0.04772374842222097,-0.06526951764428483,-0.05445532039954597,0.12614714130421587,-0.07060780173617252,0.08176669684262108,0.11434920314906104
ICI,0.15544465750102993,0.12715030128544852,1.0,-0.11075249373489661,0.12987073720749778,0.043519639661198956,0.02012866135600602,0.06587964541090983,0.018899530183392944,0.08877460220165108,-0.009123224485853884,-0.026561121268759005
SDI,0.11055200412707514,0.021891815941700934,-0.11075249373489661,1.0,-0.024556654459622376,0.00706340250125828,0.012795736862396821,-0.18923240197700858,0.013654687283658422,-0.09033568402335762,0.2249099972654434,-0.11337783392852037
ARG,0.04713150873139838,0.05912809482231695,0.12987073720749778,-0.024556654459622376,1.0,0.639390081301549,0.06384548402365209,0.07508581299687549,0.13118144565883322,0.04976332978509059,0.09612494296796147,0.507106608661815
OCI,0.04901841053042565,0.04772374842222097,0.043519639661198956,0.00706340250125828,0.639390081301549,1.0,-0.018788456627799287,0.005386709363942714,0.08243965933825137,-0.009960861502818663,0.06130242284893158,0.3771892377465044
BHS,-0.06265695316607466,-0.06526951764428483,0.02012866135600602,0.012795736862396821,0.06384548402365209,-0.018788456627799287,1.0,-0.014066779865703545,0.026333915851603353,-0.01762856010491037,0.054443427108822086,-0.01640619550877959
ff4_adj_return,-0.09713342393865361,-0.05445532039954597,0.06587964541090983,-0.18923240197700858,0.07508581299687549,0.005386709363942714,-0.014066779865703545,1.0,-0.2070765082394567,0.20296671080261597,-0.44227377841223786,0.05387809125253169
log_aum,0.08199052686605739,0.12614714130421587,0.018899530183392944,0.013654687283658422,0.13118144565883322,0.08243965933825137,0.026333915851603353,-0.2070765082394567,1.0,-0.1936949898883782,0.3887285967654184,0.20957017433038785
TO_calc,-0.082952874316432,-0.07060780173617252,0.08877460220165108,-0.09033568402335762,0.04976332978509059,-0.009960861502818663,-0.01762856010491037,0.20296671080261597,-0.1936949898883782,1.0,-0.11957759716730618,-0.0024889237422435957
fund_age,0.11965591213252796,0.08176669684262108,-0.009123224485853884,0.2249099972654434,0.09612494296796147,0.06130242284893158,0.054443427108822086,-0.44227377841223786,0.3887285967654184,-0.11957759716730618,1.0,-0.001897476224690079
return_volatility,0.07053770419245423,0.11434920314906104,-0.026561121268759005,-0.11337783392852037,0.507106608661815,0.3771892377465044,-0.01640619550877959,0.05387809125253169,0.20957017433038785,-0.0024889237422435957,-0.001897476224690079,1.0
