净值日期,单位净值,日增长率,累计净值,日收益率,quarter
2015-11-23,1.0393,0.0,1.0393,0.0,2015Q4
2015-11-24,1.0397,0.0385,1.0397,0.000385,2015Q4
2015-11-25,1.0401,0.0385,1.0401,0.000385,2015Q4
2015-11-26,1.0399,-0.0192,1.0399,-0.00019199999999999998,2015Q4
2015-11-27,1.0383,-0.1539,1.0383,-0.001539,2015Q4
2015-11-30,1.0382,-0.0096,1.0382,-9.599999999999999e-05,2015Q4
2015-12-01,1.0383,0.0096,1.0383,9.599999999999999e-05,2015Q4
2015-12-02,1.0377,-0.0578,1.0377,-0.000578,2015Q4
2015-12-03,1.0384,0.0675,1.0384,0.000675,2015Q4
2015-12-04,1.0386,0.0193,1.0386,0.000193,2015Q4
2015-12-07,1.0391,0.0481,1.0391,0.000481,2015Q4
2015-12-08,1.0388,-0.0289,1.0388,-0.000289,2015Q4
2015-12-09,1.0389,0.0096,1.0389,9.599999999999999e-05,2015Q4
2015-12-10,1.0389,0.0,1.0389,0.0,2015Q4
2015-12-11,1.0387,-0.0193,1.0387,-0.000193,2015Q4
2015-12-14,1.0387,0.0,1.0387,0.0,2015Q4
2015-12-15,1.0392,0.0481,1.0392,0.000481,2015Q4
2015-12-16,1.0396,0.0385,1.0396,0.000385,2015Q4
2015-12-17,1.0405,0.0866,1.0405,0.000866,2015Q4
2015-12-18,1.0407,0.0192,1.0407,0.00019199999999999998,2015Q4
2015-12-21,1.0407,0.0,1.0407,0.0,2015Q4
2015-12-22,1.041,0.0288,1.041,0.000288,2015Q4
2015-12-23,1.0417,0.0672,1.0417,0.000672,2015Q4
2015-12-24,1.0423,0.0576,1.0423,0.000576,2015Q4
2015-12-25,1.043,0.0672,1.043,0.000672,2015Q4
2015-12-28,1.0427,-0.0288,1.0427,-0.000288,2015Q4
2015-12-29,1.0436,0.0863,1.0436,0.000863,2015Q4
2015-12-30,1.0443,0.0671,1.0443,0.000671,2015Q4
2015-12-31,1.0445,0.0192,1.0445,0.00019199999999999998,2015Q4
2016-01-04,1.0423,-0.2106,1.0423,-0.0021060000000000002,2016Q1
2016-01-05,1.0423,0.0,1.0423,0.0,2016Q1
2016-01-06,1.043,0.0672,1.043,0.000672,2016Q1
2016-01-07,1.0411,-0.1822,1.0411,-0.001822,2016Q1
2016-01-08,1.0423,0.1153,1.0423,0.001153,2016Q1
2016-01-11,1.0405,-0.1727,1.0405,-0.001727,2016Q1
2016-01-12,1.0399,-0.0577,1.0399,-0.000577,2016Q1
2016-01-13,1.0398,-0.0096,1.0398,-9.599999999999999e-05,2016Q1
2016-01-14,1.0412,0.1346,1.0412,0.001346,2016Q1
2016-01-15,1.04,-0.1153,1.04,-0.001153,2016Q1
2016-01-18,1.0409,0.0865,1.0409,0.0008649999999999999,2016Q1
2016-01-19,1.0419,0.0961,1.0419,0.000961,2016Q1
2016-01-20,1.0416,-0.0288,1.0416,-0.000288,2016Q1
2016-01-21,1.0405,-0.1056,1.0405,-0.001056,2016Q1
2016-01-22,1.0413,0.0769,1.0413,0.0007689999999999999,2016Q1
2016-01-25,1.0416,0.0288,1.0416,0.000288,2016Q1
2016-01-26,1.0391,-0.24,1.0391,-0.0024,2016Q1
2016-01-27,1.0375,-0.154,1.0375,-0.00154,2016Q1
2016-01-28,1.0354,-0.2024,1.0354,-0.0020239999999999998,2016Q1
2016-01-29,1.0372,0.1738,1.0372,0.0017380000000000002,2016Q1
2016-02-01,1.037,-0.0193,1.037,-0.000193,2016Q1
2016-02-02,1.0391,0.2025,1.0391,0.0020250000000000003,2016Q1
2016-02-03,1.0392,0.0096,1.0392,9.599999999999999e-05,2016Q1
2016-02-04,1.0417,0.2406,1.0417,0.002406,2016Q1
2016-02-05,1.0421,0.0384,1.0421,0.00038399999999999996,2016Q1
2016-02-15,1.043,0.0864,1.043,0.0008640000000000001,2016Q1
2016-02-16,1.0459,0.278,1.0459,0.0027800000000000004,2016Q1
2016-02-17,1.0465,0.0574,1.0465,0.000574,2016Q1
2016-02-18,1.0466,0.0096,1.0466,9.599999999999999e-05,2016Q1
2016-02-19,1.0466,0.0,1.0466,0.0,2016Q1
2016-02-22,1.0475,0.086,1.0475,0.00086,2016Q1
2016-02-23,1.0488,0.1241,1.0488,0.001241,2016Q1
2016-02-24,1.0479,-0.0858,1.0479,-0.000858,2016Q1
2016-02-25,1.0432,-0.4485,1.0432,-0.004485,2016Q1
2016-02-26,1.0429,-0.0288,1.0429,-0.000288,2016Q1
2016-02-29,1.0393,-0.3452,1.0393,-0.003452,2016Q1
2016-03-01,1.0402,0.0866,1.0402,0.000866,2016Q1
2016-03-02,1.0429,0.2596,1.0429,0.002596,2016Q1
2016-03-03,1.0424,-0.0479,1.0424,-0.000479,2016Q1
2016-03-04,1.0399,-0.2398,1.0399,-0.002398,2016Q1
2016-03-07,1.0409,0.0962,1.0409,0.000962,2016Q1
2016-03-08,1.0415,0.0576,1.0415,0.000576,2016Q1
2016-03-09,1.0407,-0.0768,1.0407,-0.0007679999999999999,2016Q1
2016-03-10,1.0408,0.0096,1.0408,9.599999999999999e-05,2016Q1
2016-03-11,1.041,0.0192,1.041,0.00019199999999999998,2016Q1
2016-03-14,1.0425,0.1441,1.0425,0.001441,2016Q1
2016-03-15,1.0435,0.0959,1.0435,0.000959,2016Q1
2016-03-16,1.0431,-0.0383,1.0431,-0.000383,2016Q1
2016-03-17,1.0452,0.2013,1.0452,0.002013,2016Q1
2016-03-18,1.048,0.2679,1.048,0.0026790000000000004,2016Q1
2016-03-21,1.049,0.0954,1.049,0.000954,2016Q1
2016-03-22,1.0487,-0.0286,1.0487,-0.000286,2016Q1
2016-03-23,1.0491,0.0381,1.0491,0.00038100000000000005,2016Q1
2016-03-24,1.0488,-0.0286,1.0488,-0.000286,2016Q1
2016-03-25,1.049,0.0191,1.049,0.00019099999999999998,2016Q1
2016-03-28,1.0481,-0.0858,1.0481,-0.000858,2016Q1
2016-03-29,1.0463,-0.1717,1.0463,-0.001717,2016Q1
2016-03-30,1.0493,0.2867,1.0493,0.002867,2016Q1
2016-03-31,1.0494,0.0095,1.0494,9.499999999999999e-05,2016Q1
2016-04-01,1.0491,-0.0286,1.0491,-0.000286,2016Q2
2016-04-05,1.0514,0.2192,1.0514,0.002192,2016Q2
2016-04-06,1.0536,0.2092,1.0536,0.002092,2016Q2
2016-04-07,1.0517,-0.1803,1.0517,-0.001803,2016Q2
2016-04-08,1.0501,-0.1521,1.0501,-0.0015210000000000002,2016Q2
2016-04-11,1.0524,0.219,1.0524,0.00219,2016Q2
2016-04-12,1.0499,-0.2376,1.0499,-0.002376,2016Q2
2016-04-13,1.0512,0.1238,1.0512,0.001238,2016Q2
2016-04-14,1.0514,0.019,1.0514,0.00018999999999999998,2016Q2
2016-04-15,1.0523,0.0856,1.0523,0.000856,2016Q2
2016-04-18,1.0507,-0.152,1.0507,-0.0015199999999999999,2016Q2
2016-04-19,1.0501,-0.0571,1.0501,-0.000571,2016Q2
2016-04-20,1.0446,-0.5238,1.0446,-0.0052380000000000005,2016Q2
2016-04-21,1.0425,-0.201,1.0425,-0.00201,2016Q2
2016-04-22,1.0415,-0.0959,1.0415,-0.000959,2016Q2
2016-04-25,1.0388,-0.2592,1.0388,-0.0025919999999999997,2016Q2
2016-04-26,1.0384,-0.0385,1.0384,-0.000385,2016Q2
2016-04-27,1.0388,0.0385,1.0388,0.000385,2016Q2
2016-04-28,1.039,0.0193,1.039,0.000193,2016Q2
2016-04-29,1.0388,-0.0192,1.0388,-0.00019199999999999998,2016Q2
2016-05-03,1.0436,0.4621,1.0436,0.004621,2016Q2
2016-05-04,1.0444,0.0767,1.0444,0.000767,2016Q2
2016-05-05,1.0459,0.1436,1.0459,0.001436,2016Q2
2016-05-06,1.0421,-0.3633,1.0421,-0.003633,2016Q2
2016-05-09,1.0375,-0.4414,1.0375,-0.004414,2016Q2
2016-05-10,1.0378,0.0289,1.0378,0.000289,2016Q2
2016-05-11,1.0383,0.0482,1.0383,0.000482,2016Q2
2016-05-12,1.0387,0.0385,1.0387,0.000385,2016Q2
2016-05-13,1.0378,-0.0866,1.0378,-0.000866,2016Q2
2016-05-16,1.04,0.212,1.04,0.00212,2016Q2
2016-05-17,1.0392,-0.0769,1.0392,-0.0007689999999999999,2016Q2
2016-05-18,1.0367,-0.2406,1.0367,-0.002406,2016Q2
2016-05-19,1.0363,-0.0386,1.0363,-0.000386,2016Q2
2016-05-20,1.0372,0.0868,1.0372,0.0008680000000000001,2016Q2
2016-05-23,1.039,0.1735,1.039,0.0017349999999999998,2016Q2
2016-05-24,1.0381,-0.0866,1.0381,-0.000866,2016Q2
2016-05-25,1.0377,-0.0385,1.0377,-0.000385,2016Q2
2016-05-26,1.0376,-0.0096,1.0376,-9.599999999999999e-05,2016Q2
2016-05-27,1.0383,0.0675,1.0383,0.000675,2016Q2
2016-05-30,1.0375,-0.077,1.0375,-0.00077,2016Q2
2016-05-31,1.0406,0.2988,1.0406,0.002988,2016Q2
2016-06-01,1.0414,0.0769,1.0414,0.0007689999999999999,2016Q2
2016-06-02,1.0429,0.144,1.0429,0.0014399999999999999,2016Q2
