quarter_end,nav,quarter_return,year_quarter,mkt
2016-12-31,0.927,-0.07299999999999995,2016Q4,0.020167768760712773
2017-03-31,1.002,0.08090614886731395,2017Q1,0.031790439818767224
2017-06-30,1.096,0.09381237524950103,2017Q2,0.0065224092427500525
2017-09-30,1.08,-0.014598540145985384,2017Q3,0.06413452694664547
2017-12-31,1.24,0.14814814814814814,2017Q4,-0.0029160482761409956
2018-03-31,1.365,0.10080645161290325,2018Q1,-0.027444651310883632
2018-06-30,1.457,0.06739926739926738,2018Q2,-0.10890241577223601
2018-09-30,1.261,-0.13452299245024035,2018Q3,-0.0053192989016720045
2018-12-31,0.989,-0.21570182394924653,2018Q4,-0.11508175347890609
2019-03-31,1.339,0.3538928210313448,2019Q1,0.23415868008568327
2019-06-30,1.433,0.07020164301717702,2019Q2,-0.024270333281325197
2019-09-30,1.637,0.14235868806699226,2019Q3,-0.0024200394952105008
2019-12-31,1.733,0.05864386072083083,2019Q4,0.0617607889395581
2020-03-31,2.002,0.1552221581073281,2020Q1,-0.0729533790924994
2020-06-30,2.905,0.45104895104895104,2020Q2,0.11890386392157883
2020-09-30,2.912,0.002409638554216942,2020Q3,0.0973021956041939
2020-12-31,3.446,0.1833791208791209,2020Q4,0.07874693586709572
2021-03-31,3.368,-0.022634939059779535,2021Q1,-0.014304664295880537
2021-06-30,4.214,0.2511876484560571,2021Q2,0.06774991063621356
2021-09-30,3.675,-0.12790697674418616,2021Q3,-0.0035501711437823033
2021-12-31,3.082,-0.16136054421768709,2021Q4,0.032392345604509154
2022-03-31,2.653,-0.13919532770927967,2022Q1,-0.11962942561053509
2022-06-30,2.782,0.04862419901997739,2022Q2,0.06180385220257901
2022-09-30,2.2271,-0.19946081955427752,2022Q3,-0.1148322001626977
2022-12-31,2.3642,0.061559876072021735,2022Q4,0.030915264337314206
2023-03-31,2.2706,-0.039590559174350726,2023Q1,0.0644007612525877
2023-06-30,2.0326,-0.1048181097507267,2023Q2,-0.013633149684269616
2023-09-30,1.9955,-0.018252484502607413,2023Q3,-0.0243925601199987
2023-12-31,1.8689,-0.06344274617890255,2023Q4,-0.03855108613301727
2024-03-31,1.5898,-0.14933918347691155,2024Q1,0.01150129281475235
2024-06-30,1.4645,-0.07881494527613553,2024Q2,-0.0214329610010002
2024-09-30,1.7393,0.18764083304882218,2024Q3,0.1510693792013932
2024-12-31,1.5687,-0.09808543666992475,2024Q4,0.022726887647897893
2025-03-31,1.6058,0.02365015618027666,2025Q1,0.008014267849369303
2025-06-30,1.6989,0.05797733217088075,2025Q2,0.044526752780127195
2025-09-30,2.082,0.22549885219848131,2025Q3,0.1414132682915976
2025-12-31,1.7737,-0.14807877041306428,2025Q4,0.024075874648947837
2026-03-31,1.7698,-0.0021987934825505873,2026Q1,-0.006577019764142822
2026-06-30,1.8421,0.04085207368064192,2026Q2,
2026-09-30,1.9282,0.04674013354323869,2026Q3,
