quarter_end,nav,quarter_return,year_quarter,mkt
2018-12-31,0.9471,-0.07074175824175832,2018Q4,-0.11508175347890609
2019-03-31,1.2046,0.27188258895575945,2019Q1,0.23415868008568327
2019-06-30,1.3183,0.09438817864851412,2019Q2,-0.024270333281325197
2019-09-30,1.3943,0.057650003792763416,2019Q3,-0.0024200394952105008
2019-12-31,1.4691,0.05364699132181028,2019Q4,0.0617607889395581
2020-03-31,1.4326,-0.024845143285004423,2020Q1,-0.0729533790924994
2020-06-30,1.9677,0.3735166829540695,2020Q2,0.11890386392157883
2020-09-30,2.2292,0.1328962748386442,2020Q3,0.0973021956041939
2020-12-31,2.8661,0.2857078772653865,2020Q4,0.07874693586709572
2021-03-31,2.8453,-0.007257248525871396,2021Q1,-0.014304664295880537
2021-06-30,3.0144,0.05943134291638863,2021Q2,0.06774991063621356
2021-09-30,2.586,-0.14211783439490455,2021Q3,-0.0035501711437823033
2021-12-31,2.5825,-0.0013534416086619094,2021Q4,0.032392345604509154
2022-03-31,2.1165,-0.18044530493707656,2022Q1,-0.11962942561053509
2022-06-30,2.3959,0.13201039451925367,2022Q2,0.06180385220257901
2022-09-30,2.0313,-0.15217663508493684,2022Q3,-0.1148322001626977
2022-12-31,2.1686,0.06759218234628084,2022Q4,0.030915264337314206
2023-03-31,2.191,0.010329244673983107,2023Q1,0.0644007612525877
2023-06-30,1.9521,-0.10903696942035601,2023Q2,-0.013633149684269616
2023-09-30,1.9635,0.005839864761026714,2023Q3,-0.0243925601199987
2023-12-31,1.7135,-0.12732365673542145,2023Q4,-0.03855108613301727
2024-03-31,1.7292,0.009162532827545977,2024Q1,0.01150129281475235
2024-06-30,1.6786,-0.029262086513994867,2024Q2,-0.0214329610010002
2024-09-30,1.9323,0.1511378529727152,2024Q3,0.1510693792013932
2024-12-31,1.7427,-0.09812140971898775,2024Q4,0.022726887647897893
2025-03-31,1.8926,0.08601595225799064,2025Q1,0.008014267849369303
2025-06-30,1.7572,-0.07154179435696928,2025Q2,0.044526752780127195
2025-09-30,2.0449,0.1637263828818576,2025Q3,0.1414132682915976
2025-12-31,1.8623,-0.08929532006455088,2025Q4,0.024075874648947837
2026-03-31,1.766,-0.051710250765182875,2026Q1,-0.006577019764142822
2026-06-30,1.5273,-0.13516421291053227,2026Q2,
2026-09-30,1.5155,-0.007726052510967141,2026Q3,
