净值日期,单位净值,日增长率,累计净值,日收益率,quarter
2022-08-25,1.0,0.0,1.0,0.0,2022Q3
2022-08-26,0.9999,-0.01,0.9999,-0.0001,2022Q3
2022-09-02,0.9996,0.0,0.9996,0.0,2022Q3
2022-09-09,0.9993,0.0,0.9993,0.0,2022Q3
2022-09-16,0.9991,0.0,0.9991,0.0,2022Q3
2022-09-23,0.999,0.0,0.999,0.0,2022Q3
2022-09-26,0.9989,-0.01,0.9989,-0.0001,2022Q3
2022-09-27,0.9991,0.02,0.9991,0.0002,2022Q3
2022-09-28,0.9982,-0.09,0.9982,-0.0009,2022Q3
2022-09-29,0.9985,0.03,0.9985,0.0003,2022Q3
2022-09-30,0.9967,-0.18,0.9967,-0.0018,2022Q3
2022-10-10,0.9936,-0.31,0.9936,-0.0031,2022Q4
2022-10-11,0.9962,0.26,0.9962,0.0026,2022Q4
2022-10-12,1.0025,0.63,1.0025,0.0063,2022Q4
2022-10-13,1.0008,-0.17,1.0008,-0.0017000000000000001,2022Q4
2022-10-14,1.0026,0.18,1.0026,0.0018,2022Q4
2022-10-17,0.9972,-0.54,0.9972,-0.0054,2022Q4
2022-10-18,0.9978,0.06,0.9978,0.0006,2022Q4
2022-10-19,0.9942,-0.36,0.9942,-0.0036,2022Q4
2022-10-20,0.9809,-1.34,0.9809,-0.0134,2022Q4
2022-10-21,0.979,-0.19,0.979,-0.0019,2022Q4
2022-10-24,0.9679,-1.13,0.9679,-0.0113,2022Q4
2022-10-25,0.9737,0.6,0.9737,0.006,2022Q4
2022-10-26,0.9757,0.21,0.9757,0.0021,2022Q4
2022-10-27,0.9625,-1.35,0.9625,-0.013500000000000002,2022Q4
2022-10-28,0.947,-1.61,0.947,-0.0161,2022Q4
2022-10-31,0.9419,-0.54,0.9419,-0.0054,2022Q4
2022-11-01,0.9555,1.44,0.9555,0.0144,2022Q4
2022-11-02,0.9683,1.34,0.9683,0.0134,2022Q4
2022-11-03,0.9745,0.64,0.9745,0.0064,2022Q4
2022-11-04,0.9966,2.27,0.9966,0.0227,2022Q4
2022-11-07,0.9953,-0.13,0.9953,-0.0013,2022Q4
2022-11-08,0.9884,-0.69,0.9884,-0.0069,2022Q4
2022-11-09,0.9793,-0.92,0.9793,-0.0092,2022Q4
2022-11-10,0.9678,-1.17,0.9678,-0.011699999999999999,2022Q4
2022-11-11,0.9751,0.75,0.9751,0.0075,2022Q4
2022-11-14,0.9569,-1.87,0.9569,-0.0187,2022Q4
2022-11-15,0.9663,0.98,0.9663,0.0098,2022Q4
2022-11-16,0.9553,-1.14,0.9553,-0.011399999999999999,2022Q4
2022-11-17,0.9466,-0.91,0.9466,-0.0091,2022Q4
2022-11-18,0.9478,0.13,0.9478,0.0013,2022Q4
2022-11-21,0.9464,-0.15,0.9464,-0.0015,2022Q4
2022-11-22,0.9354,-1.16,0.9354,-0.0116,2022Q4
2022-11-23,0.94,0.49,0.94,0.0049,2022Q4
2022-11-24,0.9498,1.04,0.9498,0.0104,2022Q4
2022-11-25,0.9438,-0.63,0.9438,-0.0063,2022Q4
2022-11-28,0.9421,-0.18,0.9421,-0.0018,2022Q4
2022-11-29,0.943,0.1,0.943,0.001,2022Q4
2022-11-30,0.9481,0.54,0.9481,0.0054,2022Q4
2022-12-01,0.9583,1.08,0.9583,0.0108,2022Q4
2022-12-02,0.9583,0.0,0.9583,0.0,2022Q4
2022-12-05,0.9666,0.87,0.9666,0.0087,2022Q4
2022-12-06,0.9725,0.61,0.9725,0.0060999999999999995,2022Q4
2022-12-07,0.9641,-0.86,0.9641,-0.0086,2022Q4
2022-12-08,0.9785,1.49,0.9785,0.0149,2022Q4
2022-12-09,0.9929,1.47,0.9929,0.0147,2022Q4
2022-12-12,0.974,-1.9,0.974,-0.019,2022Q4
2022-12-13,0.964,-1.03,0.964,-0.0103,2022Q4
2022-12-14,0.9566,-0.77,0.9566,-0.0077,2022Q4
2022-12-15,0.9548,-0.19,0.9548,-0.0019,2022Q4
2022-12-16,0.9503,-0.47,0.9503,-0.004699999999999999,2022Q4
2022-12-19,0.9516,0.14,0.9516,0.0014000000000000002,2022Q4
2022-12-20,0.9435,-0.85,0.9435,-0.0085,2022Q4
2022-12-21,0.9374,-0.65,0.9374,-0.006500000000000001,2022Q4
2022-12-22,0.9327,-0.5,0.9327,-0.005,2022Q4
2022-12-23,0.9326,-0.01,0.9326,-0.0001,2022Q4
2022-12-26,0.9358,0.34,0.9358,0.0034000000000000002,2022Q4
2022-12-27,0.9372,0.15,0.9372,0.0015,2022Q4
2022-12-28,0.9349,-0.25,0.9349,-0.0025,2022Q4
2022-12-29,0.9323,-0.28,0.9323,-0.0028000000000000004,2022Q4
2022-12-30,0.9339,0.17,0.9339,0.0017000000000000001,2022Q4
2022-12-31,0.9339,0.0,0.9339,0.0,2022Q4
2023-01-03,0.9382,0.46,0.9382,0.0046,2023Q1
2023-01-04,0.9403,0.22,0.9403,0.0022,2023Q1
2023-01-05,0.9474,0.76,0.9474,0.0076,2023Q1
2023-01-06,0.951,0.38,0.951,0.0038,2023Q1
2023-01-09,0.9536,0.27,0.9536,0.0027,2023Q1
2023-01-10,0.9507,-0.3,0.9507,-0.003,2023Q1
2023-01-11,0.942,-0.92,0.942,-0.0092,2023Q1
2023-01-12,0.9387,-0.35,0.9387,-0.0034999999999999996,2023Q1
2023-01-13,0.9414,0.29,0.9414,0.0029,2023Q1
2023-01-16,0.939,-0.25,0.939,-0.0025,2023Q1
2023-01-17,0.9298,-0.98,0.9298,-0.0098,2023Q1
2023-01-18,0.9266,-0.34,0.9266,-0.0034000000000000002,2023Q1
2023-01-19,0.9262,-0.04,0.9262,-0.0004,2023Q1
2023-01-20,0.9269,0.08,0.9269,0.0008,2023Q1
2023-01-30,0.924,-0.31,0.924,-0.0031,2023Q1
2023-01-31,0.911,-1.41,0.911,-0.0141,2023Q1
2023-02-01,0.916,0.55,0.916,0.0055000000000000005,2023Q1
2023-02-02,0.9147,-0.14,0.9147,-0.0014000000000000002,2023Q1
2023-02-03,0.9056,-0.99,0.9056,-0.009899999999999999,2023Q1
2023-02-06,0.8968,-0.97,0.8968,-0.0097,2023Q1
2023-02-07,0.8946,-0.25,0.8946,-0.0025,2023Q1
2023-02-08,0.8895,-0.57,0.8895,-0.005699999999999999,2023Q1
2023-02-09,0.9084,2.12,0.9084,0.0212,2023Q1
2023-02-10,0.8982,-1.12,0.8982,-0.011200000000000002,2023Q1
2023-02-13,0.9209,2.53,0.9209,0.0253,2023Q1
2023-02-14,0.9147,-0.67,0.9147,-0.0067,2023Q1
2023-02-15,0.9184,0.4,0.9184,0.004,2023Q1
