净值日期,单位净值,日增长率,累计净值,日收益率,quarter
2023-10-19,2.124,0.0,2.124,0.0,2023Q4
2023-10-20,2.074,-2.35,2.074,-0.0235,2023Q4
2023-10-23,2.048,-1.25,2.048,-0.0125,2023Q4
2023-10-24,2.066,0.88,2.066,0.0088,2023Q4
2023-10-25,2.064,-0.1,2.064,-0.001,2023Q4
2023-10-26,2.071,0.34,2.071,0.0034000000000000002,2023Q4
2023-10-27,2.093,1.06,2.093,0.0106,2023Q4
2023-10-30,2.155,2.96,2.155,0.0296,2023Q4
2023-10-31,2.131,-1.11,2.131,-0.0111,2023Q4
2023-11-01,2.108,-1.08,2.108,-0.0108,2023Q4
2023-11-02,2.081,-1.28,2.081,-0.0128,2023Q4
2023-11-03,2.122,1.97,2.122,0.0197,2023Q4
2023-11-06,2.181,2.78,2.181,0.0278,2023Q4
2023-11-07,2.2,0.87,2.2,0.0087,2023Q4
2023-11-08,2.198,-0.09,2.198,-0.0009,2023Q4
2023-11-09,2.169,-1.32,2.169,-0.0132,2023Q4
2023-11-10,2.171,0.09,2.171,0.0009,2023Q4
2023-11-13,2.18,0.41,2.18,0.0040999999999999995,2023Q4
2023-11-14,2.193,0.6,2.193,0.006,2023Q4
2023-11-15,2.192,-0.05,2.192,-0.0005,2023Q4
2023-11-16,2.169,-1.05,2.169,-0.0105,2023Q4
2023-11-17,2.19,0.97,2.19,0.0097,2023Q4
2023-11-20,2.195,0.23,2.195,0.0023,2023Q4
2023-11-21,2.158,-1.69,2.158,-0.0169,2023Q4
2023-11-22,2.116,-1.95,2.116,-0.0195,2023Q4
2023-11-23,2.143,1.28,2.143,0.0128,2023Q4
2023-11-24,2.102,-1.91,2.102,-0.0191,2023Q4
2023-11-27,2.13,1.33,2.13,0.013300000000000001,2023Q4
2023-11-28,2.139,0.42,2.139,0.0042,2023Q4
2023-11-29,2.138,-0.05,2.138,-0.0005,2023Q4
2023-11-30,2.128,-0.47,2.128,-0.004699999999999999,2023Q4
2023-12-01,2.147,0.89,2.147,0.0089,2023Q4
2023-12-04,2.142,-0.23,2.142,-0.0023,2023Q4
2023-12-05,2.09,-2.43,2.09,-0.024300000000000002,2023Q4
2023-12-06,2.094,0.19,2.094,0.0019,2023Q4
2023-12-07,2.1,0.29,2.1,0.0029,2023Q4
2023-12-08,2.148,2.29,2.148,0.0229,2023Q4
2023-12-11,2.184,1.68,2.184,0.0168,2023Q4
2023-12-12,2.176,-0.37,2.176,-0.0037,2023Q4
2023-12-13,2.162,-0.64,2.162,-0.0064,2023Q4
2023-12-14,2.147,-0.69,2.147,-0.0069,2023Q4
2023-12-15,2.123,-1.12,2.123,-0.011200000000000002,2023Q4
2023-12-18,2.104,-0.89,2.104,-0.0089,2023Q4
2023-12-19,2.126,1.05,2.126,0.0105,2023Q4
2023-12-20,2.092,-1.6,2.092,-0.016,2023Q4
2023-12-21,2.107,0.72,2.107,0.0072,2023Q4
2023-12-22,2.066,-1.95,2.066,-0.0195,2023Q4
2023-12-25,2.07,0.19,2.07,0.0019,2023Q4
2023-12-26,2.034,-1.74,2.034,-0.0174,2023Q4
2023-12-27,2.057,1.13,2.057,0.0113,2023Q4
2023-12-28,2.082,1.22,2.082,0.012199999999999999,2023Q4
2023-12-29,2.126,2.11,2.126,0.021099999999999997,2023Q4
2023-12-31,2.126,0.0,2.126,0.0,2023Q4
2024-01-02,2.087,-1.83,2.087,-0.0183,2024Q1
2024-01-03,2.036,-2.44,2.036,-0.024399999999999998,2024Q1
2024-01-04,2.02,-0.79,2.02,-0.0079,2024Q1
2024-01-05,1.979,-2.03,1.979,-0.0203,2024Q1
2024-01-08,1.939,-2.02,1.939,-0.0202,2024Q1
2024-01-09,1.945,0.31,1.945,0.0031,2024Q1
2024-01-10,1.915,-1.54,1.915,-0.0154,2024Q1
2024-01-11,1.947,1.67,1.947,0.0167,2024Q1
2024-01-12,1.918,-1.49,1.918,-0.0149,2024Q1
2024-01-15,1.926,0.42,1.926,0.0042,2024Q1
2024-01-16,1.916,-0.52,1.916,-0.0052,2024Q1
2024-01-17,1.876,-2.09,1.876,-0.0209,2024Q1
2024-01-18,1.91,1.81,1.91,0.0181,2024Q1
2024-01-19,1.899,-0.58,1.899,-0.0058,2024Q1
2024-01-22,1.845,-2.84,1.845,-0.028399999999999998,2024Q1
2024-01-23,1.873,1.52,1.873,0.0152,2024Q1
2024-01-24,1.871,-0.11,1.871,-0.0011,2024Q1
2024-01-25,1.915,2.35,1.915,0.0235,2024Q1
2024-01-26,1.869,-2.4,1.869,-0.024,2024Q1
2024-01-29,1.802,-3.58,1.802,-0.0358,2024Q1
2024-01-30,1.76,-2.33,1.76,-0.0233,2024Q1
2024-01-31,1.733,-1.53,1.733,-0.015300000000000001,2024Q1
2024-02-01,1.765,1.85,1.765,0.018500000000000003,2024Q1
2024-02-02,1.745,-1.13,1.745,-0.0113,2024Q1
2024-02-05,1.745,0.0,1.745,0.0,2024Q1
2024-02-06,1.845,5.73,1.845,0.057300000000000004,2024Q1
2024-02-07,1.871,1.41,1.871,0.0141,2024Q1
2024-02-08,1.896,1.34,1.896,0.0134,2024Q1
2024-02-19,2.001,5.54,2.001,0.0554,2024Q1
2024-02-20,1.992,-0.45,1.992,-0.0045000000000000005,2024Q1
2024-02-21,1.952,-2.01,1.952,-0.020099999999999996,2024Q1
2024-02-22,1.981,1.49,1.981,0.0149,2024Q1
2024-02-23,1.984,0.15,1.984,0.0015,2024Q1
2024-02-26,1.989,0.25,1.989,0.0025,2024Q1
2024-02-27,2.071,4.12,2.071,0.0412,2024Q1
2024-02-28,1.979,-4.44,1.979,-0.0444,2024Q1
2024-02-29,2.054,3.79,2.054,0.0379,2024Q1
2024-03-01,2.108,2.63,2.108,0.0263,2024Q1
2024-03-04,2.155,2.23,2.155,0.0223,2024Q1
2024-03-05,2.138,-0.79,2.138,-0.0079,2024Q1
2024-03-06,2.126,-0.56,2.126,-0.005600000000000001,2024Q1
2024-03-07,2.088,-1.79,2.088,-0.0179,2024Q1
2024-03-08,2.162,3.54,2.162,0.0354,2024Q1
2024-03-11,2.164,0.09,2.164,0.0009,2024Q1
2024-03-12,2.137,-1.25,2.137,-0.0125,2024Q1
2024-03-13,2.142,0.23,2.142,0.0023,2024Q1
2024-03-14,2.133,-0.42,2.133,-0.0042,2024Q1
2024-03-15,2.175,1.97,2.175,0.0197,2024Q1
2024-03-18,2.225,2.3,2.225,0.023,2024Q1
2024-03-19,2.2,-1.12,2.2,-0.011200000000000002,2024Q1
2024-03-20,2.204,0.18,2.204,0.0018,2024Q1
2024-03-21,2.2,-0.18,2.2,-0.0018,2024Q1
2024-03-22,2.208,0.36,2.208,0.0036,2024Q1
2024-03-25,2.145,-2.85,2.145,-0.0285,2024Q1
2024-03-26,2.121,-1.12,2.121,-0.011200000000000002,2024Q1
2024-03-27,2.07,-2.4,2.07,-0.024,2024Q1
2024-03-28,2.104,1.64,2.104,0.016399999999999998,2024Q1
2024-03-29,2.109,0.24,2.109,0.0024,2024Q1
2024-04-01,2.156,2.23,2.156,0.0223,2024Q2
2024-04-02,2.117,-1.81,2.117,-0.0181,2024Q2
2024-04-03,2.086,-1.46,2.086,-0.0146,2024Q2
2024-04-08,2.08,-0.29,2.08,-0.0029,2024Q2
2024-04-09,2.076,-0.19,2.076,-0.0019,2024Q2
2024-04-10,2.033,-2.07,2.033,-0.0207,2024Q2
2024-04-11,2.034,0.05,2.034,0.0005,2024Q2
2024-04-12,2.076,2.06,2.076,0.0206,2024Q2
2024-04-15,2.093,0.82,2.093,0.008199999999999999,2024Q2
2024-04-16,2.039,-2.58,2.039,-0.0258,2024Q2
2024-04-17,2.099,2.94,2.099,0.0294,2024Q2
2024-04-18,2.092,-0.33,2.092,-0.0033,2024Q2
2024-04-19,2.056,-1.72,2.056,-0.0172,2024Q2
2024-04-22,2.02,-1.75,2.02,-0.0175,2024Q2
2024-04-23,2.029,0.45,2.029,0.0045000000000000005,2024Q2
2024-04-24,2.102,3.6,2.102,0.036000000000000004,2024Q2
2024-04-25,2.09,-0.57,2.09,-0.005699999999999999,2024Q2
2024-04-26,2.163,3.49,2.163,0.0349,2024Q2
2024-04-29,2.197,1.57,2.197,0.015700000000000002,2024Q2
2024-04-30,2.185,-0.55,2.185,-0.0055000000000000005,2024Q2
2024-05-06,2.195,0.46,2.195,0.0046,2024Q2
2024-05-07,2.175,-0.91,2.175,-0.0091,2024Q2
2024-05-08,2.149,-1.2,2.149,-0.012,2024Q2
2024-05-09,2.151,0.09,2.151,0.0009,2024Q2
2024-05-10,2.128,-1.07,2.128,-0.010700000000000001,2024Q2
2024-05-13,2.138,0.47,2.138,0.004699999999999999,2024Q2
2024-05-14,2.132,-0.28,2.132,-0.0028000000000000004,2024Q2
2024-05-15,2.12,-0.56,2.12,-0.005600000000000001,2024Q2
2024-05-16,2.136,0.75,2.136,0.0075,2024Q2
2024-05-17,2.142,0.28,2.142,0.0028000000000000004,2024Q2
2024-05-20,2.164,1.03,2.164,0.0103,2024Q2
2024-05-21,2.166,0.09,2.166,0.0009,2024Q2
2024-05-22,2.151,-0.69,2.151,-0.0069,2024Q2
2024-05-23,2.138,-0.6,2.138,-0.006,2024Q2
2024-05-24,2.092,-2.15,2.092,-0.0215,2024Q2
2024-05-27,2.128,1.72,2.128,0.0172,2024Q2
2024-05-28,2.095,-1.55,2.095,-0.0155,2024Q2
2024-05-29,2.09,-0.24,2.09,-0.0024,2024Q2
2024-05-30,2.1,0.48,2.1,0.0048,2024Q2
2024-05-31,2.091,-0.43,2.091,-0.0043,2024Q2
2024-06-03,2.153,2.97,2.153,0.0297,2024Q2
2024-06-04,2.167,0.65,2.167,0.006500000000000001,2024Q2
2024-06-05,2.144,-1.06,2.144,-0.0106,2024Q2
2024-06-06,2.167,1.07,2.167,0.010700000000000001,2024Q2
2024-06-07,2.128,-1.8,2.128,-0.018000000000000002,2024Q2
2024-06-11,2.149,0.99,2.149,0.009899999999999999,2024Q2
2024-06-12,2.16,0.51,2.16,0.0051,2024Q2
2024-06-13,2.204,2.04,2.204,0.0204,2024Q2
2024-06-14,2.276,3.27,2.276,0.0327,2024Q2
2024-06-17,2.315,1.71,2.315,0.0171,2024Q2
2024-06-18,2.341,1.12,2.341,0.011200000000000002,2024Q2
2024-06-19,2.332,-0.38,2.332,-0.0038,2024Q2
2024-06-20,2.313,-0.81,2.313,-0.008100000000000001,2024Q2
2024-06-21,2.32,0.3,2.32,0.003,2024Q2
2024-06-24,2.285,-1.51,2.285,-0.0151,2024Q2
2024-06-25,2.231,-2.36,2.231,-0.0236,2024Q2
2024-06-26,2.281,2.24,2.281,0.022400000000000003,2024Q2
2024-06-27,2.257,-1.05,2.257,-0.0105,2024Q2
2024-06-28,2.294,1.64,2.294,0.016399999999999998,2024Q2
2024-06-30,2.294,0.0,2.294,0.0,2024Q2
2024-07-01,2.326,1.39,2.326,0.0139,2024Q3
2024-07-02,2.3,-1.12,2.3,-0.011200000000000002,2024Q3
2024-07-03,2.29,-0.43,2.29,-0.0043,2024Q3
2024-07-04,2.294,0.17,2.294,0.0017000000000000001,2024Q3
2024-07-05,2.295,0.04,2.295,0.0004,2024Q3
2024-07-08,2.309,0.61,2.309,0.0060999999999999995,2024Q3
2024-07-09,2.401,3.98,2.401,0.0398,2024Q3
2024-07-10,2.433,1.33,2.433,0.013300000000000001,2024Q3
2024-07-11,2.449,0.66,2.449,0.0066,2024Q3
2024-07-12,2.421,-1.14,2.421,-0.011399999999999999,2024Q3
2024-07-15,2.412,-0.37,2.412,-0.0037,2024Q3
2024-07-16,2.457,1.87,2.457,0.0187,2024Q3
2024-07-17,2.376,-3.3,2.376,-0.033,2024Q3
2024-07-18,2.368,-0.34,2.368,-0.0034000000000000002,2024Q3
2024-07-19,2.347,-0.89,2.347,-0.0089,2024Q3
2024-07-22,2.337,-0.43,2.337,-0.0043,2024Q3
2024-07-23,2.271,-2.82,2.271,-0.0282,2024Q3
2024-07-24,2.252,-0.84,2.252,-0.0084,2024Q3
2024-07-25,2.195,-2.53,2.195,-0.0253,2024Q3
2024-07-26,2.204,0.41,2.204,0.0040999999999999995,2024Q3
2024-07-29,2.217,0.59,2.217,0.0059,2024Q3
2024-07-30,2.196,-0.95,2.196,-0.0095,2024Q3
2024-07-31,2.233,1.68,2.233,0.0168,2024Q3
2024-08-01,2.246,0.58,2.246,0.0058,2024Q3
2024-08-02,2.166,-3.56,2.166,-0.0356,2024Q3
2024-08-05,2.064,-4.71,2.064,-0.0471,2024Q3
2024-08-06,2.095,1.5,2.095,0.015,2024Q3
2024-08-07,2.089,-0.29,2.089,-0.0029,2024Q3
2024-08-08,2.082,-0.34,2.082,-0.0034000000000000002,2024Q3
2024-08-09,2.101,0.91,2.101,0.0091,2024Q3
2024-08-12,2.103,0.1,2.103,0.001,2024Q3
2024-08-13,2.123,0.95,2.123,0.0095,2024Q3
2024-08-14,2.111,-0.57,2.111,-0.005699999999999999,2024Q3
2024-08-15,2.106,-0.24,2.106,-0.0024,2024Q3
2024-08-16,2.126,0.95,2.126,0.0095,2024Q3
2024-08-19,2.129,0.14,2.129,0.0014000000000000002,2024Q3
2024-08-20,2.116,-0.61,2.116,-0.0060999999999999995,2024Q3
2024-08-21,2.125,0.43,2.125,0.0043,2024Q3
2024-08-22,2.124,-0.05,2.124,-0.0005,2024Q3
2024-08-23,2.111,-0.61,2.111,-0.0060999999999999995,2024Q3
2024-08-26,2.088,-1.09,2.088,-0.0109,2024Q3
2024-08-27,2.064,-1.15,2.064,-0.0115,2024Q3
2024-08-28,2.064,0.0,2.064,0.0,2024Q3
2024-08-29,2.043,-1.02,2.043,-0.0102,2024Q3
2024-08-30,2.097,2.64,2.097,0.0264,2024Q3
2024-09-02,2.047,-2.38,2.047,-0.023799999999999998,2024Q3
2024-09-03,2.06,0.64,2.06,0.0064,2024Q3
2024-09-04,2.035,-1.21,2.035,-0.0121,2024Q3
2024-09-05,2.037,0.1,2.037,0.001,2024Q3
2024-09-06,1.997,-1.96,1.997,-0.0196,2024Q3
2024-09-09,1.991,-0.3,1.991,-0.003,2024Q3
2024-09-10,2.016,1.26,2.016,0.0126,2024Q3
2024-09-11,2.019,0.15,2.019,0.0015,2024Q3
2024-09-12,2.011,-0.4,2.011,-0.004,2024Q3
2024-09-13,2.031,0.99,2.031,0.009899999999999999,2024Q3
2024-09-18,2.014,-0.84,2.014,-0.0084,2024Q3
2024-09-19,2.002,-0.6,2.002,-0.006,2024Q3
2024-09-20,2.003,0.05,2.003,0.0005,2024Q3
2024-09-23,1.991,-0.6,1.991,-0.006,2024Q3
2024-09-24,2.084,4.67,2.084,0.0467,2024Q3
2024-09-25,2.085,0.05,2.085,0.0005,2024Q3
2024-09-26,2.147,2.97,2.147,0.0297,2024Q3
2024-09-27,2.251,4.84,2.251,0.0484,2024Q3
2024-09-30,2.487,10.48,2.487,0.1048,2024Q3
2024-10-08,2.759,10.94,2.759,0.1094,2024Q4
2024-10-09,2.597,-5.87,2.597,-0.0587,2024Q4
2024-10-10,2.561,-1.39,2.561,-0.0139,2024Q4
2024-10-11,2.486,-2.93,2.486,-0.029300000000000003,2024Q4
2024-10-14,2.542,2.25,2.542,0.0225,2024Q4
2024-10-15,2.491,-2.01,2.491,-0.020099999999999996,2024Q4
2024-10-16,2.437,-2.17,2.437,-0.0217,2024Q4
2024-10-17,2.449,0.49,2.449,0.0049,2024Q4
2024-10-18,2.609,6.53,2.609,0.0653,2024Q4
2024-10-21,2.625,0.61,2.625,0.0060999999999999995,2024Q4
2024-10-22,2.631,0.23,2.631,0.0023,2024Q4
2024-10-23,2.584,-1.79,2.584,-0.0179,2024Q4
2024-10-24,2.583,-0.04,2.583,-0.0004,2024Q4
2024-10-25,2.603,0.77,2.603,0.0077,2024Q4
2024-10-28,2.578,-0.96,2.578,-0.0096,2024Q4
2024-10-29,2.559,-0.74,2.559,-0.0074,2024Q4
2024-10-30,2.564,0.2,2.564,0.002,2024Q4
2024-10-31,2.574,0.39,2.574,0.0039000000000000003,2024Q4
2024-11-01,2.522,-2.02,2.522,-0.0202,2024Q4
2024-11-04,2.572,1.98,2.572,0.019799999999999998,2024Q4
2024-11-05,2.655,3.23,2.655,0.0323,2024Q4
2024-11-06,2.645,-0.38,2.645,-0.0038,2024Q4
2024-11-07,2.678,1.25,2.678,0.0125,2024Q4
2024-11-08,2.679,0.04,2.679,0.0004,2024Q4
2024-11-11,2.749,2.61,2.749,0.026099999999999998,2024Q4
2024-11-12,2.712,-1.35,2.712,-0.013500000000000002,2024Q4
2024-11-13,2.757,1.66,2.757,0.0166,2024Q4
2024-11-14,2.673,-3.05,2.673,-0.0305,2024Q4
2024-11-15,2.584,-3.33,2.584,-0.0333,2024Q4
2024-11-18,2.522,-2.4,2.522,-0.024,2024Q4
2024-11-19,2.573,2.02,2.573,0.0202,2024Q4
2024-11-20,2.6,1.05,2.6,0.0105,2024Q4
