quarter_end,nav,quarter_return,year_quarter,mkt
2006-03-31,1.1499,0.12426671881110685,2006Q1,0.1339993876024308
2006-06-30,1.5002,0.30463518566831915,2006Q2,0.3039599328462653
2006-09-30,1.5741,0.049260098653512996,2006Q3,0.038676182504540635
2006-12-31,1.5731,-0.0006352836541516638,2006Q4,0.3090491842614505
2007-03-31,1.0752,-0.31650880427182004,2007Q1,0.36986122693188184
2007-06-30,1.5014,0.3963913690476193,2007Q2,0.2977876573795573
2007-09-30,1.9785,0.31777008125749284,2007Q3,0.4056969866820611
2007-12-31,2.0913,0.057012888551933205,2007Q4,0.00523525067919041
2008-03-31,1.4039,-0.32869507005212073,2008Q1,-0.2986538740192239
2008-06-30,1.1669,-0.16881544269534854,2008Q2,-0.2692131979793908
2008-09-30,0.9709,-0.16796640671865637,2008Q3,-0.14498013801757595
2008-12-31,0.9344,-0.03759398496240596,2008Q4,-0.1812154763640589
2009-03-31,1.1188,0.19734589041095885,2009Q1,0.3086848554383733
2009-06-30,1.3679,0.2226492670718625,2009Q2,0.24653242168211745
2009-09-30,1.4148,0.03428613202719499,2009Q3,-0.0343871783614112
2009-12-31,1.6427,0.1610828385637546,2009Q4,0.1820885355404657
2010-03-31,1.4195,-0.13587386619589703,2010Q1,-0.0473848501955237
2010-06-30,1.2207,-0.14004931313842905,2010Q2,-0.2349242751171626
2010-09-30,1.4977,0.22691898091259133,2010Q3,0.13165677001194337
2010-12-31,1.7422,0.16325031715296778,2010Q4,0.06951134514064751
2011-03-31,1.5471,-0.11198484674549425,2011Q1,0.038413163553956256
2011-06-30,1.5362,-0.007045439855212887,2011Q2,-0.0412374918915918
2011-09-30,1.4048,-0.0855357375341752,2011Q3,-0.14678191276093108
2011-12-31,1.2317,-0.12322038724373574,2011Q4,-0.068247375516099
2012-03-31,1.2347,0.0024356580336120093,2012Q1,0.03508768863771107
2012-06-30,1.308,0.05936664776868894,2012Q2,0.008941681832140102
2012-09-30,1.2527,-0.042278287461773756,2012Q3,-0.055398359324618104
2012-12-31,1.3089,0.044863095713259415,2012Q4,0.0791950119209419
2013-03-31,1.3556,0.03567881427152564,2013Q1,-0.0021132048097480772
2013-06-30,1.3172,-0.02832694010032455,2013Q2,-0.0806703582059443
2013-09-30,1.5457,0.17347403583358645,2013Q3,0.12198426186833741
2013-12-31,1.5468,0.0007116516788510108,2013Q4,-0.017506498788204098
2014-03-31,1.3596,-0.1210240496508922,2014Q1,-0.029109364627963596
2014-06-30,1.367,0.0054427772874374725,2014Q2,0.035981297116697106
2014-09-30,1.6095,0.17739575713240674,2014Q3,0.1600255984965559
2014-12-31,1.7675,0.09816713264989141,2014Q4,0.27380282474713774
2015-03-31,2.3519,0.3306364922206506,2015Q1,0.1835511385667216
2015-06-30,2.784,0.18372379778051773,2015Q2,0.17745966475880862
2015-09-30,2.1022,-0.2448994252873563,2015Q3,-0.2986010699516734
2015-12-31,2.776,0.32052135857672903,2015Q4,0.183165749256718
2016-03-31,1.5843,-0.42928674351585006,2016Q1,-0.143440139043592
2016-06-30,1.695,0.06987313008899831,2016Q2,0.007661879660135785
2016-09-30,1.6998,0.002831858407079668,2016Q3,0.03485317740675596
2016-12-31,1.663,-0.021649605835980634,2016Q4,0.020167768760712773
2017-03-31,1.769,0.06374022850270578,2017Q1,0.031790439818767224
2017-06-30,1.8873,0.06687394007914071,2017Q2,0.0065224092427500525
2017-09-30,2.012,0.06607322630212464,2017Q3,0.06413452694664547
2017-12-31,2.1249,0.056113320079522744,2017Q4,-0.0029160482761409956
2018-03-31,2.1562,0.014730104946115263,2018Q1,-0.027444651310883632
2018-06-30,1.9471,-0.09697616176606993,2018Q2,-0.10890241577223601
2018-09-30,1.7787,-0.08648759693903763,2018Q3,-0.0053192989016720045
2018-12-31,1.4801,-0.1678754146286614,2018Q4,-0.11508175347890609
2019-03-31,2.0259,0.36875886764407806,2019Q1,0.23415868008568327
2019-06-30,2.0634,0.018510291722197536,2019Q2,-0.024270333281325197
2019-09-30,2.2218,0.07676650189008427,2019Q3,-0.0024200394952105008
2019-12-31,2.4001,0.08025024754703391,2019Q4,0.0617607889395581
2020-03-31,2.1919,-0.0867463855672681,2020Q1,-0.0729533790924994
2020-06-30,2.8117,0.2827683744696383,2020Q2,0.11890386392157883
2020-09-30,3.2276,0.1479176299036169,2020Q3,0.0973021956041939
2020-12-31,3.6221,0.12222704176477883,2020Q4,0.07874693586709572
2021-03-31,3.4343,-0.05184837525192576,2021Q1,-0.014304664295880537
2021-06-30,3.6746,0.06997059080453072,2021Q2,0.06774991063621356
2021-09-30,3.3662,-0.08392750231317692,2021Q3,-0.0035501711437823033
2021-12-31,3.4887,0.036391182936248656,2021Q4,0.032392345604509154
2022-03-31,2.8298,-0.18886691317682802,2022Q1,-0.11962942561053509
