quarter_end,nav,quarter_return,year_quarter,mkt
2010-09-30,1.0441,0.1324295010845986,2010Q3,0.13165677001194337
2010-12-31,1.0844,0.03859783545637385,2010Q4,0.06951134514064751
2011-03-31,1.0615,-0.02111766875691623,2011Q1,0.038413163553956256
2011-06-30,1.0086,-0.04983513895431013,2011Q2,-0.0412374918915918
2011-09-30,0.9055,-0.10222090025778308,2011Q3,-0.14678191276093108
2011-12-31,0.8576,-0.0528989508558807,2011Q4,-0.068247375516099
2012-03-31,0.8564,-0.0013992537313433084,2012Q1,0.03508768863771107
2012-06-30,0.8758,0.022652965903783295,2012Q2,0.008941681832140102
2012-09-30,0.8228,-0.06051609956611104,2012Q3,-0.055398359324618104
2012-12-31,0.8816,0.07146329606222657,2012Q4,0.0791950119209419
2013-03-31,0.9742,0.10503629764065314,2013Q1,-0.0021132048097480772
2013-06-30,1.0135,0.04034079244508337,2013Q2,-0.0806703582059443
2013-09-30,1.1365,0.12136161815490865,2013Q3,0.12198426186833741
2013-12-31,1.1752,0.03405191377034744,2013Q4,-0.017506498788204098
2014-03-31,1.1968,0.018379850238257278,2014Q1,-0.029109364627963596
2014-06-30,1.2657,0.057570187165775444,2014Q2,0.035981297116697106
2014-09-30,1.4329,0.13210081377893657,2014Q3,0.1600255984965559
2014-12-31,1.6256,0.1344825179705491,2014Q4,0.27380282474713774
2015-03-31,2.056,0.26476377952755903,2015Q1,0.1835511385667216
2015-06-30,2.5808,0.2552529182879377,2015Q2,0.17745966475880862
2015-09-30,2.2523,-0.12728611283323,2015Q3,-0.2986010699516734
2015-12-31,3.0454,0.3521289348665808,2015Q4,0.183165749256718
2016-03-31,2.7281,-0.10418992578971564,2016Q1,-0.143440139043592
2016-06-30,1.0884,-0.6010410175580074,2016Q2,0.007661879660135785
2016-09-30,1.1413,0.04860345461227489,2016Q3,0.03485317740675596
2016-12-31,1.0785,-0.055024971523701005,2016Q4,0.020167768760712773
2017-03-31,1.0686,-0.009179415855354645,2017Q1,0.031790439818767224
2017-06-30,1.1156,0.04398278120905852,2017Q2,0.0065224092427500525
2017-09-30,1.199,0.07475797776981019,2017Q3,0.06413452694664547
2017-12-31,1.3777,0.14904086738949118,2017Q4,-0.0029160482761409956
2018-03-31,1.3206,-0.0414458880743267,2018Q1,-0.027444651310883632
2018-06-30,1.2262,-0.07148265939724374,2018Q2,-0.10890241577223601
2018-09-30,1.1517,-0.0607568096558474,2018Q3,-0.0053192989016720045
2018-12-31,1.0259,-0.10922983415820087,2018Q4,-0.11508175347890609
2019-03-31,1.3929,0.35773467199532116,2019Q1,0.23415868008568327
2019-06-30,1.0136,-0.2723095699619499,2019Q2,-0.024270333281325197
2019-09-30,1.0603,0.04607340173638508,2019Q3,-0.0024200394952105008
2019-12-31,1.1401,0.07526171838159001,2019Q4,0.0617607889395581
2020-03-31,1.1444,0.003771598982545532,2020Q1,-0.0729533790924994
2020-06-30,1.4637,0.27901083537224736,2020Q2,0.11890386392157883
2020-09-30,1.6955,0.15836578533852563,2020Q3,0.0973021956041939
2020-12-31,1.997,0.17782365084046003,2020Q4,0.07874693586709572
2021-03-31,2.0649,0.03400100150225338,2021Q1,-0.014304664295880537
2021-06-30,2.1494,0.04092207855101937,2021Q2,0.06774991063621356
2021-09-30,1.9407,-0.09709686424118358,2021Q3,-0.0035501711437823033
2021-12-31,2.1233,0.09408976142628944,2021Q4,0.032392345604509154
2022-03-31,1.6595,-0.2184335703857203,2022Q1,-0.11962942561053509
2022-06-30,1.7756,0.06996083157577582,2022Q2,0.06180385220257901
2022-09-30,1.4907,-0.16045280468574008,2022Q3,-0.1148322001626977
2022-12-31,1.5515,0.040786207821828846,2022Q4,0.030915264337314206
2023-03-31,1.6368,0.054979052529809724,2023Q1,0.0644007612525877
2023-06-30,1.5752,-0.037634408602150615,2023Q2,-0.013633149684269616
2023-09-30,1.4638,-0.07072117826307767,2023Q3,-0.0243925601199987
2023-12-31,1.4067,-0.039008061210547895,2023Q4,-0.03855108613301727
2024-03-31,1.3513,-0.03938295301059225,2024Q1,0.01150129281475235
2024-06-30,1.353,0.00125804780581662,2024Q2,-0.0214329610010002
2024-09-30,1.5341,0.13385070214338501,2024Q3,0.1510693792013932
2024-12-31,1.5327,-0.0009125871846685785,2024Q4,0.022726887647897893
2025-03-31,1.5782,0.02968617472434265,2025Q1,0.008014267849369303
2025-06-30,1.5883,0.006399695856038612,2025Q2,0.044526752780127195
2025-09-30,2.1626,0.3615815651954919,2025Q3,0.1414132682915976
2025-12-31,2.0802,-0.038102284287431676,2025Q4,0.024075874648947837
2026-03-31,2.0882,0.003845784059224977,2026Q1,-0.006577019764142822
2026-06-30,2.9481,0.4117900584235228,2026Q2,
2026-09-30,2.283,-0.22560293070112958,2026Q3,
