quarter_end,nav,quarter_return,year_quarter,mkt
2006-09-30,1.027,0.026999999999999913,2006Q3,0.038676182504540635
2006-12-31,1.567,0.5258033106134372,2006Q4,0.3090491842614505
2007-03-31,1.777,0.13401403956604985,2007Q1,0.36986122693188184
2007-06-30,2.352,0.3235790658413056,2007Q2,0.2977876573795573
2007-09-30,1.489,-0.36692176870748294,2007Q3,0.4056969866820611
2007-12-31,1.447,-0.02820685023505709,2007Q4,0.00523525067919041
2008-03-31,1.134,-0.21630960608154814,2008Q1,-0.2986538740192239
2008-06-30,0.969,-0.14550264550264547,2008Q2,-0.2692131979793908
2008-09-30,0.842,-0.13106295149638802,2008Q3,-0.14498013801757595
2008-12-31,0.747,-0.11282660332541561,2008Q4,-0.1812154763640589
2009-03-31,0.852,0.1405622489959839,2009Q1,0.3086848554383733
2009-06-30,1.009,0.1842723004694835,2009Q2,0.24653242168211745
2009-09-30,0.899,-0.10901883052527239,2009Q3,-0.0343871783614112
2009-12-31,1.013,0.1268075639599553,2009Q4,0.1820885355404657
2010-03-31,0.965,-0.047384007897334546,2010Q1,-0.0473848501955237
2010-06-30,0.799,-0.17202072538860091,2010Q2,-0.2349242751171626
2010-09-30,0.916,0.14643304130162704,2010Q3,0.13165677001194337
2010-12-31,0.986,0.07641921397379914,2010Q4,0.06951134514064751
2011-03-31,0.967,-0.01926977687626774,2011Q1,0.038413163553956256
2011-06-30,0.903,-0.06618407445708374,2011Q2,-0.0412374918915918
2011-09-30,0.788,-0.12735326688815063,2011Q3,-0.14678191276093108
2011-12-31,0.665,-0.15609137055837563,2011Q4,-0.068247375516099
2012-03-31,0.679,0.021052631578947434,2012Q1,0.03508768863771107
2012-06-30,0.678,-0.0014727540500736325,2012Q2,0.008941681832140102
2012-09-30,0.611,-0.09882005899705026,2012Q3,-0.055398359324618104
2012-12-31,0.622,0.018003273322422242,2012Q4,0.0791950119209419
2013-03-31,0.679,0.09163987138263674,2013Q1,-0.0021132048097480772
2013-06-30,0.701,0.032400589101619914,2013Q2,-0.0806703582059443
2013-09-30,0.799,0.13980028530670485,2013Q3,0.12198426186833741
2013-12-31,0.747,-0.06508135168961204,2013Q4,-0.017506498788204098
2014-03-31,0.668,-0.10575635876840694,2014Q1,-0.029109364627963596
2014-06-30,0.671,0.004491017964071808,2014Q2,0.035981297116697106
2014-09-30,0.751,0.11922503725782407,2014Q3,0.1600255984965559
2014-12-31,0.76,0.011984021304926706,2014Q4,0.27380282474713774
2015-03-31,0.984,0.2947368421052632,2015Q1,0.1835511385667216
2015-06-30,1.053,0.07012195121951215,2015Q2,0.17745966475880862
2015-09-30,0.868,-0.1756885090218423,2015Q3,-0.2986010699516734
2015-12-31,1.014,0.16820276497695863,2015Q4,0.183165749256718
2016-03-31,0.879,-0.13313609467455623,2016Q1,-0.143440139043592
2016-06-30,0.918,0.04436860068259385,2016Q2,0.007661879660135785
2016-09-30,0.955,0.04030501089324612,2016Q3,0.03485317740675596
2016-12-31,0.924,-0.032460732984293084,2016Q4,0.020167768760712773
2017-03-31,1.019,0.10281385281385269,2017Q1,0.031790439818767224
2017-06-30,1.172,0.1501472031403337,2017Q2,0.0065224092427500525
2017-09-30,1.214,0.03583617747440271,2017Q3,0.06413452694664547
2017-12-31,1.444,0.18945634266886335,2017Q4,-0.0029160482761409956
2018-03-31,1.258,-0.12880886426592797,2018Q1,-0.027444651310883632
2018-06-30,1.35,0.07313195548489682,2018Q2,-0.10890241577223601
2018-09-30,1.221,-0.0955555555555555,2018Q3,-0.0053192989016720045
2018-12-31,1.082,-0.11384111384111384,2018Q4,-0.11508175347890609
2019-03-31,1.541,0.42421441774491675,2019Q1,0.23415868008568327
2019-06-30,1.683,0.09214795587281,2019Q2,-0.024270333281325197
2019-09-30,1.738,0.03267973856209139,2019Q3,-0.0024200394952105008
2019-12-31,1.863,0.07192174913693905,2019Q4,0.0617607889395581
2020-03-31,1.698,-0.08856682769726254,2020Q1,-0.0729533790924994
2020-06-30,2.11,0.24263839811542987,2020Q2,0.11890386392157883
2020-09-30,2.628,0.24549763033175376,2020Q3,0.0973021956041939
2020-12-31,3.284,0.2496194824961946,2020Q4,0.07874693586709572
2021-03-31,2.984,-0.09135200974421431,2021Q1,-0.014304664295880537
2021-06-30,3.237,0.08478552278820373,2021Q2,0.06774991063621356
2021-09-30,2.856,-0.11770157553290095,2021Q3,-0.0035501711437823033
2021-12-31,2.815,-0.014355742296918717,2021Q4,0.032392345604509154
2022-03-31,2.236,-0.2056838365896979,2022Q1,-0.11962942561053509
2022-06-30,2.626,0.17441860465116266,2022Q2,0.06180385220257901
2022-09-30,2.338,-0.10967250571210962,2022Q3,-0.1148322001626977
2022-12-31,2.41,0.030795551753635575,2022Q4,0.030915264337314206
2023-03-31,2.427,0.007053941908713668,2023Q1,0.0644007612525877
2023-06-30,2.049,-0.15574783683559956,2023Q2,-0.013633149684269616
2023-09-30,2.075,0.012689116642264686,2023Q3,-0.0243925601199987
2023-12-31,1.936,-0.06698795180722905,2023Q4,-0.03855108613301727
2024-03-31,1.927,-0.004648760330578483,2024Q1,0.01150129281475235
2024-06-30,1.739,-0.09756097560975607,2024Q2,-0.0214329610010002
2024-09-30,1.939,0.11500862564692338,2024Q3,0.1510693792013932
2024-12-31,1.748,-0.09850438370293968,2024Q4,0.022726887647897893
2025-03-31,1.757,0.005148741418764313,2025Q1,0.008014267849369303
2025-06-30,1.661,-0.0546385885031303,2025Q2,0.044526752780127195
2025-09-30,1.812,0.09090909090909083,2025Q3,0.1414132682915976
2025-12-31,1.706,-0.058498896247240695,2025Q4,0.024075874648947837
2026-03-31,1.571,-0.07913247362250875,2026Q1,-0.006577019764142822
2026-06-30,1.441,-0.0827498408656906,2026Q2,
2026-09-30,1.557,0.08049965301873696,2026Q3,
