quarter_end,nav,quarter_return,year_quarter,mkt
2009-06-30,1.133,0.12067260138476765,2009Q2,0.24653242168211745
2009-09-30,1.087,-0.04060017652250669,2009Q3,-0.0343871783614112
2009-12-31,1.152,0.059797608095676136,2009Q4,0.1820885355404657
2010-03-31,1.121,-0.0269097222222221,2010Q1,-0.0473848501955237
2010-06-30,1.027,-0.08385370205173959,2010Q2,-0.2349242751171626
2010-09-30,1.037,0.009737098344693385,2010Q3,0.13165677001194337
2010-12-31,1.153,0.11186113789778207,2010Q4,0.06951134514064751
2011-03-31,1.175,0.019080659150043422,2011Q1,0.038413163553956256
2011-06-30,0.978,-0.1676595744680851,2011Q2,-0.0412374918915918
2011-09-30,0.889,-0.09100204498977504,2011Q3,-0.14678191276093108
2011-12-31,0.843,-0.05174353205849269,2011Q4,-0.068247375516099
2012-03-31,0.855,0.014234875444839812,2012Q1,0.03508768863771107
2012-06-30,0.887,0.037426900584795364,2012Q2,0.008941681832140102
2012-09-30,0.813,-0.08342728297632473,2012Q3,-0.055398359324618104
2012-12-31,0.828,0.01845018450184499,2012Q4,0.0791950119209419
2013-03-31,0.843,0.018115942028985588,2013Q1,-0.0021132048097480772
2013-06-30,0.801,-0.04982206405693945,2013Q2,-0.0806703582059443
2013-09-30,0.857,0.06991260923845188,2013Q3,0.12198426186833741
2013-12-31,0.856,-0.001166861143523934,2013Q4,-0.017506498788204098
2014-03-31,0.771,-0.09929906542056066,2014Q1,-0.029109364627963596
2014-06-30,0.794,0.02983138780804162,2014Q2,0.035981297116697106
2014-09-30,0.872,0.09823677581863977,2014Q3,0.1600255984965559
2014-12-31,0.933,0.06995412844036708,2014Q4,0.27380282474713774
2015-03-31,1.255,0.3451232583065378,2015Q1,0.1835511385667216
2015-06-30,1.571,0.2517928286852591,2015Q2,0.17745966475880862
2015-09-30,1.039,-0.3386378103119033,2015Q3,-0.2986010699516734
2015-12-31,1.412,0.3589990375360925,2015Q4,0.183165749256718
2016-03-31,1.095,-0.2245042492917847,2016Q1,-0.143440139043592
2016-06-30,1.167,0.0657534246575342,2016Q2,0.007661879660135785
2016-09-30,1.19,0.019708654670094194,2016Q3,0.03485317740675596
2016-12-31,1.07,-0.10084033613445365,2016Q4,0.020167768760712773
2017-03-31,1.034,-0.03364485981308418,2017Q1,0.031790439818767224
2017-06-30,1.021,-0.012572533849129708,2017Q2,0.0065224092427500525
2017-09-30,0.98,-0.040156709108716826,2017Q3,0.06413452694664547
2017-12-31,0.933,-0.0479591836734693,2017Q4,-0.0029160482761409956
2018-03-31,0.876,-0.06109324758842449,2018Q1,-0.027444651310883632
2018-06-30,0.791,-0.09703196347031962,2018Q2,-0.10890241577223601
2018-09-30,0.746,-0.05689001264222504,2018Q3,-0.0053192989016720045
2018-12-31,0.636,-0.14745308310991956,2018Q4,-0.11508175347890609
2019-03-31,0.916,0.44025157232704415,2019Q1,0.23415868008568327
2019-06-30,0.782,-0.14628820960698685,2019Q2,-0.024270333281325197
2019-09-30,1.016,0.29923273657288996,2019Q3,-0.0024200394952105008
2019-12-31,1.243,0.22342519685039375,2019Q4,0.0617607889395581
2020-03-31,1.257,0.01126307320997566,2020Q1,-0.0729533790924994
2020-06-30,1.73,0.3762927605409707,2020Q2,0.11890386392157883
2020-09-30,1.579,-0.08728323699421969,2020Q3,0.0973021956041939
2020-12-31,1.729,0.09499683343888554,2020Q4,0.07874693586709572
2021-03-31,1.532,-0.11393869288606129,2021Q1,-0.014304664295880537
2021-06-30,2.137,0.39490861618798956,2021Q2,0.06774991063621356
2021-09-30,2.06,-0.03603182030884411,2021Q3,-0.0035501711437823033
2021-12-31,2.118,0.028155339805825186,2021Q4,0.032392345604509154
2022-03-31,1.636,-0.2275731822474032,2022Q1,-0.11962942561053509
2022-06-30,1.624,-0.007334963325183241,2022Q2,0.06180385220257901
2022-09-30,1.282,-0.21059113300492616,2022Q3,-0.1148322001626977
2022-12-31,1.27,-0.009360374414976613,2022Q4,0.030915264337314206
2023-03-31,1.452,0.14330708661417324,2023Q1,0.0644007612525877
2023-06-30,1.354,-0.06749311294765836,2023Q2,-0.013633149684269616
2023-09-30,1.25,-0.0768094534711965,2023Q3,-0.0243925601199987
2023-12-31,1.23,-0.016000000000000014,2023Q4,-0.03855108613301727
2024-03-31,1.096,-0.10894308943089426,2024Q1,0.01150129281475235
2024-06-30,1.074,-0.02007299270072993,2024Q2,-0.0214329610010002
2024-09-30,1.214,0.13035381750465547,2024Q3,0.1510693792013932
2024-12-31,1.38,0.13673805601317945,2024Q4,0.022726887647897893
2025-03-31,1.431,0.036956521739130554,2025Q1,0.008014267849369303
2025-06-30,1.441,0.006988120195667413,2025Q2,0.044526752780127195
2025-09-30,1.973,0.3691880638445524,2025Q3,0.1414132682915976
2025-12-31,1.904,-0.034972123669538835,2025Q4,0.024075874648947837
2026-03-31,1.773,-0.06880252100840334,2026Q1,-0.006577019764142822
2026-06-30,3.046,0.7179921037789059,2026Q2,
2026-09-30,2.485,-0.18417596848325668,2026Q3,
