quarter,end_date,close_price,volume,intra_quarter_max_drawdown,historical_max_drawdown,quarterly_return
1980Q1,1980-03-31,260.0,500,-0.1034,-0.1034,-0.1034
1980Q2,1980-06-27,305.0,5700,-0.0755,-0.1552,0.1731
1980Q3,1980-09-29,385.0,4600,-0.0375,-0.0469,0.2623
1980Q4,1980-12-30,425.0,5100,-0.1064,-0.1064,0.1039
1981Q1,1981-03-26,480.0,4700,-0.0206,-0.0957,0.1294
1981Q2,1981-06-30,510.0,6000,-0.0286,-0.0286,0.0625
1981Q3,1981-09-30,460.0,4600,-0.1154,-0.1238,-0.098
1981Q4,1981-12-30,560.0,4000,-0.0593,-0.1143,0.2174
1982Q1,1982-03-31,480.0,5900,-0.1696,-0.2119,-0.1429
1982Q2,1982-06-30,495.0,8300,-0.0962,-0.2034,0.0312
1982Q3,1982-09-30,550.0,8000,-0.1313,-0.2712,0.1111
1982Q4,1982-12-31,775.0,17400,-0.0161,-0.0847,0.4091
1983Q1,1983-03-31,965.0,12400,-0.0443,-0.0443,0.2452
1983Q2,1983-06-30,910.0,9100,-0.0761,-0.0777,-0.057
1983Q3,1983-09-29,1240.0,11000,-0.0537,-0.0812,0.3626
1983Q4,1983-12-30,1310.0,7700,-0.0542,-0.0542,0.0565
1984Q1,1984-03-30,1240.0,7400,-0.0882,-0.1047,-0.0534
1984Q2,1984-06-29,1260.0,9100,-0.0632,-0.1191,0.0161
1984Q3,1984-09-28,1305.0,7300,-0.0238,-0.1119,0.0357
1984Q4,1984-12-31,1275.0,7700,-0.0307,-0.0866,-0.023
1985Q1,1985-03-29,1815.0,21100,-0.027,-0.0794,0.4235
1985Q2,1985-06-28,2150.0,18900,-0.0546,-0.0649,0.1846
1985Q3,1985-09-30,2120.0,13000,-0.1172,-0.1172,-0.014
1985Q4,1985-12-31,2470.0,17400,-0.0749,-0.0749,0.1651
1986Q1,1986-03-31,3120.0,25500,-0.0891,-0.1573,0.2632
1986Q2,1986-06-30,2975.0,15400,-0.1529,-0.1713,-0.0465
1986Q3,1986-09-30,2625.0,14700,-0.1393,-0.1822,-0.1176
1986Q4,1986-12-31,2820.0,20900,-0.0718,-0.1822,0.0743
1987Q1,1987-03-31,3520.0,22600,-0.0496,-0.0919,0.2482
1987Q2,1987-06-30,3500.0,12900,-0.0483,-0.0771,-0.0057
1987Q3,1987-09-30,4220.0,17700,-0.1071,-0.1071,0.2057
1987Q4,1987-12-31,2950.0,59700,-0.3706,-0.3706,-0.3009
1988Q1,1988-03-31,3425.0,16000,-0.0547,-0.2882,0.161
1988Q2,1988-06-30,4150.0,17500,-0.0548,-0.1882,0.2117
1988Q3,1988-09-30,4800.0,8400,-0.0395,-0.0395,0.1566
1988Q4,1988-12-30,4700.0,7200,-0.06,-0.06,-0.0208
1989Q1,1989-03-31,4950.0,3900,-0.0597,-0.075,0.0532
1989Q2,1989-06-30,6575.0,12200,-0.1,-0.1,0.3283
1989Q3,1989-09-29,8625.0,11300,-0.0525,-0.0525,0.3118
1989Q4,1989-12-29,8675.0,11100,-0.0873,-0.0873,0.0058
1990Q1,1990-03-30,6725.0,21100,-0.2248,-0.2423,-0.2248
1990Q2,1990-06-29,7200.0,10800,-0.0858,-0.2541,0.0706
