quarter,end_date,nav,quarterly_return,historical_max_drawdown,mkt_quarterly_return
2001Q1,2001-03-31,1.4031,0.4031,0.0,0.2004
2001Q2,2001-06-30,1.9807,0.4116,0.0,0.2004
2001Q3,2001-09-30,2.6876,0.3569,0.0,0.2004
2001Q4,2001-12-31,3.85,0.4325,0.0,0.2004
2002Q1,2002-03-31,5.8946,0.5311,0.0,0.255
2002Q2,2002-06-30,8.8005,0.493,0.0,0.255
2002Q3,2002-09-30,13.2472,0.5053,0.0,0.255
2002Q4,2002-12-31,20.02,0.5113,0.0,0.255
2003Q1,2003-03-31,22.0351,0.1007,0.0,0.0751
2003Q2,2003-06-30,25.7904,0.1704,0.0,0.0751
2003Q3,2003-09-30,30.2199,0.1717,0.0,0.0751
2003Q4,2003-12-31,35.035,0.1593,0.0,0.0751
2004Q1,2004-03-31,36.5052,0.042,0.0,0.0282
2004Q2,2004-06-30,39.2219,0.0744,0.0,0.0282
2004Q3,2004-09-30,41.0347,0.0462,0.0,0.0282
2004Q4,2004-12-31,43.6186,0.063,0.0,0.0282
2005Q1,2005-03-31,44.9946,0.0315,0.0,0.0244
2005Q2,2005-06-30,47.4414,0.0544,0.0,0.0244
2005Q3,2005-09-30,50.2662,0.0595,0.0,0.0244
2005Q4,2005-12-31,52.7785,0.05,0.0,0.0244
2006Q1,2006-03-31,58.0201,0.0993,0.0,0.0364
2006Q2,2006-06-30,61.1088,0.0532,0.0,0.0364
2006Q3,2006-09-30,63.4135,0.0377,0.0,0.0364
2006Q4,2006-12-31,69.9315,0.1028,0.0,0.0364
2007Q1,2007-03-31,74.8034,0.0697,0.0,0.0318
2007Q2,2007-06-30,78.3852,0.0479,0.0,0.0318
2007Q3,2007-09-30,83.7188,0.068,0.0,0.0318
2007Q4,2007-12-31,89.5123,0.0692,0.0,0.0318
2008Q1,2008-03-31,80.822,-0.0971,-0.0971,-0.0572
2008Q2,2008-06-30,71.1919,-0.1192,-0.2047,-0.0572
2008Q3,2008-09-30,62.8732,-0.1168,-0.2976,-0.0572
2008Q4,2008-12-31,55.0501,-0.1244,-0.385,-0.0572
2009Q1,2009-03-31,60.9188,0.1066,-0.3194,0.0517
2009Q2,2009-06-30,66.6563,0.0942,-0.2553,0.0517
2009Q3,2009-09-30,74.0949,0.1116,-0.1722,0.0517
2009Q4,2009-12-31,81.5842,0.1011,-0.0886,0.0517
2010Q1,2010-03-31,85.4381,0.0472,-0.0455,0.0217
2010Q2,2010-06-30,88.0272,0.0303,-0.0166,0.0217
2010Q3,2010-09-30,91.5398,0.0399,0.0,0.0217
2010Q4,2010-12-31,96.6773,0.0561,0.0,0.0217
2011Q1,2011-03-31,101.9301,0.0543,0.0,0.0144
2011Q2,2011-06-30,102.4618,0.0052,0.0,0.0144
2011Q3,2011-09-30,104.5846,0.0207,0.0,0.0144
2011Q4,2011-12-31,108.2785,0.0353,0.0,0.0144
2012Q1,2012-03-31,117.5014,0.0852,0.0,0.0325
2012Q2,2012-06-30,126.4942,0.0765,0.0,0.0325
2012Q3,2012-09-30,131.5605,0.0401,0.0,0.0325
2012Q4,2012-12-31,139.2462,0.0584,0.0,0.0325
2013Q1,2013-03-31,142.3269,0.0221,0.0,0.018
2013Q2,2013-06-30,148.4779,0.0432,0.0,0.018
2013Q3,2013-09-30,154.9092,0.0433,0.0,0.018
2013Q4,2013-12-31,160.4116,0.0355,0.0,0.018
2014Q1,2014-03-31,174.8468,0.09,0.0,0.0388
2014Q2,2014-06-30,186.3367,0.0657,0.0,0.0388
2014Q3,2014-09-30,206.7594,0.1096,0.0,0.0388
2014Q4,2014-12-31,216.2349,0.0458,0.0,0.0388
2015Q1,2015-03-31,225.2937,0.0419,0.0,0.0172
2015Q2,2015-06-30,229.5195,0.0188,0.0,0.0172
2015Q3,2015-09-30,231.0798,0.0068,0.0,0.0172
2015Q4,2015-12-31,247.5889,0.0714,0.0,0.0172
2016Q1,2016-03-31,264.1828,0.067,0.0,0.0255
2016Q2,2016-06-30,270.0459,0.0222,0.0,0.0255
2016Q3,2016-09-30,277.7206,0.0284,0.0,0.0255
2016Q4,2016-12-31,302.0585,0.0876,0.0,0.0255
2017Q1,2017-03-31,337.5276,0.1174,0.0,0.0504
2017Q2,2017-06-30,364.3408,0.0794,0.0,0.0504
2017Q3,2017-09-30,395.8526,0.0865,0.0,0.0504
2017Q4,2017-12-31,443.4219,0.1202,0.0,0.0504
2018Q1,2018-03-31,434.0721,-0.0211,-0.0211,-0.0205
2018Q2,2018-06-30,405.1448,-0.0666,-0.0863,-0.0205
2018Q3,2018-09-30,394.0252,-0.0274,-0.1114,-0.0205
2018Q4,2018-12-31,375.1349,-0.0479,-0.154,-0.0205
2019Q1,2019-03-31,415.8422,0.1085,-0.0622,0.0555
2019Q2,2019-06-30,445.5804,0.0715,0.0,0.0555
2019Q3,2019-09-30,504.3159,0.1318,0.0,0.0555
2019Q4,2019-12-31,571.3304,0.1329,0.0,0.0555
2020Q1,2020-03-31,640.3272,0.1208,0.0,0.067
2020Q2,2020-06-30,722.3132,0.128,0.0,0.067
2020Q3,2020-09-30,841.8024,0.1654,0.0,0.067
2020Q4,2020-12-31,944.9805,0.1226,0.0,0.067
2021Q1,2021-03-31,932.4124,-0.0133,-0.0133,0.0103
2021Q2,2021-06-30,948.0805,0.0168,0.0,0.0103
2021Q3,2021-09-30,991.1037,0.0454,0.0,0.0103
2021Q4,2021-12-31,1025.3039,0.0345,0.0,0.0103
2022Q1,2022-03-31,935.4178,-0.0877,-0.0877,-0.0397
2022Q2,2022-06-30,852.6837,-0.0884,-0.1684,-0.0397
2022Q3,2022-09-30,797.3121,-0.0649,-0.2224,-0.0397
2022Q4,2022-12-31,736.1682,-0.0767,-0.282,-0.0397
2023Q1,2023-03-31,812.4825,0.1037,-0.2076,0.052
2023Q2,2023-06-30,901.7263,0.1098,-0.1205,0.052
2023Q3,2023-09-30,982.259,0.0893,-0.042,0.052
2023Q4,2023-12-31,1093.9459,0.1137,0.0,0.052
2024Q1,2024-03-31,1126.17,0.0295,0.0,0.0303
2024Q2,2024-06-30,1202.761,0.068,0.0,0.0303
2024Q3,2024-09-30,1285.458,0.0688,0.0,0.0303
2024Q4,2024-12-31,1383.8416,0.0765,0.0,0.0303
2025Q1,2025-03-31,1482.0184,0.0709,0.0,0.0231
2025Q2,2025-06-30,1570.5941,0.0598,0.0,0.0231
2025Q3,2025-09-30,1628.4718,0.0369,0.0,0.0231
2025Q4,2025-12-31,1657.8423,0.018,0.0,0.0231
2026Q1,2026-03-31,1715.3078,0.0347,0.0,0.0134
2026Q2,2026-06-30,1782.6636,0.0393,0.0,0.0134
2026Q3,2026-09-30,1825.1745,0.0238,0.0,0.0134
