date,close,daily_return,cumulative_return,rolling_peak,drawdown
2018-01-02,98.5,-0.01499,-0.015,98.5,0.0
2018-01-03,100.0,0.01521,-0.0,100.0,0.0
2018-01-04,100.48,0.00485,0.0048,100.48,0.0
2018-01-05,98.37,-0.02109,-0.0163,100.48,-0.020999203821656043
2018-01-08,97.61,-0.00764,-0.0239,100.48,-0.02856289808917202
2018-01-09,100.02,0.0247,0.0002,100.48,-0.004578025477707085
2018-01-10,96.58,-0.03444,-0.0342,100.48,-0.03881369426751598
2018-01-11,96.05,-0.00547,-0.0395,100.48,-0.04408837579617841
2018-01-12,97.89,0.01911,-0.0211,100.48,-0.02577627388535035
2018-01-15,96.73,-0.01182,-0.0327,100.48,-0.03732085987261146
2018-01-16,95.85,-0.00909,-0.0415,100.48,-0.04607882165605105
2018-01-17,95.79,-0.00062,-0.0421,100.48,-0.04667595541401271
2018-01-18,97.93,0.02238,-0.0207,100.48,-0.025378184713375766
2018-01-19,97.1,-0.00851,-0.029,100.48,-0.03363853503184723
2018-01-22,96.55,-0.00569,-0.0345,100.48,-0.03911226114649688
2018-01-23,96.01,-0.00555,-0.0399,100.48,-0.04448646496815285
2018-01-24,99.16,0.03274,-0.0084,100.48,-0.013136942675159309
2018-01-25,102.37,0.03246,0.0237,102.37,0.0
2018-01-26,103.94,0.01531,0.0394,103.94,0.0
2018-01-29,104.6,0.00635,0.046,104.6,0.0
2018-01-30,105.8,0.01144,0.058,105.8,0.0
2018-01-31,108.16,0.02237,0.0816,108.16,0.0
2018-02-01,106.78,-0.01282,0.0678,108.16,-0.012758875739644928
2018-02-02,108.68,0.0178,0.0868,108.68,0.0
2018-02-05,106.78,-0.01743,0.0678,108.68,-0.017482517482517532
2018-02-06,105.88,-0.0085,0.0588,108.68,-0.025763709974236392
2018-02-07,107.35,0.0139,0.0735,108.68,-0.012237762237762352
2018-02-08,105.2,-0.01997,0.052,108.68,-0.032020610967979424
2018-02-09,105.07,-0.00128,0.0507,108.68,-0.03321678321678334
2018-02-12,103.84,-0.01175,0.0384,108.68,-0.04453441295546562
2018-02-13,103.53,-0.00296,0.0353,108.68,-0.047386823702613226
2018-02-14,99.41,-0.03983,-0.0059,108.68,-0.0852962826647038
2018-02-15,96.93,-0.02494,-0.0307,108.68,-0.10811556864188443
2018-02-16,96.02,-0.0094,-0.0398,108.68,-0.11648877438351132
2018-02-19,97.38,0.0142,-0.0262,108.68,-0.10397497239602513
2018-02-20,97.21,-0.00177,-0.0279,108.68,-0.10553919764446092
2018-02-21,97.28,0.00079,-0.0272,108.68,-0.10489510489510494
2018-02-22,98.33,0.01073,-0.0167,108.68,-0.09523371365476636
2018-02-23,97.15,-0.012,-0.0285,108.68,-0.10609127714390873
2018-02-26,97.62,0.00486,-0.0238,108.68,-0.10176665439823336
