year,dyp_return_pct,sp500_return_pct,brk_return_pct,notes,dyp_cum_mult,sp500_cum_mult,brk_cum_mult
2001,285.0,-11.9,6.5,2001年底重仓网易(NTES)，股价0.8美元逆向入局,3.85,0.881,1.065
2002,420.0,-22.1,-3.8,网易股价暴涨逾10倍，创造百倍复利神话,20.02,0.686299,1.02453
2003,75.0,28.7,15.8,网易持仓部分兑现，逐步布局Umpqua等稳健标的,35.035,0.883266813,1.1864057399999999
2004,24.5,10.9,4.3,奠定买商业模式与买公司的核心底层哲学,43.618575,0.9795428956169999,1.2374211868199998
2005,21.0,4.9,0.8,稳健价值复合增长,52.77847575,1.0275404975022329,1.2473205563145597
2006,32.5,15.8,24.1,62万美元拍下巴菲特午餐，带黄峥赴宴,69.93148036875,1.1898918961075855,1.5479248103863688
2007,28.0,5.5,28.7,提前储备大量现金与高确定性底仓,89.512294872,1.2553359503935027,1.9921792309672566
2008,-38.5,-37.0,-31.8,次贷危机回撤，零杠杆安度周期，买入GE等,55.050061346279996,0.7908616487479067,1.3586662355196688
2009,48.2,26.5,2.7,危机后周期强劲反弹,81.58419091518695,1.000439985666102,1.3953502238786997
2010,18.5,15.1,21.4,深入研究移动互联生态,96.67726623449654,1.1515064235016834,1.6939551717887413
2011,12.0,2.1,-4.7,2011年1月正式建仓苹果(AAPL)，成本约13.7美元,108.27853818263614,1.1756880583952187,1.6143392787146704
2012,28.6,16.0,16.8,苹果股价大涨；年末白酒塑化剂危机建仓茅台,139.2462001028701,1.3637981477384535,1.8855482775387349
2013,15.2,32.4,32.7,茅台跌至120元继续大举加仓,160.41162251850633,1.8056687476057125,2.502122564293901
2014,34.8,13.7,27.0,苹果发布iPhone 6，茅台迎来基本面底部拐点,216.23486715494653,2.0530453660276953,3.1776956566532544
2015,14.5,1.4,-12.5,穿越A股大幅波动，核心资产极为坚挺,247.5889228924138,2.081788001152083,2.7804836995715974
2016,22.0,12.0,23.4,继续增持苹果，茅台进入主升浪,302.0584859287448,2.331602561290333,3.431116885271351
2017,46.8,21.8,21.9,科技与消费龙头全面爆发，苹果与茅台戴维斯双击,443.42185734339733,2.8398919196516257,4.182531483145777
2018,-15.4,-4.4,2.8,贸易摩擦与市场调整，开始建仓腾讯(0700.HK),375.1348913125141,2.714936675186954,4.299642364673859
2019,52.3,31.5,11.0,苹果全年大涨86%，成立H&H实体向SEC提交13F,571.3304394689591,3.5701417278708445,4.772603024787983
2020,65.4,18.4,2.4,全球流动性释放，苹果市值突破2万亿,944.9805468816583,4.22704780579908,4.887145497382895
2021,8.5,28.7,29.6,腾讯大跌持续越跌越买，卖Put策略接筹码,1025.3038933665991,5.4402105260634155,6.333740564608233
2022,-28.2,-18.1,4.0,科技股调整与中概底，持续加仓腾讯与拼多多,736.1681954372182,4.455532420845937,6.587090187192563
2023,48.6,26.3,15.8,拼多多与苹果双双大涨，组合规模破百亿美元,1093.9459384197062,5.627337447528418,7.627850436768987
2024,26.5,25.0,27.2,H&H持仓规模达165亿美元，减持部分英伟达,1383.8416121009284,7.034171809410522,9.702625755570152
2025,19.8,14.5,16.2,高位均衡配置，增持伯克希尔底仓,1657.842251296912,8.054126721775049,11.274451127972515
2026,11.2,8.2,9.5,截至2026Q2 13F规模达191亿美元，苹果占41%,1843.5205834421663,8.714565112960603,12.345523985129905
