year,magellan_return_pct,sp500_return_pct,outperformance_pct,aum_million_usd,magellan_cum_mult,sp500_cum_mult,growth_of_10k_magellan,growth_of_10k_sp500
1977,20.0,-7.4,27.4,20,1.2,0.9259999999999999,12000.0,9260.0
1978,32.0,6.4,25.6,28,1.584,0.985264,15840.0,9852.64
1979,51.0,18.2,32.8,45,2.39184,1.164582048,23918.4,11645.82
1980,70.0,32.3,37.7,100,4.066128,1.5407420495039998,40661.28,15407.42
1981,16.5,-5.0,21.5,160,4.73703912,1.4637049470287997,47370.39,14637.05
1982,48.0,21.4,26.6,450,7.010817897600001,1.7769378056929628,70108.18,17769.38
1983,38.6,22.4,16.2,1600,9.716993606073602,2.1749718741681865,97169.94,21749.72
1984,2.0,6.1,-4.1,2300,9.911333478195075,2.307645158492446,99113.33,23076.45
1985,43.1,31.6,11.5,4100,14.183118207297154,3.036861028576059,141831.18,30368.61
1986,23.7,18.6,5.1,7000,17.54451722242658,3.6017171798912058,175445.17,36017.17
1987,1.0,5.1,-4.1,8500,17.719962394650846,3.785404756065657,177199.62,37854.05
1988,22.8,16.6,6.2,9200,21.76011382063124,4.4137819455725555,217601.14,44137.82
1989,34.6,31.7,2.9,12800,29.289113202569652,5.812950822319055,292891.13,58129.51
1990,-4.5,-3.1,-1.4,14000,27.971103108454017,5.632749346827165,279711.03,56327.49
