序号,基金经理,代表产品 / 机构,行为风格定位,原始_mgr_total_tenure_v2,原始_log_fund_age,原始_log_aum,原始_risk_asym,原始_de,原始_oc_conf,原始_anchor_high,原始_ICI,原始_ISDI,原始_ARG,原始_timing,原始_mppm8_lag,原始_sortino8_lag,原始_sharpe8_lag,原始_SDI,原始_lsv,辅助_TO_wind_clean,辅助_TO_two_sided,辅助_total_buy,辅助_total_sell,辅助_pgr,辅助_plr,z_mgr_total_tenure_v2,z_log_fund_age,z_log_aum,z_risk_asym,z_de,z_oc_conf,z_anchor_high,z_ICI,z_ISDI,z_ARG,z_timing,z_mppm8_lag,z_sortino8_lag,z_sharpe8_lag,z_SDI,z_lsv,①背景条件得分,②认知质量得分,③配置能力得分,④操作质量得分,⑤风险转化效率得分,⑥交易特征得分,①背景条件分位,②认知质量分位,③配置能力分位,④操作质量分位,⑤风险转化效率分位,⑥交易特征分位,纯行为五维得分,纯行为五维分位,全六维综合得分,全六维综合分位,规模约束压制差,年化收益率,年化波动率,最大回撤,超额Alpha,代表基金,风格分类,历史最大回撤,raw_mgr_total_tenure_v2,score_mgr_total_tenure_v2,raw_log_fund_age,score_log_fund_age,raw_log_aum,score_log_aum,raw_risk_asym,score_risk_asym,raw_de,score_de,raw_oc_conf,score_oc_conf,raw_anchor_high,score_anchor_high,raw_ICI,score_ICI,raw_ISDI,score_ISDI,raw_ARG,score_ARG,raw_timing,score_timing,raw_mppm8_lag,score_mppm8_lag,raw_sortino8_lag,score_sortino8_lag,raw_sharpe8_lag,score_sharpe8_lag,raw_SDI,score_SDI,raw_lsv,score_lsv,aux_TO_wind_clean,aux_TO_two_sided,aux_total_buy,aux_total_sell,aux_pgr,aux_plr
1,韩浩、王森,中航机遇领航混合发起A (018956),全能型：综合能力最高,365.0,0.4055,0.6931,0.125,-0.2609,-12.5,0.952,0.436,0.085,0.436,2.65,0.2311,1.95,0.585,0.0,0.115,244.68,312.5,45.8,42.1,0.68,0.25,0.8237,0.9699,0.7501,1.5218,1.7011,0.4043,2.2857,0.9296,1.2036,2.4185,2.2324,1.8653,2.1595,2.081,1.0158,1.2592,0.8479,1.4782,1.0666,2.3254,2.0353,1.1375,89.8%,100.0%,93.1%,100.0%,100.0%,93.3%,1.6086,97.3%,1.4818,100.0%,-2.7%,65.41%,49.56%,-41.39%,+5.41%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,郑希,易方达信息产业混合C (019018),风险定价型：风险转化效率最高,520.0,0.6931,1.25,0.11,-0.2484,-10.2,0.945,0.485,0.075,0.3076,2.15,0.2274,1.88,0.56,0.0,0.11,353.77,415.2,52.3,48.9,0.65,0.28,0.6377,0.6865,0.2997,1.2373,1.534,0.3057,2.1437,1.241,1.2811,1.273,1.5902,1.8315,2.0708,1.9659,1.0158,0.9975,0.5413,1.3052,1.2611,1.4316,1.9561,1.0067,80.8%,99.9%,95.8%,98.9%,99.9%,90.9%,1.3921,97.1%,1.2503,100.0%,-2.9%,57.80%,37.15%,-34.33%,+3.31%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,严凯,东方惠新灵活配置混合C (002163),认知纪律型：认知质量最高,1150.0,2.1972,0.85,0.145,-0.1264,-18.5,0.968,0.315,0.21,0.2293,-1.3466,-0.0682,0.15,0.085,0.0,0.075,679.83,785.0,68.5,65.2,0.58,0.45,-0.1184,-0.7956,0.6232,1.9011,-0.0975,0.6617,2.6104,0.1607,0.2341,0.5745,-2.901,-0.8684,-0.1212,-0.2208,1.0158,-0.8347,-0.0969,1.2689,0.1974,-1.1632,-0.4035,0.0906,51.2%,99.9%,65.5%,5.1%,34.9%,56.9%,-0.002,52.5%,-0.0178,58.6%,-6.1%,9.93%,40.64%,-77.63%,+3.34%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,童昌希,信澳业绩驱动混合C (016371),攻守转换型：操作质量最高,820.0,1.0986,1.55,0.035,-0.1718,1.2,0.835,0.41,0.115,0.3334,2.5668,-0.1104,-0.05,-0.025,0.0,0.085,286.11,340.0,48.0,46.5,0.48,0.52,0.2777,0.287,0.0571,-0.1852,0.5096,-0.1832,-0.0887,0.7644,0.9709,1.5032,2.1256,-1.2538,-0.3746,-0.7272,1.0158,-0.3112,0.2072,0.0131,0.8676,1.8144,-0.7852,0.3523,66.6%,61.6%,89.2%,99.8%,16.7%,69.4%,0.4525,67.3%,0.4116,89.8%,-22.5%,29.29%,44.37%,-58.07%,-0.27%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Yi Xie、周建胜,诺德兴新趋势混合A (016772),基本面优势型：背景条件最高,210.0,0.25,0.15,-0.015,0.0218,15.8,0.72,0.38,0.165,0.2339,2.3851,-0.0854,0.08,0.04,0.0,0.078,244.62,290.0,42.0,41.5,0.42,0.6,1.0097,1.1232,1.1893,-1.1335,-2.0794,-0.8093,-2.4226,0.5737,0.5831,0.6156,1.8922,-1.0255,-0.2099,-0.428,1.0158,-0.6776,1.1074,-1.6112,0.5784,1.2539,-0.5544,0.1691,94.7%,0.0%,80.9%,97.9%,26.9%,60.8%,-0.0328,53.3%,0.1572,74.1%,-20.8%,16.26%,35.44%,-40.39%,-0.83%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,杨明,华安策略优选混合A (040008),反例：综合能力最低,3250.0,2.8904,3.85,0.065,-0.2365,-5.2,0.885,0.165,0.385,0.0608,0.3091,-0.0251,0.18,0.11,0.3207,0.072,217.04,260.0,35.0,34.0,0.45,0.48,-2.6385,-1.4787,-1.803,0.3838,1.3748,0.0913,0.926,-0.7925,-1.1231,-0.9286,-0.7743,-0.4747,-0.0832,-0.1057,-0.3782,-0.9917,-1.9734,0.694,-0.9578,-0.8515,-0.2212,-0.685,0.7%,96.8%,14.8%,12.2%,45.5%,20.9%,-0.4043,38.1%,-0.6658,8.4%,+29.6%,5.01%,22.17%,-60.73%,-0.36%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,张坤,易方达蓝筹精选 (005827),深度价值 · 蓝筹集中型,4380.0,2.0794,5.7772,0.082,-0.045,-0.85,0.885,0.582,0.125,0.035,0.42,0.085,0.45,0.28,0.115,0.085,45.2,52.0,12.5,11.8,0.72,0.18,-3.9946,-0.6795,-3.3615,0.7062,-1.1861,-0.0953,0.926,1.8574,0.8934,-1.1588,-0.6319,0.5309,0.2589,0.6769,0.5159,-0.3112,-2.6786,0.0877,1.3754,-0.8953,0.4889,0.1024,0.0%,67.9%,96.9%,10.9%,83.2%,57.5%,0.2318,63.3%,-0.2533,35.9%,+27.4%,9.80%,24.50%,-57.90%,+2.15%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,朱少醒,富国天惠成长混合A (161005),长期均衡 · 自下而上选股型,7580.0,2.9957,5.2774,0.065,-0.11,-1.25,0.842,0.385,0.18,0.21,1.15,0.115,0.52,0.315,0.21,0.092,120.5,145.0,28.5,27.2,0.62,0.35,-7.8348,-1.5825,-2.9573,0.3838,-0.3169,-0.0781,0.0533,0.6055,0.4668,0.4024,0.3058,0.8049,0.3476,0.838,0.103,0.0552,-4.1249,0.0106,0.5362,0.3541,0.6635,0.0791,0.0%,61.4%,79.4%,74.7%,89.0%,56.3%,0.3287,72.2%,-0.4136,22.5%,+49.7%,15.60%,26.80%,-58.91%,+2.85%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,葛兰,中欧医疗健康混合A (003095),赛道深耕 · 高信念高波动型,4015.0,2.3026,5.7498,0.025,-0.198,4.8,0.81,0.625,0.145,0.085,0.25,0.045,0.21,0.145,0.165,0.088,185.0,210.0,38.0,36.5,0.51,0.49,-3.5566,-0.8995,-3.3394,-0.3748,0.86,-0.3376,-0.5961,2.1306,0.7382,-0.7127,-0.8502,0.1656,-0.0452,0.0554,0.2986,-0.1542,-2.5985,-0.1121,1.4344,-0.7815,0.0586,0.0722,0.1%,50.3%,97.4%,14.5%,62.2%,56.0%,0.1343,56.1%,-0.3211,29.8%,+26.3%,12.81%,31.20%,-58.85%,+0.45%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,蔡嵩松,诺安成长混合 (320007),极致集中 · 科技成长轮动型,1650.0,2.7081,4.85,0.032,-0.0771,0.85,0.825,0.68,0.135,0.0361,0.6562,-0.0487,0.195,0.125,0.493,0.091,54.37,68.0,15.0,14.2,0.55,0.38,-0.7184,-1.2991,-2.6117,-0.2421,-0.7568,-0.1682,-0.2917,2.4802,0.8158,-1.149,-0.3285,-0.6903,-0.0642,-0.0367,-1.1272,0.0029,-1.543,-0.3647,1.648,-0.7387,-0.2637,-0.5622,3.1%,28.4%,98.6%,16.0%,43.0%,25.7%,-0.0563,42.4%,-0.3041,31.3%,+11.1%,11.20%,36.80%,-54.50%,+1.12%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
