year,berkshire_return_pct,sp500_return_pct,outperformance_pct,berkshire_cum_multiplier,sp500_cum_multiplier,berkshire_growth_of_10k_usd,sp500_growth_of_10k_usd
1965,49.5,10.0,39.5,1.495,1.1,14950.0,11000.0
1966,-3.4,-11.7,8.3,1.44417,0.9713,14441.7,9713.0
1967,13.3,30.9,-17.6,1.6362446099999999,1.2714317,16362.45,12714.32
1968,77.8,11.0,66.8,2.90924291658,1.4112891870000002,29092.43,14112.89
1969,19.4,-8.4,27.8,3.4736360423965196,1.2927408952920003,34736.36,12927.41
1970,-4.6,3.9,-8.5,3.3138487844462796,1.3431577902083882,33138.49,13431.58
1971,80.5,14.6,65.9,5.981497055925535,1.5392588275788128,59814.97,15392.59
1972,8.1,18.9,-10.8,6.465998317455504,1.8301787459912084,64659.98,18301.79
1973,-2.5,-14.8,12.3,6.304348359519116,1.5593122915845095,63043.48,15593.12
1974,-48.7,-26.4,-22.3,3.2341307084333057,1.147653846606199,32341.31,11476.54
1975,2.5,37.2,-34.7,3.314983976144138,1.574581077543705,33149.84,15745.81
1976,129.3,23.6,105.7,7.601258257298509,1.9461822118440193,76012.58,19461.82
1977,46.8,-7.4,54.2,11.15864712171421,1.8021647281675617,111586.47,18021.65
1978,14.5,6.4,8.1,12.776650954362772,1.9175032707702857,127766.51,19175.03
1979,102.5,18.2,84.3,25.872718182584613,2.2664888660504774,258727.18,22664.89
1980,32.8,32.3,0.5,34.35896974647236,2.9985647697847817,343589.7,29985.65
1981,31.8,-5.0,36.8,45.28512212585058,2.8486365312955426,452851.22,28486.37
1982,38.4,21.4,17.0,62.674609022177194,3.4582447489927888,626746.09,34582.45
1983,69.0,22.4,46.6,105.92008924747945,4.232891572767174,1059200.89,42328.92
1984,-2.7,6.1,-8.8,103.06024683779751,4.491097958705971,1030602.47,44910.98
1985,93.7,31.6,62.1,199.62769812481378,5.910284913657058,1996276.98,59102.85
1986,14.2,18.6,-4.4,227.9748312585373,7.0095979075972705,2279748.31,70095.98
1987,4.6,5.1,-0.5,238.46167349643002,7.3670874008847305,2384616.73,73670.87
1988,59.3,16.6,42.7,379.86944587981304,8.590023909431595,3798694.46,85900.24
1989,84.6,31.7,52.9,701.2389970941349,11.313061488721411,7012389.97,113130.61
1990,-23.1,-3.1,-20.0,539.2527887653897,10.962356582571047,5392527.89,109623.57
1991,35.6,30.5,5.1,731.2267815658685,14.305875340255216,7312267.82,143058.75
1992,29.8,7.6,22.2,949.1323624724973,15.393121866114614,9491323.62,153931.22
1993,38.9,10.1,28.8,1318.3448514742988,16.947827174592188,13183448.51,169478.27
1994,25.0,1.3,23.7,1647.9310643428735,17.168148927861886,16479310.64,171681.49
1995,57.4,37.6,19.8,2593.8434952756825,23.623372924737954,25938434.95,236233.73
1996,6.2,23.0,-16.8,2754.661791982775,29.056748697427683,27546617.92,290567.49
1997,34.9,33.4,1.5,3716.0387573847634,38.76170276236853,37160387.57,387617.03
1998,52.2,28.6,23.6,5655.8109887396095,49.84754975240593,56558109.89,498475.5
1999,-19.9,21.0,-40.9,4530.304601980428,60.315535200411176,45303046.02,603155.35
2000,26.6,-9.1,35.7,5735.365626107222,54.82682149717376,57353656.26,548268.21
2001,6.5,-11.9,18.4,6108.164391804191,48.30242973901009,61081643.92,483024.3
2002,-3.8,-22.1,18.3,5876.054144915632,37.627592766688856,58760541.45,376275.93
2003,15.8,28.7,-12.9,6804.470699812301,48.426711890728555,68044707.0,484267.12
2004,4.3,10.9,-6.6,7097.062939904229,53.705223486817964,70970629.4,537052.23
2005,0.8,4.9,-4.1,7153.839443423463,56.33677943767204,71538394.43,563367.79
2006,24.1,15.8,8.3,8877.914749288519,65.23799058882422,88779147.49,652379.91
2007,28.7,5.5,23.2,11425.876282334322,68.82608007120955,114258762.82,688260.8
2008,-31.8,-37.0,5.2,7792.447624552007,43.36043044486201,77924476.25,433604.3
2009,2.7,26.5,-23.8,8002.843710414911,54.85094451275045,80028437.1,548509.45
2010,21.4,15.1,6.3,9715.452264443702,63.13343713417577,97154522.64,631334.37
2011,-4.7,2.1,-6.8,9258.826008014848,64.45923931399345,92588260.08,644592.39
2012,16.8,16.0,0.8,10814.308777361342,74.7727176042324,108143087.77,747727.18
2013,32.7,32.4,0.3,14350.5877475585,98.9990781080037,143505877.48,989990.78
2014,27.0,13.7,13.3,18225.246439399296,112.5619518088002,182252464.39,1125619.52
2015,-12.5,1.4,-13.9,15947.090634474383,114.1378191341234,159470906.34,1141378.19
2016,23.4,12.0,11.4,19678.70984294139,127.83435743021822,196787098.43,1278343.57
2017,21.9,21.8,0.1,23988.347298545552,155.7022473500058,239883472.99,1557022.47
2018,2.8,-4.4,7.2,24660.021022904828,148.85134846660554,246600210.23,1488513.48
2019,11.0,31.5,-20.5,27372.623335424363,195.73952323358628,273726233.35,1957395.23
2020,2.4,18.4,-16.0,28029.56629547455,231.75559550856616,280295662.95,2317555.96
2021,29.6,28.7,0.9,36326.31791893502,298.2694514195246,363263179.19,2982694.51
2022,4.0,-18.1,22.1,37779.37063569242,244.28268071259063,377793706.36,2442826.81
2023,15.8,26.3,-10.5,43748.511196131825,308.52902574000194,437485111.96,3085290.26
2024,25.5,25.0,0.5,54904.38155114544,385.66128217500244,549043815.51,3856612.82
