fund_code,year,report_period,turnover_rate,source
100022.OF,2017,2017,644.9,mx-ds-mcp
100039.OF,2017,2017,121.0,mx-ds-mcp
100060.OF,2017,2017,667.2,mx-ds-mcp
110002.OF,2017,2017,333.2,mx-ds-mcp
110005.OF,2017,2017,204.5,mx-ds-mcp
110009.OF,2017,2017,236.5,mx-ds-mcp
110013.OF,2017,2017,426.3,mx-ds-mcp
110015.OF,2017,2017,72.12,mx-ds-mcp
110025.OF,2017,2017,548.7,mx-ds-mcp
110029.OF,2017,2017,92.5,mx-ds-mcp
121003.OF,2017,2017,844.1,mx-ds-mcp
570008.OF,2017,2017,237.9,mx-ds-mcp
580001.OF,2017,2017,551.5,mx-ds-mcp
580002.OF,2017,2017,251.5,mx-ds-mcp
580006.OF,2017,2017,845.7,mx-ds-mcp
610006.OF,2017,2017,1211.0,mx-ds-mcp
630001.OF,2017,2017,182.8,mx-ds-mcp
630002.OF,2017,2017,152.8,mx-ds-mcp
630010.OF,2017,2017,246.2,mx-ds-mcp
630011.OF,2017,2017,37.11,mx-ds-mcp
660005.OF,2017,2017,503.8,mx-ds-mcp
660015.OF,2017,2017,589.1,mx-ds-mcp
150968.OF,2017,2017,223.6,mx-ds-mcp
151001.OF,2017,2017,535.2,mx-ds-mcp
160605.OF,2017,2017,214.7,mx-ds-mcp
161606.OF,2017,2017,227.1,mx-ds-mcp
161810.OF,2017,2017,188.6,mx-ds-mcp
161903.OF,2017,2017,101.7,mx-ds-mcp
162006.OF,2017,2017,378.1,mx-ds-mcp
162201.OF,2017,2017,280.1,mx-ds-mcp
162204.OF,2017,2017,223.0,mx-ds-mcp
162209.OF,2017,2017,682.2,mx-ds-mcp
162214.OF,2017,2017,111.8,mx-ds-mcp
162703.OF,2017,2017,158.7,mx-ds-mcp
163402.OF,2017,2017,106.9,mx-ds-mcp
163406.OF,2017,2017,113.7,mx-ds-mcp
163411.OF,2017,2017,382.0,mx-ds-mcp
163412.OF,2017,2017,107.1,mx-ds-mcp
166001.OF,2017,2017,89.93,mx-ds-mcp
166005.OF,2017,2017,83.82,mx-ds-mcp
180031.OF,2017,2017,606.6,mx-ds-mcp
200012.OF,2017,2017,532.8,mx-ds-mcp
202001.OF,2017,2017,174.1,mx-ds-mcp
202002.OF,2017,2017,317.4,mx-ds-mcp
202027.OF,2017,2017,171.9,mx-ds-mcp
206009.OF,2017,2017,134.9,mx-ds-mcp
210004.OF,2017,2017,54.02,mx-ds-mcp
210008.OF,2017,2017,479.7,mx-ds-mcp
213003.OF,2017,2017,289.9,mx-ds-mcp
213008.OF,2017,2017,239.1,mx-ds-mcp
240005.OF,2017,2017,169.4,mx-ds-mcp
240011.OF,2017,2017,997.2,mx-ds-mcp
240017.OF,2017,2017,1159.0,mx-ds-mcp
240022.OF,2017,2017,108.1,mx-ds-mcp
257020.OF,2017,2017,142.8,mx-ds-mcp
257030.OF,2017,2017,87.18,mx-ds-mcp
257070.OF,2017,2017,183.5,mx-ds-mcp
260112.OF,2017,2017,177.1,mx-ds-mcp
260117.OF,2017,2017,321.0,mx-ds-mcp
270028.OF,2017,2017,213.4,mx-ds-mcp
290014.OF,2017,2017,286.1,mx-ds-mcp
310358.OF,2017,2017,241.1,mx-ds-mcp
290008.OF,2017,2017,1571.0,mx-ds-mcp
320005.OF,2017,2017,347.0,mx-ds-mcp
320007.OF,2017,2017,513.8,mx-ds-mcp
340007.OF,2017,2017,87.12,mx-ds-mcp
360016.OF,2017,2017,349.6,mx-ds-mcp
370024.OF,2017,2017,192.7,mx-ds-mcp
370027.OF,2017,2017,135.5,mx-ds-mcp
375010.OF,2017,2017,257.3,mx-ds-mcp
377010.OF,2017,2017,22.27,mx-ds-mcp
377240.OF,2017,2017,169.1,mx-ds-mcp
378010.OF,2017,2017,195.2,mx-ds-mcp
379010.OF,2017,2017,377.9,mx-ds-mcp
400001.OF,2017,2017,112.4,mx-ds-mcp
460007.OF,2017,2017,141.7,mx-ds-mcp
470009.OF,2017,2017,148.2,mx-ds-mcp
470028.OF,2017,2017,187.7,mx-ds-mcp
470098.OF,2017,2017,109.2,mx-ds-mcp
481001.OF,2017,2017,76.74,mx-ds-mcp
481008.OF,2017,2017,60.08,mx-ds-mcp
481010.OF,2017,2017,16.18,mx-ds-mcp
481015.OF,2017,2017,156.4,mx-ds-mcp
519005.OF,2017,2017,355.7,mx-ds-mcp
519013.OF,2017,2017,122.4,mx-ds-mcp
519018.OF,2017,2017,245.5,mx-ds-mcp
519026.OF,2017,2017,47.85,mx-ds-mcp
519089.OF,2017,2017,646.2,mx-ds-mcp
519110.OF,2017,2017,64.2,mx-ds-mcp
519158.OF,2017,2017,127.0,mx-ds-mcp
519181.OF,2017,2017,106.1,mx-ds-mcp
519185.OF,2017,2017,311.9,mx-ds-mcp
519670.OF,2017,2017,158.4,mx-ds-mcp
519672.OF,2017,2017,152.5,mx-ds-mcp
519674.OF,2017,2017,158.0,mx-ds-mcp
519679.OF,2017,2017,194.5,mx-ds-mcp
519688.OF,2017,2017,168.7,mx-ds-mcp
519698.OF,2017,2017,59.04,mx-ds-mcp
519704.OF,2017,2017,214.7,mx-ds-mcp
530019.OF,2017,2017,306.2,mx-ds-mcp
570001.OF,2017,2017,41.34,mx-ds-mcp
