fund_code,year,report_period,turnover_rate,source
162201,2015,2015,1220,mx-ds-mcp
162204,2015,2015,1115,mx-ds-mcp
110025,2015,2015,390.3,mx-ds-mcp
110009,2015,2015,604.4,mx-ds-mcp
110029,2015,2015,195,mx-ds-mcp
161903,2015,2015,666.9,mx-ds-mcp
163406,2015,2015,501.1,mx-ds-mcp
166005,2015,2015,217.5,mx-ds-mcp
110015,2015,2015,498.6,mx-ds-mcp
100060,2015,2015,699.1,mx-ds-mcp
160605,2015,2015,563.4,mx-ds-mcp
162209,2015,2015,1229,mx-ds-mcp
110013,2015,2015,831.9,mx-ds-mcp
166001,2015,2015,371.7,mx-ds-mcp
161810,2015,2015,504,mx-ds-mcp
180031,2015,2015,861.2,mx-ds-mcp
110002,2015,2015,365.5,mx-ds-mcp
100039,2015,2015,507.4,mx-ds-mcp
163411,2015,2015,406.6,mx-ds-mcp
100022,2015,2015,722.8,mx-ds-mcp
202002,2015,2015,713.4,mx-ds-mcp
151001,2015,2015,685.6,mx-ds-mcp
162214,2015,2015,1421,mx-ds-mcp
162703,2015,2015,649.6,mx-ds-mcp
202001,2015,2015,726.8,mx-ds-mcp
110005,2015,2015,631.3,mx-ds-mcp
200012,2015,2015,1291,mx-ds-mcp
121003,2015,2015,361.2,mx-ds-mcp
161606,2015,2015,530,mx-ds-mcp
162006,2015,2015,571.2,mx-ds-mcp
163402,2015,2015,533.9,mx-ds-mcp
163412,2015,2015,524.1,mx-ds-mcp
310358,2015,2015,441.1,mx-ds-mcp
260112,2015,2015,397.6,mx-ds-mcp
240005,2015,2015,470.8,mx-ds-mcp
377240,2015,2015,705.3,mx-ds-mcp
240022,2015,2015,450.2,mx-ds-mcp
213003,2015,2015,212.6,mx-ds-mcp
460007,2015,2015,984.6,mx-ds-mcp
400001,2015,2015,524.6,mx-ds-mcp
213008,2015,2015,251.9,mx-ds-mcp
379010,2015,2015,696.5,mx-ds-mcp
240011,2015,2015,1136,mx-ds-mcp
378010,2015,2015,1061,mx-ds-mcp
206009,2015,2015,456.1,mx-ds-mcp
290008,2015,2015,949,mx-ds-mcp
260117,2015,2015,574.4,mx-ds-mcp
370024,2015,2015,539.5,mx-ds-mcp
270028,2015,2015,925.8,mx-ds-mcp
290014,2015,2015,1108,mx-ds-mcp
370027,2015,2015,644.8,mx-ds-mcp
257030,2015,2015,477.6,mx-ds-mcp
257020,2015,2015,399.5,mx-ds-mcp
340007,2015,2015,264.8,mx-ds-mcp
240017,2015,2015,767.2,mx-ds-mcp
202027,2015,2015,885.8,mx-ds-mcp
320007,2015,2015,388.2,mx-ds-mcp
377010,2015,2015,608.3,mx-ds-mcp
210004,2015,2015,565.3,mx-ds-mcp
375010,2015,2015,826.5,mx-ds-mcp
360016,2015,2015,1524,mx-ds-mcp
257070,2015,2015,288.3,mx-ds-mcp
470009,2015,2015,223,mx-ds-mcp
320005,2015,2015,377.3,mx-ds-mcp
210008,2015,2015,1513,mx-ds-mcp
519679,2015,2015,629.4,mx-ds-mcp
519158,2015,2015,309.6,mx-ds-mcp
530019,2015,2015,1015,mx-ds-mcp
519704,2015,2015,644.1,mx-ds-mcp
519688,2015,2015,530.5,mx-ds-mcp
519018,2015,2015,251.7,mx-ds-mcp
519005,2015,2015,1130,mx-ds-mcp
519670,2015,2015,429,mx-ds-mcp
519698,2015,2015,359.7,mx-ds-mcp
570001,2015,2015,655.3,mx-ds-mcp
519013,2015,2015,1094,mx-ds-mcp
519110,2015,2015,265,mx-ds-mcp
519089,2015,2015,1258,mx-ds-mcp
481015,2015,2015,466.5,mx-ds-mcp
481001,2015,2015,301.3,mx-ds-mcp
570008,2015,2015,1268,mx-ds-mcp
470028,2015,2015,509.6,mx-ds-mcp
519185,2015,2015,754.4,mx-ds-mcp
481010,2015,2015,91.73,mx-ds-mcp
519026,2015,2015,1798,mx-ds-mcp
519674,2015,2015,736.3,mx-ds-mcp
470098,2015,2015,400,mx-ds-mcp
481008,2015,2015,420.5,mx-ds-mcp
519181,2015,2015,760.6,mx-ds-mcp
519672,2015,2015,778.6,mx-ds-mcp
580006,2015,2015,1646,mx-ds-mcp
580002,2015,2015,592,mx-ds-mcp
580001,2015,2015,1128,mx-ds-mcp
610006,2015,2015,507.4,mx-ds-mcp
630001,2015,2015,228.5,mx-ds-mcp
630002,2015,2015,136.9,mx-ds-mcp
630010,2015,2015,90.69,mx-ds-mcp
630011,2015,2015,84.22,mx-ds-mcp
660005,2015,2015,420,mx-ds-mcp
660015,2015,2015,893.3,mx-ds-mcp
162201,2016,2016,382.2,mx-ds-mcp
162204,2016,2016,409.1,mx-ds-mcp
110025,2016,2016,228.7,mx-ds-mcp
110009,2016,2016,381.8,mx-ds-mcp
110029,2016,2016,38.68,mx-ds-mcp
161903,2016,2016,223.2,mx-ds-mcp
163406,2016,2016,144.6,mx-ds-mcp
166005,2016,2016,68.06,mx-ds-mcp
110015,2016,2016,290.8,mx-ds-mcp
100060,2016,2016,496.9,mx-ds-mcp
160605,2016,2016,200.1,mx-ds-mcp
162209,2016,2016,1058,mx-ds-mcp
110013,2016,2016,313,mx-ds-mcp
166001,2016,2016,75.51,mx-ds-mcp
161810,2016,2016,94.93,mx-ds-mcp
180031,2016,2016,464.6,mx-ds-mcp
110002,2016,2016,474.1,mx-ds-mcp
100039,2016,2016,214.2,mx-ds-mcp
163411,2016,2016,1088,mx-ds-mcp
100022,2016,2016,480.7,mx-ds-mcp
202002,2016,2016,204.4,mx-ds-mcp
151001,2016,2016,258.1,mx-ds-mcp
162214,2016,2016,507.4,mx-ds-mcp
162703,2016,2016,200.2,mx-ds-mcp
202001,2016,2016,192.4,mx-ds-mcp
110005,2016,2016,267.4,mx-ds-mcp
200012,2016,2016,791.3,mx-ds-mcp
121003,2016,2016,457.8,mx-ds-mcp
161606,2016,2016,211.4,mx-ds-mcp
162006,2016,2016,299.6,mx-ds-mcp
163402,2016,2016,160.4,mx-ds-mcp
163412,2016,2016,151,mx-ds-mcp
310358,2016,2016,597.5,mx-ds-mcp
260112,2016,2016,210.2,mx-ds-mcp
240005,2016,2016,302.4,mx-ds-mcp
377240,2016,2016,651.3,mx-ds-mcp
240022,2016,2016,273.7,mx-ds-mcp
213003,2016,2016,151.9,mx-ds-mcp
460007,2016,2016,551.2,mx-ds-mcp
400001,2016,2016,199.8,mx-ds-mcp
213008,2016,2016,153.2,mx-ds-mcp
379010,2016,2016,707.3,mx-ds-mcp
240011,2016,2016,623.6,mx-ds-mcp
378010,2016,2016,1148,mx-ds-mcp
206009,2016,2016,477,mx-ds-mcp
290008,2016,2016,1407,mx-ds-mcp
260117,2016,2016,500.3,mx-ds-mcp
370024,2016,2016,616.6,mx-ds-mcp
270028,2016,2016,273.9,mx-ds-mcp
290014,2016,2016,588.8,mx-ds-mcp
370027,2016,2016,753,mx-ds-mcp
257030,2016,2016,172.7,mx-ds-mcp
257020,2016,2016,269.6,mx-ds-mcp
340007,2016,2016,157.8,mx-ds-mcp
240017,2016,2016,699.2,mx-ds-mcp
202027,2016,2016,187.3,mx-ds-mcp
