stock_code,stock_name,weight,index_code
000009,中国宝安,0.002,000905
000021,深科技,0.002,000905
000027,深圳能源,0.002,000905
000032,深桑达A,0.002,000905
000034,神州数码,0.002,000905
000039,中集集团,0.002,000905
000050,深天马A,0.002,000905
000060,中金岭南,0.002,000905
000062,深圳华强,0.002,000905
000088,盐田港,0.002,000905
000155,川能动力,0.002,000905
000400,许继电气,0.002,000905
000415,渤海租赁,0.002,000905
000423,东阿阿胶,0.002,000905
000429,粤高速A,0.002,000905
000513,丽珠集团,0.002,000905
000519,中兵红箭,0.002,000905
000528,柳工,0.002,000905
000537,绿发电力,0.002,000905
000539,粤电力A,0.002,000905
000559,万向钱潮,0.002,000905
000582,北部湾港,0.002,000905
000591,太阳能,0.002,000905
000598,兴蓉环境,0.002,000905
000623,吉林敖东,0.002,000905
000629,钒钛股份,0.002,000905
000661,长春高新,0.002,000905
000683,博源化工,0.002,000905
000703,恒逸石化,0.002,000905
000709,河钢股份,0.002,000905
000723,美锦能源,0.002,000905
000728,国元证券,0.002,000905
000729,燕京啤酒,0.002,000905
000733,振华科技,0.002,000905
000737,北方铜业,0.002,000905
000738,航发控制,0.002,000905
000739,普洛药业,0.002,000905
000750,国海证券,0.002,000905
000783,长江证券,0.002,000905
000785,居然智家,0.002,000905
000786,北新建材,0.002,000905
000800,一汽解放,0.002,000905
000825,太钢不锈,0.002,000905
000830,鲁西化工,0.002,000905
000831,中国稀土,0.002,000905
000878,云南铜业,0.002,000905
000883,湖北能源,0.002,000905
000887,中鼎股份,0.002,000905
000893,亚钾国际,0.002,000905
000898,鞍钢股份,0.002,000905
000921,海信家电,0.002,000905
000932,华菱钢铁,0.002,000905
000937,冀中能源,0.002,000905
000951,中国重汽,0.002,000905
000959,首钢股份,0.002,000905
000960,锡业股份,0.002,000905
000967,盈峰环境,0.002,000905
000983,山西焦煤,0.002,000905
000987,越秀资本,0.002,000905
000997,新 大 陆,0.002,000905
001203,大中矿业,0.002,000905
001221,悍高集团,0.002,000905
001286,陕西能源,0.002,000905
001309,德明利,0.002,000905
001386,马可波罗,0.002,000905
001389,广合科技,0.002,000905
001696,宗申动力,0.002,000905
002007,华兰生物,0.002,000905
002008,大族激光,0.002,000905
002025,航天电器,0.002,000905
002032,苏泊尔,0.002,000905
002044,美年健康,0.002,000905
002056,横店东磁,0.002,000905
002064,华峰化学,0.002,000905
002065,东华软件,0.002,000905
002078,太阳纸业,0.002,000905
002085,万丰奥威,0.002,000905
002120,韵达股份,0.002,000905
002126,银轮股份,0.002,000905
002130,沃尔核材,0.002,000905
002131,利欧股份,0.002,000905
002138,顺络电子,0.002,000905
002152,广电运通,0.002,000905
002153,石基信息,0.002,000905
002155,湖南黄金,0.002,000905
002157,正邦科技,0.002,000905
002185,华天科技,0.002,000905
002195,岩山科技,0.002,000905
002203,海亮股份,0.002,000905
002223,鱼跃医疗,0.002,000905
002244,滨江集团,0.002,000905
002252,上海莱士,0.002,000905
002261,拓维信息,0.002,000905
002262,恩华药业,0.002,000905
002265,建设工业,0.002,000905
002266,浙富控股,0.002,000905
002271,东方雨虹,0.002,000905
002273,水晶光电,0.002,000905
002281,光迅科技,0.002,000905
002299,圣农发展,0.002,000905
002312,川发龙蟒,0.002,000905
002318,久立特材,0.002,000905
002335,科华数据,0.002,000905
002340,格林美,0.002,000905
002402,和而泰,0.002,000905
002407,多氟多,0.002,000905
002409,雅克科技,0.002,000905
002410,广联达,0.002,000905
002414,高德红外,0.002,000905
002423,中粮资本,0.002,000905
002429,兆驰股份,0.002,000905
002430,杭氧股份,0.002,000905
002432,九安医疗,0.002,000905
002436,兴森科技,0.002,000905
002444,巨星科技,0.002,000905
002461,珠江啤酒,0.002,000905
002465,海格通信,0.002,000905
002472,双环传动,0.002,000905
002487,大金重工,0.002,000905
002500,山西证券,0.002,000905
002508,老板电器,0.002,000905
002517,恺英网络,0.002,000905
002568,百润股份,0.002,000905
002583,海能达,0.002,000905
002601,龙佰集团,0.002,000905
002603,以岭药业,0.002,000905
002608,江苏国信,0.002,000905
002624,完美世界,0.002,000905
002670,国盛证券,0.002,000905
002673,西部证券,0.002,000905
002683,广东宏大,0.002,000905
002738,中矿资源,0.002,000905
002739,儒意电影,0.002,000905
002756,永兴材料,0.002,000905
002773,康弘药业,0.002,000905
002797,第一创业,0.002,000905
002812,恩捷股份,0.002,000905
002821,凯莱英,0.002,000905
002831,裕同科技,0.002,000905
002841,视源股份,0.002,000905
002850,科达利,0.002,000905
002851,麦格米特,0.002,000905
002926,华西证券,0.002,000905
002939,长城证券,0.002,000905
002945,华林证券,0.002,000905
002966,苏州银行,0.002,000905
002984,森麒麟,0.002,000905
003021,兆威机电,0.002,000905
003022,联泓新科,0.002,000905
003031,中瓷电子,0.002,000905
003035,南网能源,0.002,000905
300001,特锐德,0.002,000905
300002,神州泰岳,0.002,000905
300003,乐普医疗,0.002,000905
300012,华测检测,0.002,000905
300017,网宿科技,0.002,000905
300024,机器人,0.002,000905
300037,新宙邦,0.002,000905
300054,鼎龙股份,0.002,000905
300058,蓝色光标,0.002,000905
300073,当升科技,0.002,000905
300100,双林股份,0.002,000905
300115,长盈精密,0.002,000905
300136,信维通信,0.002,000905
300140,节能环境,0.002,000905
300142,沃森生物,0.002,000905
300144,宋城演艺,0.002,000905
300146,汤臣倍健,0.002,000905
300207,欣旺达,0.002,000905
300223,北京君正,0.002,000905
300285,国瓷材料,0.002,000905
300339,润和软件,0.002,000905
300346,南大光电,0.002,000905
300373,扬杰科技,0.002,000905
300383,光环新网,0.002,000905
300390,天华新能,0.002,000905
300395,菲利华,0.002,000905
300432,富临精工,0.002,000905
300454,深信服,0.002,000905
300458,全志科技,0.002,000905
300474,景嘉微,0.002,000905
300475,香农芯创,0.002,000905
300487,蓝晓科技,0.002,000905
300496,中科创达,0.002,000905
300548,长芯博创,0.002,000905
300558,贝达药业,0.002,000905
300567,精测电子,0.002,000905
300570,太辰光,0.002,000905
300604,长川科技,0.002,000905
300620,光库科技,0.002,000905
300623,捷捷微电,0.002,000905
300627,华测导航,0.002,000905
300666,江丰电子,0.002,000905
300676,华大基因,0.002,000905
300677,英科医疗,0.002,000905
300679,电连技术,0.002,000905
300699,光威复材,0.002,000905
300718,长盛轴承,0.002,000905
300724,捷佳伟创,0.002,000905
300735,光弘科技,0.002,000905
300748,金力永磁,0.002,000905
300751,迈为股份,0.002,000905
300757,罗博特科,0.002,000905
300759,康龙化成,0.002,000905
300763,锦浪科技,0.002,000905
300857,协创数据,0.002,000905
300888,稳健医疗,0.002,000905
300919,中伟新材,0.002,000905
300953,震裕科技,0.002,000905
300957,贝泰妮,0.002,000905
300972,万辰集团,0.002,000905
301200,大族数控,0.002,000905
301301,川宁生物,0.002,000905
301358,湖南裕能,0.002,000905
301377,鼎泰高科,0.002,000905
301498,乖宝宠物,0.002,000905
301526,国际复材,0.002,000905
301536,星宸科技,0.002,000905
301606,绿联科技,0.002,000905
301611,珂玛科技,0.002,000905
600004,白云机场,0.002,000905
600008,首创环保,0.002,000905
600021,上海电力,0.002,000905
600032,浙江新能,0.002,000905
600038,中直股份,0.002,000905
600060,海信视像,0.002,000905
600062,华润双鹤,0.002,000905
600095,湘财股份,0.002,000905
600098,广州发展,0.002,000905
600100,同方股份,0.002,000905
600105,永鼎股份,0.002,000905
600109,国金证券,0.002,000905
600126,杭钢股份,0.002,000905
600131,国网信通,0.002,000905
600132,重庆啤酒,0.002,000905
600141,兴发集团,0.002,000905
600143,金发科技,0.002,000905
600153,建发股份,0.002,000905
600157,永泰能源,0.002,000905
600161,天坛生物,0.002,000905
600166,福田汽车,0.002,000905
600170,上海建工,0.002,000905
600171,上海贝岭,0.002,000905
600177,雅戈尔,0.002,000905
600208,衢州发展,0.002,000905
600256,广汇能源,0.002,000905
600282,南钢股份,0.002,000905
600292,电投水电,0.002,000905
600295,鄂尔多斯,0.002,000905
600298,安琪酵母,0.002,000905
600299,安迪苏,0.002,000905
600312,平高电气,0.002,000905
600316,洪都航空,0.002,000905
600329,达仁堂,0.002,000905
600332,白云山,0.002,000905
600339,中油工程,0.002,000905
600348,华阳股份,0.002,000905
600350,山东高速,0.002,000905
600352,浙江龙盛,0.002,000905
600363,联创光电,0.002,000905
600369,西南证券,0.002,000905
600377,宁沪高速,0.002,000905
600378,昊华科技,0.002,000905
600380,健康元,0.002,000905
600390,五矿资本,0.002,000905
600392,盛和资源,0.002,000905
600398,海澜之家,0.002,000905
600435,北方导航,0.002,000905
600483,福能股份,0.002,000905
600486,扬农化工,0.002,000905
600497,驰宏锌锗,0.002,000905
600498,烽火通信,0.002,000905
600499,科达制造,0.002,000905
600511,国药股份,0.002,000905
600516,方大炭素,0.002,000905
600517,国网英大,0.002,000905
600521,华海药业,0.002,000905
600535,天士力,0.002,000905
600536,中国软件,0.002,000905
600546,山煤国际,0.002,000905
600562,国睿科技,0.002,000905
600563,法拉电子,0.002,000905
600566,济川药业,0.002,000905
600578,京能电力,0.002,000905
600582,天地科技,0.002,000905
600583,海油工程,0.002,000905
600595,中孚实业,0.002,000905
600598,北大荒,0.002,000905
600601,方正科技,0.002,000905
600602,云赛智联,0.002,000905
600606,绿地控股,0.002,000905
600637,东方明珠,0.002,000905
600642,申能股份,0.002,000905
600655,豫园股份,0.002,000905
600663,陆家嘴,0.002,000905
600685,中船防务,0.002,000905
600688,上海石化,0.002,000905
600699,均胜电子,0.002,000905
600704,物产中大,0.002,000905
600707,彩虹股份,0.002,000905
600711,盛屯矿业,0.002,000905
600737,中粮糖业,0.002,000905
600754,锦江酒店,0.002,000905
600763,通策医疗,0.002,000905
600764,中国海防,0.002,000905
600765,中航重机,0.002,000905
600801,华新建材,0.002,000905
600808,马钢股份,0.002,000905
600816,建元信托,0.002,000905
600820,隧道股份,0.002,000905
600848,上海临港,0.002,000905
600862,中航高科,0.002,000905
600863,华能蒙电,0.002,000905
600871,石化油服,0.002,000905
600873,梅花生物,0.002,000905
600879,航天电子,0.002,000905
600884,杉杉股份,0.002,000905
600885,宏发股份,0.002,000905
600901,江苏金租,0.002,000905
600906,财达证券,0.002,000905
600909,华安证券,0.002,000905
600927,永安期货,0.002,000905
600967,内蒙一机,0.002,000905
600968,海油发展,0.002,000905
600970,中材国际,0.002,000905
600977,中国电影,0.002,000905
600985,淮北矿业,0.002,000905
600988,赤峰黄金,0.002,000905
600995,南网储能,0.002,000905
600998,九州通,0.002,000905
601000,唐山港,0.002,000905
601001,晋控煤业,0.002,000905
601016,节能风电,0.002,000905
601019,山东出版,0.002,000905
601098,中南传媒,0.002,000905
601099,太平洋,0.002,000905
601106,中国一重,0.002,000905
601108,财通证券,0.002,000905
601112,振石股份,0.002,000905
601118,海南橡胶,0.002,000905
601128,常熟银行,0.002,000905
601139,深圳燃气,0.002,000905
601155,新城控股,0.002,000905
601156,东航物流,0.002,000905
601162,天风证券,0.002,000905
601179,中国西电,0.002,000905
601198,东兴证券,0.002,000905
601212,白银有色,0.002,000905
601216,君正集团,0.002,000905
601228,广州港,0.002,000905
601233,桐昆股份,0.002,000905
601236,红塔证券,0.002,000905
601298,青岛港,0.002,000905
601399,国机重装,0.002,000905
601555,东吴证券,0.002,000905
601567,三星电气,0.002,000905
601577,长沙银行,0.002,000905
601598,中国外运,0.002,000905
601608,中信重工,0.002,000905
601611,中国核建,0.002,000905
601615,明阳智能,0.002,000905
601665,齐鲁银行,0.002,000905
601666,平煤股份,0.002,000905
601696,中银证券,0.002,000905
601699,潞安环能,0.002,000905
601717,中创智领,0.002,000905
601799,星宇股份,0.002,000905
601808,中海油服,0.002,000905
601865,福莱特,0.002,000905
601866,中远海发,0.002,000905
601869,长飞光纤,0.002,000905
601880,辽港股份,0.002,000905
601928,凤凰传媒,0.002,000905
601958,金钼股份,0.002,000905
601966,玲珑轮胎,0.002,000905
601990,南京证券,0.002,000905
601991,大唐发电,0.002,000905
601997,贵阳银行,0.002,000905
603000,人民网,0.002,000905
603049,中策橡胶,0.002,000905
603077,和邦生物,0.002,000905
603087,甘李药业,0.002,000905
603092,德力佳,0.002,000905
603119,浙江荣泰,0.002,000905
603129,春风动力,0.002,000905
603156,养元饮品,0.002,000905
603160,汇顶科技,0.002,000905
603175,超颖电子,0.002,000905
603179,新泉股份,0.002,000905
603225,新凤鸣,0.002,000905
603233,大参林,0.002,000905
603256,宏和科技,0.002,000905
603290,斯达半导,0.002,000905
603298,杭叉集团,0.002,000905
603308,应流股份,0.002,000905
603338,浙江鼎力,0.002,000905
603341,龙旗科技,0.002,000905
603345,安井食品,0.002,000905
603379,三美股份,0.002,000905
603444,吉比特,0.002,000905
603486,科沃斯,0.002,000905
603529,爱玛科技,0.002,000905
603565,中谷物流,0.002,000905
603568,伟明环保,0.002,000905
603589,口子窖,0.002,000905
603596,伯特利,0.002,000905
603605,珀莱雅,0.002,000905
603606,东方电缆,0.002,000905
603650,彤程新材,0.002,000905
603658,安图生物,0.002,000905
603659,璞泰来,0.002,000905
603688,石英股份,0.002,000905
603699,纽威股份,0.002,000905
603728,鸣志电器,0.002,000905
603737,三棵树,0.002,000905
603766,隆鑫通用,0.002,000905
603786,科博达,0.002,000905
603806,福斯特,0.002,000905
603816,顾家家居,0.002,000905
603833,欧派家居,0.002,000905
603858,步长制药,0.002,000905
603885,吉祥航空,0.002,000905
603899,晨光股份,0.002,000905
603920,世运电路,0.002,000905
603939,益丰药房,0.002,000905
603979,金诚信,0.002,000905
605358,立昂微,0.002,000905
605589,圣泉集团,0.002,000905
688002,睿创微纳,0.002,000905
688017,绿的谐波,0.002,000905
688018,乐鑫科技,0.002,000905
688019,安集科技,0.002,000905
688027,国盾量子,0.002,000905
688037,芯源微,0.002,000905
688052,纳芯微,0.002,000905
