0:000013.SZ,000081.SZ,000083.SZ,000101.SZ,000107.SZ,000123.SZ,000135.SZ,000136.SZ,000148.SZ,000152.SZ
1:000168.SZ,000175.SZ,000179.SZ,000189.SZ,000200.SZ,000241.SZ,000242.SZ,000267.SZ,000268.SZ,000285.SZ
2:000288.SZ,000291.SZ,000302.SZ,000303.SZ,000316.SZ,000317.SZ,000323.SZ,000325.SZ,000336.SZ,000354.SZ
3:000358.SZ,000371.SZ,000384.SZ,000386.SZ,000388.SZ,000390.SZ,000392.SZ,000460.SZ,000489.SZ,000494.SZ
4:000512.SZ,000694.SZ,000696.SZ,000772.SZ,000806.SZ,000835.SZ,000836.SZ,000851.SZ,000853.SZ,000857.SZ
5:000861.SZ,000867.SZ,000874.SZ,000916.SZ,000939.SZ,000941.SZ,000956.SZ,000961.SZ,000979.SZ,000991.SZ
6:000992.SZ,001024.SZ,001030.SZ,001044.SZ,001055.SZ,001057.SZ,001060.SZ,001066.SZ,001070.SZ,001071.SZ
7:001072.SZ,001083.SZ,001088.SZ,001093.SZ,001097.SZ,001099.SZ,001108.SZ,001109.SZ,001112.SZ,001113.SZ
8:001114.SZ,001117.SZ,001119.SZ,001128.SZ,001138.SZ,001157.SZ,001164.SZ,001171.SZ,001177.SZ,001186.SZ
9:001193.SZ,001211.SZ,001259.SZ,001347.SZ,001357.SZ,001361.SZ,001364.SZ,001385.SZ,001398.SZ,001415.SZ
10:001448.SZ,001458.SZ,001477.SZ,001478.SZ,001519.SZ,001521.SZ,001530.SZ,001548.SZ,001579.SZ,001585.SZ
11:001610.SZ,001618.SZ,001658.SZ,001675.SZ,001686.SZ,001691.SZ,001729.SZ,001755.SZ,001765.SZ,001766.SZ
12:001768.SZ,001772.SZ,001773.SZ,001787.SZ,001788.SZ,001789.SZ,001797.SZ,001799.SZ,001800.SZ,001801.SZ
13:001810.SZ,001811.SZ,001813.SZ,001816.SZ,001818.SZ,001821.SZ,001836.SZ,001839.SZ,001860.SZ,001873.SZ
14:001876.SZ,001880.SZ,001888.SZ,001898.SZ,001908.SZ,001910.SZ,001918.SZ,001919.SZ,001928.SZ,001929.SZ
15:001951.SZ,001958.SZ,001988.SZ,001989.SZ,001995.SZ,001999.SZ,002040.SZ,002052.SZ,002054.SZ,002066.SZ
16:002086.SZ,002087.SZ,002089.SZ,002105.SZ,002107.SZ,002114.SZ,002118.SZ,002134.SZ,002147.SZ,002173.SZ
17:002178.SZ,002181.SZ,002187.SZ,002193.SZ,002198.SZ,002199.SZ,002201.SZ,002207.SZ,002209.SZ,002210.SZ
18:002211.SZ,002218.SZ,002220.SZ,002231.SZ,002248.SZ,002257.SZ,002278.SZ,002287.SZ,002295.SZ,002297.SZ
19:002298.SZ,002306.SZ,002307.SZ,002316.SZ,002320.SZ,002323.SZ,002325.SZ,002329.SZ,002337.SZ,002339.SZ
20:002341.SZ,002342.SZ,002344.SZ,002346.SZ,002347.SZ,002349.SZ,002355.SZ,002356.SZ,002358.SZ,002359.SZ
21:002360.SZ,002363.SZ,002365.SZ,002369.SZ,002377.SZ,002388.SZ,002393.SZ,002394.SZ,002403.SZ,002404.SZ
22:002411.SZ,002412.SZ,002417.SZ,002421.SZ,002423.SZ,002427.SZ,002433.SZ,002435.SZ,002445.SZ,002447.SZ
23:002450.SZ,002451.SZ,002464.SZ,002473.SZ,002474.SZ,002476.SZ,002477.SZ,002479.SZ,002482.SZ,002485.SZ
24:002486.SZ,002490.SZ,002492.SZ,002495.SZ,002499.SZ,002502.SZ,002503.SZ,002504.SZ,002505.SZ,002509.SZ
