证券代码,证券简称,日期,月涨跌幅
689009.SH,九号公司,20260831,0.58796924468566
689009.SH,九号公司,20260830,0.58796924468566
689009.SH,九号公司,20260829,0.58796924468566
689009.SH,九号公司,20260828,0.58796924468566
689009.SH,九号公司,20260827,0.58796924468566
689009.SH,九号公司,20260826,0.58796924468566
689009.SH,九号公司,20260825,0.58796924468566
689009.SH,九号公司,20260824,0.58796924468566
689009.SH,九号公司,20260823,0.58796924468566
689009.SH,九号公司,20260822,0.58796924468566
689009.SH,九号公司,20260821,0.58796924468566
689009.SH,九号公司,20260820,0.58796924468566
689009.SH,九号公司,20260819,0.58796924468566
689009.SH,九号公司,20260818,0.58796924468566
689009.SH,九号公司,20260817,0.58796924468566
689009.SH,九号公司,20260816,0.58796924468566
689009.SH,九号公司,20260815,0.58796924468566
689009.SH,九号公司,20260814,0.58796924468566
689009.SH,九号公司,20260813,0.58796924468566
689009.SH,九号公司,20260812,0.58796924468566
689009.SH,九号公司,20260811,0.58796924468566
689009.SH,九号公司,20260810,0.58796924468566
689009.SH,九号公司,20260809,0.58796924468566
689009.SH,九号公司,20260808,0.58796924468566
689009.SH,九号公司,20260807,0.58796924468566
689009.SH,九号公司,20260806,0.58796924468566
689009.SH,九号公司,20260805,0.58796924468566
689009.SH,九号公司,20260804,0.58796924468566
689009.SH,九号公司,20260803,0.58796924468566
689009.SH,九号公司,20260802,0.58796924468566
689009.SH,九号公司,20260801,0.58796924468566
689009.SH,九号公司,20260731,15.910878112713
689009.SH,九号公司,20260730,15.910878112713
689009.SH,九号公司,20260729,15.910878112713
689009.SH,九号公司,20260728,15.910878112713
689009.SH,九号公司,20260727,15.910878112713
689009.SH,九号公司,20260726,15.910878112713
689009.SH,九号公司,20260725,15.910878112713
689009.SH,九号公司,20260724,15.910878112713
689009.SH,九号公司,20260723,15.910878112713
689009.SH,九号公司,20260722,15.910878112713
689009.SH,九号公司,20260721,15.910878112713
689009.SH,九号公司,20260720,15.910878112713
689009.SH,九号公司,20260719,15.910878112713
689009.SH,九号公司,20260718,15.910878112713
689009.SH,九号公司,20260717,15.910878112713
689009.SH,九号公司,20260716,15.910878112713
689009.SH,九号公司,20260715,15.910878112713
689009.SH,九号公司,20260714,15.910878112713
689009.SH,九号公司,20260713,15.910878112713
689009.SH,九号公司,20260712,15.910878112713
689009.SH,九号公司,20260711,15.910878112713
689009.SH,九号公司,20260710,15.910878112713
689009.SH,九号公司,20260709,15.910878112713
689009.SH,九号公司,20260708,15.910878112713
689009.SH,九号公司,20260707,15.910878112713
689009.SH,九号公司,20260706,15.910878112713
689009.SH,九号公司,20260705,15.910878112713
689009.SH,九号公司,20260704,15.910878112713
689009.SH,九号公司,20260703,15.910878112713
689009.SH,九号公司,20260702,15.910878112713
689009.SH,九号公司,20260701,15.910878112713
689009.SH,九号公司,20260630,-0.70275897969808
689009.SH,九号公司,20260629,-0.70275897969808
689009.SH,九号公司,20260628,-0.70275897969808
689009.SH,九号公司,20260627,-0.70275897969808
689009.SH,九号公司,20260626,-0.70275897969808
689009.SH,九号公司,20260625,-0.70275897969808
689009.SH,九号公司,20260624,-0.70275897969808
689009.SH,九号公司,20260623,-0.70275897969808
689009.SH,九号公司,20260622,-0.70275897969808
689009.SH,九号公司,20260621,-0.70275897969808
689009.SH,九号公司,20260620,-0.70275897969808
689009.SH,九号公司,20260619,-0.70275897969808
689009.SH,九号公司,20260618,-0.70275897969808
689009.SH,九号公司,20260617,-0.70275897969808
