pipeline_col,type,pipe_nonnull,same_name_orig,same_pearson,same_spearman,same_n,pipe_mean,orig_mean,top_match,agreement,pipe_levels,orig_levels
year,num,9581,year,1.0,,9581.0,2022.4964,2022.4964,"year(r=1.0,n=9581); macro_M2(r=0.9875,n=9576); treasury_30y(r=-0.8738,n=9581); treasury_10y(r=-0.8717,n=9581); treasury_5y(r=-0.8587,n=9581)",,,
quarter,num,9581,quarter,1.0,,9581.0,2.47323,2.47323,"quarter(r=1.0,n=9581); macro_social_financing(r=-0.6517,n=9512); ff5_RMW(r=-0.366,n=9181); macro_CPI_mom(r=-0.3118,n=9576); SMB(r=0.2999,n=8781)",,,
mgr_total_tenure_v2,num,9490,mgr_total_tenure_v2,0.475,,9490.0,1115.84932,2628.58272,"log_fund_age(r=0.4916,n=9490); mgr_total_tenure_v2(r=0.475,n=9490); fund_age(r=0.4586,n=9490); manager_tenure(r=0.3934,n=9490); mgr_best_return(r=0.3768,n=9490)",,,
log_fund_age,num,9581,log_fund_age,0.9611,,9581.0,1.56906,1.86753,"log_fund_age(r=0.9611,n=9581); fund_age(r=0.8403,n=9581); is_first200(r=0.5506,n=9581); ret_1y(r=-0.4047,n=9581); ff4_adj_return(r=-0.362,n=8433)",,,
gender,cat,9406,gender,,,9406.0,,,,0.8873,"['女', '未知', '男']","['女', '未知', '男']"
education,cat,9497,education,,,9497.0,,,,0.8966,"['MBA', '博士', '大学(推测)', '本科', '硕士']","['博士', '大学(推测)', '本科', '硕士']"
CFA,cat,9406,CFA,,,9406.0,,,,0.9613,"['否', '是']","['否', '是']"
school,cat,4397,school,,,3614.0,,,,0.6702,"['9月至2011年7月在中国人民大学学习', '上海交通大学', '上海复旦大学', '上海对外经贸大学', '上海财经大学', '东北财经大学']","['上海交通大学', '上海财经大学', '东北财经大学', '中国人民大学', '中国人民大学经济学博士', '中央财经大学']"
AS_improved,num,4280,AS_improved,0.3254,,4280.0,0.83288,0.83022,"pgr(r=0.5488,n=2771); lsv(r=0.5132,n=904); is_first200(r=0.4889,n=4280); plr(r=0.4734,n=2771); log_fund_age(r=0.373,n=4280)",,,
ICI,num,4279,ICI,0.5085,,4279.0,0.12368,0.07107,"ICI(r=0.5085,n=4279); ICI_std(r=0.5085,n=4279); ICI_original(r=0.5085,n=4279); ICI_z(r=0.5085,n=4279); lsv(r=0.2775,n=904)",,,
industry_hhi,num,4279,industry_hhi,0.2105,,4267.0,0.24095,0.25945,"ICI(r=0.3845,n=4279); ICI_std(r=0.3845,n=4279); ICI_original(r=0.3845,n=4279); ICI_z(r=0.3845,n=4279); macro_M2(r=0.3418,n=4279)",,,
ICI_raw,num,4279,(无同名列),,,,0.10839,,"ICI(r=0.419,n=4279); ICI_std(r=0.419,n=4279); ICI_original(r=0.419,n=4279); ICI_z(r=0.419,n=4279); lsv(r=0.3646,n=904)",,,
industry_hhi_raw,num,4279,(无同名列),,,,0.16849,,"lsv(r=0.3334,n=904); ICI(r=0.3162,n=4279); ICI_std(r=0.3162,n=4279); ICI_original(r=0.3162,n=4279); ICI_z(r=0.3162,n=4279)",,,
SDI,num,4571,SDI,0.2045,,4571.0,0.19439,0.33437,"is_first200(r=0.5341,n=4571); ret_1y(r=-0.3501,n=4571); fund_age(r=0.3323,n=4571); log_fund_age(r=0.331,n=4571); ret_3y(r=-0.3127,n=4571)",,,
TO_calc,num,2133,TO_calc,0.0883,,2133.0,0.9119,1.07308,"TO_calc(r=0.0883,n=2133); subscription(r=0.0779,n=2119); redemption(r=0.0759,n=2123); 晨星评级(r=-0.0641,n=2076); fund_latest_scale_yi(r=-0.062,n=2133)",,,
OCI,num,2115,OCI,-0.0816,,2115.0,0.0,0.05762,"quarter(r=-0.6447,n=2115); macro_social_financing(r=0.6132,n=2115); ff5_RMW(r=0.5347,n=2115); ff5_CMA(r=-0.4779,n=2115); treasury_term_spread(r=-0.4738,n=2115)",,,
TO_two_sided,num,1799,(无同名列),,,,0.88191,,"family_size(r=0.1957,n=1766); log_aum(r=0.138,n=1794); ret_1w(r=0.1352,n=1799); SDI(r=0.1347,n=1799); SDI_std(r=0.1347,n=1799)",,,
