fund_code,year,quarter,report_date
11,2020,1,2020-04-01
11,2020,2,2020-07-01
11,2020,3,2020-10-01
11,2020,4,2021-01-01
11,2021,1,2021-04-01
11,2021,2,2021-07-01
11,2021,3,2021-10-01
11,2021,4,2022-01-01
11,2022,1,2022-04-01
11,2022,2,2022-07-01
11,2022,3,2022-10-01
11,2022,4,2023-01-01
11,2023,1,2023-04-01
11,2023,2,2023-07-01
11,2023,3,2023-10-01
11,2023,4,2024-01-01
11,2024,1,2024-04-01
11,2024,2,2024-07-01
11,2024,3,2024-10-01
11,2024,4,2025-01-01
11,2025,1,2025-04-01
11,2025,2,2025-07-01
11,2025,3,2025-10-01
11,2025,4,2026-01-01
11,2026,1,2026-04-01
11,2026,2,2026-07-01
17,2020,1,2020-04-01
17,2020,2,2020-07-01
17,2020,3,2020-10-01
17,2020,4,2021-01-01
17,2021,1,2021-04-01
17,2021,2,2021-07-01
17,2021,3,2021-10-01
17,2021,4,2022-01-01
17,2022,1,2022-04-01
17,2022,2,2022-07-01
17,2022,3,2022-10-01
17,2022,4,2023-01-01
17,2023,1,2023-04-01
17,2023,2,2023-07-01
17,2023,3,2023-10-01
17,2023,4,2024-01-01
17,2024,1,2024-04-01
17,2024,2,2024-07-01
17,2024,3,2024-10-01
17,2024,4,2025-01-01
17,2025,1,2025-04-01
17,2025,2,2025-07-01
17,2025,3,2025-10-01
17,2025,4,2026-01-01
17,2026,1,2026-04-01
17,2026,2,2026-07-01
20,2020,1,2020-04-01
20,2020,2,2020-07-01
20,2020,3,2020-10-01
20,2020,4,2021-01-01
20,2021,1,2021-04-01
20,2021,2,2021-07-01
20,2021,3,2021-10-01
20,2021,4,2022-01-01
20,2022,1,2022-04-01
20,2022,2,2022-07-01
20,2022,3,2022-10-01
20,2022,4,2023-01-01
20,2023,1,2023-04-01
20,2023,2,2023-07-01
20,2023,3,2023-10-01
20,2023,4,2024-01-01
20,2024,1,2024-04-01
20,2024,2,2024-07-01
20,2024,3,2024-10-01
20,2024,4,2025-01-01
20,2025,1,2025-04-01
20,2025,2,2025-07-01
20,2025,3,2025-10-01
20,2025,4,2026-01-01
20,2026,1,2026-04-01
20,2026,2,2026-07-01
21,2020,1,2020-04-01
21,2020,2,2020-07-01
21,2020,3,2020-10-01
21,2020,4,2021-01-01
21,2021,1,2021-04-01
21,2021,2,2021-07-01
21,2021,3,2021-10-01
21,2021,4,2022-01-01
21,2022,1,2022-04-01
21,2022,2,2022-07-01
21,2022,3,2022-10-01
21,2022,4,2023-01-01
21,2023,1,2023-04-01
21,2023,2,2023-07-01
21,2023,3,2023-10-01
21,2023,4,2024-01-01
21,2024,1,2024-04-01
21,2024,2,2024-07-01
21,2024,3,2024-10-01
21,2024,4,2025-01-01
21,2025,1,2025-04-01
21,2025,2,2025-07-01
21,2025,3,2025-10-01
21,2025,4,2026-01-01
21,2026,1,2026-04-01
21,2026,2,2026-07-01
31,2020,1,2020-04-01
31,2020,2,2020-07-01
31,2020,3,2020-10-01
31,2020,4,2021-01-01
31,2021,1,2021-04-01
31,2021,2,2021-07-01
31,2021,3,2021-10-01
31,2021,4,2022-01-01
31,2022,1,2022-04-01
31,2022,2,2022-07-01
31,2022,3,2022-10-01
31,2022,4,2023-01-01
31,2023,1,2023-04-01
31,2023,2,2023-07-01
31,2023,3,2023-10-01
31,2023,4,2024-01-01
31,2024,1,2024-04-01
31,2024,2,2024-07-01
31,2024,3,2024-10-01
31,2024,4,2025-01-01
31,2025,1,2025-04-01
31,2025,2,2025-07-01
31,2025,3,2025-10-01
31,2025,4,2026-01-01
31,2026,1,2026-04-01
31,2026,2,2026-07-01
61,2020,1,2020-04-01
61,2020,2,2020-07-01
