fund_code,report_date,fund_ret_6m,bench_ret_6m,benchmark_adj_return,coverage,equity_weight,matched_weight,rf_approx_weight,missing_weight,n_components,panel_date
11,2018-06-30,-0.2315476423392322,-0.14250445387832644,-0.08904318846090575,partial,0.8,0.8,0.0,0.2,2,2018-07-01
17,2018-06-30,-0.2315476423392322,-0.11190141886590209,-0.11964622347333011,full,0.8,0.8,0.2,0.0,2,2018-07-01
21,2018-06-30,-0.2315476423392322,-0.14250445387832644,-0.08904318846090575,partial,0.8,0.8,0.0,0.2,2,2018-07-01
31,2018-06-30,-0.2315476423392322,-0.11190141886590209,-0.11964622347333011,full,0.8,0.8,0.2,0.0,2,2018-07-01
73,2018-06-30,-0.2315476423392322,-0.11190141886590209,-0.11964622347333011,full,0.8,0.8,0.2,0.0,2,2018-07-01
308,2018-06-30,-0.2315476423392322,-0.10425066011279599,-0.1272969822264362,full,0.75,0.75,0.25,0.0,2,2018-07-01
522,2018-06-30,-0.2315476423392322,0.01051072118379537,-0.24205836352302756,partial_rf,0.0,0.0,0.2,0.8,2,2018-07-01
601,2018-06-30,-0.2315476423392322,-0.1353730354981615,-0.09617460684107071,full,0.8,0.8,0.2,0.0,2,2018-07-01
845,2018-06-30,-0.2315476423392322,-0.08129838385347772,-0.1502492584857545,full,0.6,0.6,0.4,0.0,2,2018-07-01
1000,2018-06-30,-0.2315476423392322,-0.11190141886590209,-0.11964622347333011,full,0.8,0.8,0.2,0.0,2,2018-07-01
1076,2018-06-30,-0.2315476423392322,-0.14250445387832644,-0.08904318846090575,partial,0.7,0.7,0.0,0.3,2,2018-07-01
1088,2018-06-30,-0.2315476423392322,-0.1353730354981615,-0.09617460684107071,full,0.8,0.8,0.2,0.0,2,2018-07-01
1170,2018-06-30,-0.2315476423392322,-0.06599686634726554,-0.16555077599196666,full,0.5,0.5,0.5,0.0,2,2018-07-01
1475,2018-06-30,-0.2315476423392322,0.0,-0.2315476423392322,partial,0.0,0.0,0.0,1.0,2,2018-07-01
1513,2018-06-30,-0.2315476423392322,0.010510721183795368,-0.24205836352302756,partial_rf,0.0,0.0,0.15,0.85,2,2018-07-01
1723,2018-06-30,-0.2315476423392322,-0.15202862983413554,-0.07951901250509666,full,0.7,0.7,0.3,0.0,2,2018-07-01
1811,2018-06-30,-0.2315476423392322,-0.10425066011279599,-0.1272969822264362,partial_rf,0.6,0.6,0.2,0.2,3,2018-07-01
1881,2018-06-30,-0.2315476423392322,-0.14250445387832644,-0.08904318846090575,partial,0.8,0.8,0.0,0.2,2,2018-07-01
1985,2018-06-30,-0.2315476423392322,-0.09890209632767227,-0.13264554601155992,full,0.6,0.6,0.4,0.0,2,2018-07-01
2125,2018-06-30,-0.2315476423392322,0.01051072118379537,-0.24205836352302756,partial_rf,0.0,0.0,0.2,0.8,3,2018-07-01
2692,2018-06-30,-0.2315476423392322,0.01051072118379537,-0.24205836352302756,partial_rf,0.0,0.0,0.4,0.6,2,2018-07-01
2910,2018-06-30,-0.2315476423392322,-0.17184397466865073,-0.05970366767058147,partial,0.85,0.85,0.0,0.15,2,2018-07-01
4148,2018-06-30,-0.2315476423392322,-0.0889491426065838,-0.14259849973264838,full,0.65,0.65,0.35,0.0,2,2018-07-01
