fund_code,year,quarter,report_date,TO_two_sided,OCI_two_sided,total_buy,total_sell,avg_aum,SDI
11,2020,1,2020-04-01,,,,,,
11,2020,2,2020-07-01,,,,,,
11,2020,3,2020-10-01,,,,,,
11,2020,4,2021-01-01,1.0,0.9285548371365654,534.5,195.15,364.825,
11,2021,1,2021-04-01,,,,,,
11,2021,2,2021-07-01,0.9925402164710188,0.8947851215123797,1207.0199999999998,527.98,874.02,
11,2021,3,2021-10-01,,,,,,
11,2021,4,2022-01-01,0.473316900014061,-1.4556884108734396,1353.56,295.85,1742.395,
11,2022,1,2022-04-01,,,,,,
11,2022,2,2022-07-01,0.5744612165966706,-0.9978179117191827,264.9,1585.79,1610.805,0.24167664603394198
11,2022,3,2022-10-01,,,,,,0.6453788060637065
11,2022,4,2023-01-01,0.6076909457475912,-0.8473901547560319,1864.53,263.47,1750.89,0.8208931780303503
11,2023,1,2023-04-01,,,,,,0.0852594934014615
11,2023,2,2023-07-01,0.6110214472304953,-0.8323132979643225,353.3,1850.08,1803.03,0.5588599131942655
11,2023,3,2023-10-01,,,,,,0.31115867335024716
11,2023,4,2024-01-01,0.992390593405466,0.8941077924243563,3605.98,1036.84,2339.21,0.6833875227363793
11,2024,1,2024-04-01,,,,,,0.4202026992222287
11,2024,2,2024-07-01,0.9669047885741606,0.7787360288519866,2258.77,3524.8,2990.7650000000003,0.22408033506480604
11,2024,3,2024-10-01,,,,,,0.42332115839219625
11,2024,4,2025-01-01,0.935600818315932,0.6370259953876886,3579.2700000000004,2160.2200000000003,3067.275,0.07381287131170228
11,2025,1,2025-04-01,,,,,,0.03957949386955495
11,2025,2,2025-07-01,,,,,,0.19898400249992404
11,2025,3,2025-10-01,,,,,,0.060295543927476075
11,2025,4,2026-01-01,,,,,,1.0961310005840321
11,2026,1,2026-04-01,,,,,,0.5487694542301189
11,2026,2,2026-07-01,,,,,,0.2948040012583728
17,2020,1,2020-04-01,,,,,,
17,2020,2,2020-07-01,,,,,,
17,2020,3,2020-10-01,,,,,,
17,2020,4,2021-01-01,0.9972709739752852,1.2840573007114653,2194.96,13927.86,8083.47,
17,2021,1,2021-04-01,,,,,,
17,2021,2,2021-07-01,0.9942742614006626,1.2604613439659322,5877.47,2193.78,4058.865,
17,2021,3,2021-10-01,,,,,,
17,2021,4,2022-01-01,0.9581198980756582,0.9757837941723854,14256.0,5469.6,10293.91,
17,2022,1,2022-04-01,,,,,,
17,2022,2,2022-07-01,0.6981526078965714,-1.0711849362510146,12108.04,9924.259999999998,15779.0,0.0629972597289924
17,2022,3,2022-10-01,,,,,,0.0850232768174862
17,2022,4,2023-01-01,0.815755267509837,-0.14518779762196804,9398.05,14205.38,14467.225,0.0224239961748168
17,2023,1,2023-04-01,,,,,,0.0012711098608177152
17,2023,2,2023-07-01,0.6594035966889936,-1.3762926066125314,6175.310000000001,8319.99,10991.22,0.005638573499807481
17,2023,3,2023-10-01,,,,,,0.138385995611647
17,2023,4,2024-01-01,0.8419354662798496,0.060953706570993436,6969.55,8469.609999999997,9168.85,0.315406578888517
17,2024,1,2024-04-01,,,,,,0.44674599743997967
17,2024,2,2024-07-01,0.8167854201513506,-0.13707643005996123,6901.65,6873.82,8432.735,0.2551114536801098
17,2024,3,2024-10-01,,,,,,0.12328453671364004
17,2024,4,2025-01-01,0.7260510118751953,-0.8515143748753018,5991.619999999999,6155.089999999999,8364.915,0.2320132865406496
17,2025,1,2025-04-01,,,,,,0.12730451843000323
17,2025,2,2025-07-01,,,,,,0.16686859845951876
17,2025,3,2025-10-01,,,,,,1.0075158281332863
17,2025,4,2026-01-01,,,,,,1.2438453277359187
17,2026,1,2026-04-01,,,,,,0.15113494559466664
