fund_code,year,quarter,report_date,ARG,return_volatility
11,2020,1,2020-04-01,0.02212115776094671,
11,2020,2,2020-07-01,0.06177342334009864,
11,2020,3,2020-10-01,0.04054719509926672,0.22219345405141835
11,2020,4,2021-01-01,0.048593326724981026,0.1818545038795909
11,2021,1,2021-04-01,0.02396742655225686,0.1600746438983195
11,2021,2,2021-07-01,0.015093310813503201,0.14432965342033993
11,2021,3,2021-10-01,0.02124085249819503,0.13768331467327954
11,2021,4,2022-01-01,0.05347168570028326,0.12747862306903907
11,2022,1,2022-04-01,0.01544769793341598,0.13611877576147224
11,2022,2,2022-07-01,0.0632728413947119,0.13204036963561472
11,2022,3,2022-10-01,0.008764470198032927,0.11887271746351623
11,2022,4,2023-01-01,0.03774016592345003,0.11529212797111324
11,2023,1,2023-04-01,0.019602581386736057,0.11560990517443277
11,2023,2,2023-07-01,0.021450032359095594,0.11434076164472398
11,2023,3,2023-10-01,0.011286810690966903,0.11463918060412161
11,2023,4,2024-01-01,0.007879065082038077,0.11354211411583263
11,2024,1,2024-04-01,0.019263234245115977,0.09412104730128605
11,2024,2,2024-07-01,0.0551887176756318,0.05881363242283268
11,2024,3,2024-10-01,0.05450234663723735,0.07276832203524443
11,2024,4,2025-01-01,0.018730437815530042,0.07271909585752978
11,2025,1,2025-04-01,0.008645477165781651,0.07264653838633993
11,2025,2,2025-07-01,0.008206690680743435,0.07200465192265869
11,2025,3,2025-10-01,0.04151713369597025,0.12677325998979133
11,2025,4,2026-01-01,0.0637789388268851,0.11525742968776992
11,2026,1,2026-04-01,0.005656627420568491,0.1143820333591762
11,2026,2,2026-07-01,0.13507217376365868,0.16808503608490985
17,2020,1,2020-04-01,0.06097797187878973,
17,2020,2,2020-07-01,0.043664373070897114,
17,2020,3,2020-10-01,0.07656469549147434,0.15664501689268476
17,2020,4,2021-01-01,0.11092149924273242,0.1569623960835645
17,2021,1,2021-04-01,0.010151670439450332,0.1480296930977151
17,2021,2,2021-07-01,0.04574982303485072,0.13660560821469261
17,2021,3,2021-10-01,0.029436839840020615,0.14206601339783767
17,2021,4,2022-01-01,0.04788670133545504,0.14388687472063774
17,2022,1,2022-04-01,0.05199837291950669,0.15107991784035307
17,2022,2,2022-07-01,0.03875703076122039,0.1232367954695567
17,2022,3,2022-10-01,0.034470860372427706,0.11412749377583074
17,2022,4,2023-01-01,0.12375243788029971,0.11409385423506059
17,2023,1,2023-04-01,0.029660391654599782,0.11567948825722398
17,2023,2,2023-07-01,0.08144167759256911,0.09349013260736615
17,2023,3,2023-10-01,0.01798225177957951,0.09419291612739455
17,2023,4,2024-01-01,0.07646302441683829,0.09813454537667901
17,2024,1,2024-04-01,0.09102601931993891,0.09361900184091514
17,2024,2,2024-07-01,0.08096893374029782,0.07949581266833017
17,2024,3,2024-10-01,0.02726380240012334,0.06650296878052134
17,2024,4,2025-01-01,0.07275838966279774,0.06837024586791839
17,2025,1,2025-04-01,0.08365421079645893,0.0743757060184112
17,2025,2,2025-07-01,0.044075007456771426,0.09265577350660369
17,2025,3,2025-10-01,0.10675386282387063,0.19101768694688018
17,2025,4,2026-01-01,0.027740602147880884,0.1896335592528219
17,2026,1,2026-04-01,0.06738869274334172,0.19441118388583528
17,2026,2,2026-07-01,0.11382605425471057,0.41549285742713843
20,2020,1,2020-04-01,0.06788465885301818,
20,2020,2,2020-07-01,0.05797464109218192,
20,2020,3,2020-10-01,0.037435996993315936,0.09889317213991015
20,2020,4,2021-01-01,0.08130792405902958,0.08075412062959177
20,2021,1,2021-04-01,0.02622203254518584,0.11069903363282486
20,2021,2,2021-07-01,0.045277071444517134,0.10124099831272082
20,2021,3,2021-10-01,0.1299577057559856,0.10970851264777541
20,2021,4,2022-01-01,0.047602225483164534,0.10261410478757352
20,2022,1,2022-04-01,0.047772037563087434,0.13766705983658217
20,2022,2,2022-07-01,0.12939925867526547,0.11930864917686161
20,2022,3,2022-10-01,0.05347657544131066,0.11586621662707515
20,2022,4,2023-01-01,0.032177280824495245,0.1037490325876044
20,2023,1,2023-04-01,0.032220319475586304,0.10211935515963448
20,2023,2,2023-07-01,0.0721588935796022,0.08244781088410179
20,2023,3,2023-10-01,0.03417760584928059,0.08174195828946487
20,2023,4,2024-01-01,0.05953849538445685,0.07855575114788187
