fund_code,year,quarter,report_date,de,pgr,plr,gains_sold,gains_held,losses_sold,losses_held,lsv,risk_asym,n_gain,n_loss
11,2020,1,2020-04-01,,,,,,,,0.1642768189308835,,,
11,2020,2,2020-07-01,0.036363636363636376,0.6363636363636364,0.6,14.0,8.0,12.0,8.0,0.0440064259618058,,,
11,2020,3,2020-10-01,,,,,,,,0.011760751407816617,,,
11,2020,4,2021-01-01,-0.4663865546218487,0.35714285714285715,0.8235294117647058,10.0,18.0,14.0,3.0,0.02370828690697837,,,
11,2021,1,2021-04-01,,,,,,,,0.020324231460467728,,,
11,2021,2,2021-07-01,-0.1591187270501836,0.631578947368421,0.7906976744186046,24.0,14.0,34.0,9.0,0.06765762970301985,,,
11,2021,3,2021-10-01,,,,,,,,0.11025934873447113,0.029812810387965773,5.0,2.0
11,2021,4,2022-01-01,0.06785714285714295,0.8,0.7321428571428571,40.0,10.0,41.0,15.0,0.04595072122307031,0.025324244797463806,6.0,2.0
11,2022,1,2022-04-01,,,,,,,,0.03851281780504676,0.007849566218495363,6.0,2.0
11,2022,2,2022-07-01,-0.28260869565217395,0.5,0.782608695652174,11.0,11.0,54.0,15.0,0.06944627982244814,0.003286502638038799,6.0,2.0
11,2022,3,2022-10-01,,,,,,,,0.04883964026634598,-0.013393949036994528,5.0,3.0
11,2022,4,2023-01-01,0.011702127659574457,0.65,0.6382978723404256,13.0,7.0,30.0,17.0,0.07687496551311757,-0.008018468131002938,5.0,3.0
11,2023,1,2023-04-01,,,,,,,,0.045163201003166585,-0.008671637260101929,5.0,3.0
11,2023,2,2023-07-01,0.23989218328840978,0.8113207547169812,0.5714285714285714,43.0,10.0,20.0,15.0,0.07499177902802273,-0.009814856471371425,4.0,4.0
11,2023,3,2023-10-01,,,,,,,,0.14838807442731108,-0.007642899761125921,4.0,4.0
11,2023,4,2024-01-01,0.35462184873949576,0.9428571428571428,0.5882352941176471,33.0,2.0,50.0,35.0,0.06486726746364985,0.008604156808895466,3.0,5.0
11,2024,1,2024-04-01,,,,,,,,0.0873385610474124,0.022004300026700938,3.0,5.0
11,2024,2,2024-07-01,-0.30869565217391304,0.5,0.808695652173913,13.0,13.0,93.0,22.0,0.08021995089630987,-0.03906564298502724,2.0,6.0
11,2024,3,2024-10-01,,,,,,,,0.11571064124883688,0.03249815844912111,3.0,5.0
11,2024,4,2025-01-01,-0.21995820271682343,0.6436781609195402,0.8636363636363636,56.0,31.0,19.0,3.0,0.05559527458606435,0.029543326151230363,2.0,6.0
11,2025,1,2025-04-01,,,,,,,,0.12229644034217782,0.030146870784390413,2.0,6.0
11,2025,2,2025-07-01,0.13461538461538458,0.75,0.6153846153846154,45.0,15.0,24.0,15.0,0.07885834887050377,0.028583280633604484,3.0,5.0
11,2025,3,2025-10-01,,,,,,,,0.1259993461825536,0.08207639441299516,4.0,4.0
11,2025,4,2026-01-01,-0.20102851799906507,0.6376811594202898,0.8387096774193549,44.0,25.0,26.0,5.0,0.06591794113535852,0.11425195242811895,4.0,4.0
11,2026,1,2026-04-01,,,,,,,,0.0869254133614853,0.11804623035393277,4.0,4.0
11,2026,2,2026-07-01,-0.16000000000000003,0.84,1.0,42.0,8.0,50.0,0.0,0.09807600091701801,0.15898899722762924,5.0,3.0
17,2020,1,2020-04-01,,,,,,,,0.05655976886615573,,,
17,2020,2,2020-07-01,0.06131078224101483,0.6976744186046512,0.6363636363636364,30.0,13.0,7.0,4.0,0.08832827226593525,,,
17,2020,3,2020-10-01,,,,,,,,0.01871550918456486,,,
17,2020,4,2021-01-01,-0.3846153846153846,0.5,0.8846153846153846,14.0,14.0,23.0,3.0,0.05511611249652942,0.04949128127882095,2.0,2.0
