layer,DV,N,R2,var,coef,t,sig
L1-任期,ff5_adj_return,362,0.0639,mgr_total_tenure_v2,0.0,1.2,
L1-任期,ff5_adj_return,362,0.0639,log_aum,0.00102,1.148,
L1-任期,ff5_adj_return,362,0.0639,log_fund_age,-0.00694,-4.39,***
L1-任期,excess_return,400,0.3205,mgr_total_tenure_v2,0.0,0.45,
L1-任期,excess_return,400,0.3205,log_aum,0.00842,3.536,***
L1-任期,excess_return,400,0.3205,log_fund_age,-0.02449,-7.257,***
L1-性别,ff5_adj_return,362,0.0632,gender_m,0.00276,0.753,
L1-性别,ff5_adj_return,362,0.0632,log_aum,0.00118,1.367,
L1-性别,ff5_adj_return,362,0.0632,log_fund_age,-0.00635,-4.38,***
L1-CFA,ff5_adj_return,362,0.0811,cfa_d,-0.02647,-5.341,***
L1-CFA,ff5_adj_return,362,0.0811,log_aum,0.001,1.147,
L1-CFA,ff5_adj_return,362,0.0811,log_fund_age,-0.00617,-4.278,***
L2-持仓,ff5_adj_return,362,0.1339,AS_improved,-0.03924,-2.011,**
L2-持仓,ff5_adj_return,362,0.1339,ICI,0.04325,4.286,***
L2-持仓,ff5_adj_return,362,0.1339,industry_hhi,0.05043,1.402,
L2-持仓,ff5_adj_return,362,0.1339,log_aum,0.00124,1.363,
L2-持仓,ff5_adj_return,362,0.1339,log_fund_age,-0.00356,-2.316,**
L2-持仓,excess_return,400,0.3288,AS_improved,0.02623,0.792,
L2-持仓,excess_return,400,0.3288,ICI,-0.00298,-0.26,
L2-持仓,excess_return,400,0.3288,industry_hhi,0.17726,1.943,
L2-持仓,excess_return,400,0.3288,log_aum,0.00833,3.501,***
L2-持仓,excess_return,400,0.3288,log_fund_age,-0.02343,-6.346,***
L3-交易,ff5_adj_return,200,0.0417,TO_two_sided,0.01725,1.283,
L3-交易,ff5_adj_return,200,0.0417,SDI,0.00372,0.359,
L3-交易,ff5_adj_return,200,0.0417,log_aum,0.00163,1.503,
L3-交易,ff5_adj_return,200,0.0417,log_fund_age,-0.0044,-2.066,**
L3-交易,excess_return,200,0.0503,TO_two_sided,0.00397,0.43,
L3-交易,excess_return,200,0.0503,SDI,-0.00129,-0.138,
L3-交易,excess_return,200,0.0503,log_aum,0.00077,0.892,
L3-交易,excess_return,200,0.0503,log_fund_age,-0.00503,-2.875,***
L4-风险,ff5_adj_return,340,0.1555,ARG,0.04568,2.329,**
L4-风险,ff5_adj_return,340,0.1555,RG,0.06513,2.503,**
L4-风险,ff5_adj_return,340,0.1555,return_volatility,0.14812,3.64,***
L4-风险,ff5_adj_return,340,0.1555,log_aum,0.00024,0.263,
L4-风险,ff5_adj_return,340,0.1555,log_fund_age,-0.00181,-0.914,
L4-风险,excess_return,357,0.494,ARG,0.08369,3.339,***
L4-风险,excess_return,357,0.494,RG,0.09926,2.638,***
L4-风险,excess_return,357,0.494,return_volatility,0.42514,6.396,***
L4-风险,excess_return,357,0.494,log_aum,0.00265,1.726,
L4-风险,excess_return,357,0.494,log_fund_age,-0.00116,-0.525,
L5-认知,ff5_adj_return,362,0.1459,risk_asym,0.11299,2.749,***
L5-认知,ff5_adj_return,362,0.1459,lsv,0.10124,1.643,
L5-认知,ff5_adj_return,362,0.1459,de,-0.07022,-4.232,***
L5-认知,ff5_adj_return,362,0.1459,log_aum,0.00115,1.366,
L5-认知,ff5_adj_return,362,0.1459,log_fund_age,-0.00431,-2.888,***
