fund_code,n_reports,n_stocks,year_min,year_max,median_stocks_per_report,max_stocks_per_report,has_full_report,n_full_reports,in_panel,is_distressed,is_ifind_sample
000011,30,1482,2018,2026,33,141,True,11,True,False,False
000017,30,1134,2018,2026,41,103,True,11,True,False,False
000020,30,1504,2018,2026,47,141,True,14,True,False,False
000021,30,2681,2018,2026,100,254,True,16,True,False,False
000031,30,1291,2018,2026,43,114,True,11,True,False,False
000061,28,1907,2018,2025,77,189,True,16,True,False,False
000073,30,876,2018,2026,33,70,True,5,True,False,False
000263,30,1707,2018,2026,46,165,True,14,True,False,False
000308,30,998,2018,2026,27,105,True,7,True,False,False
000327,30,1801,2018,2026,41,159,True,14,True,False,False
000354,30,609,2018,2026,17,58,True,2,True,False,False
000390,36,1957,2014,2025,48,100,True,17,True,False,False
000404,37,1855,2013,2025,46,100,True,18,True,False,False
000522,30,650,2018,2026,21,54,True,1,True,False,False
000601,30,1456,2018,2026,39,158,True,12,True,False,False
000742,39,1594,2014,2025,37,105,True,14,True,False,False
000800,30,2952,2018,2026,35,470,True,13,True,False,False
000823,33,919,2014,2025,25,77,True,4,True,False,False
000845,37,1056,2014,2025,32,100,True,2,True,False,False
000940,30,1078,2018,2026,32,101,True,9,True,False,False
001000,30,1727,2018,2026,37,181,True,13,True,False,False
001037,29,1361,2015,2025,36,100,True,12,True,False,False
001060,38,869,2015,2025,17,73,True,2,True,False,False
001075,33,1706,2015,2025,54,100,True,18,True,False,False
001076,30,1418,2018,2026,19,172,True,11,True,False,False
001088,30,1334,2018,2026,44,131,True,13,True,False,False
001170,31,1367,2015,2025,35,100,True,11,True,False,False
001184,31,1782,2015,2025,66,100,True,19,True,False,False
001194,35,985,2015,2025,17,100,True,7,True,False,False
001198,29,581,2015,2025,20,44,False,0,True,False,False
001267,30,1333,2015,2025,50,100,True,15,True,False,False
001407,19,175,2015,2019,9,23,False,0,True,False,False
001411,28,1811,2015,2025,83,100,True,18,True,False,False
001412,29,1138,2015,2025,32,100,True,9,True,False,False
001437,33,1264,2015,2025,29,100,True,11,True,False,False
001438,31,1238,2015,2025,31,100,True,11,True,False,False
001475,30,1413,2018,2026,35,131,True,13,True,False,False
001480,30,1228,2015,2025,33,108,True,10,True,False,False
001513,30,2185,2018,2026,57,213,True,16,True,False,False
001664,28,797,2018,2026,12,107,True,4,True,False,False
001665,28,796,2018,2026,12,107,True,4,True,False,False
001702,30,1193,2018,2026,26,127,True,10,True,False,False
001715,25,893,2016,2025,26,98,True,6,True,False,False
001723,30,923,2018,2026,30,77,True,7,True,False,False
001753,27,960,2015,2025,24,100,True,5,True,False,False
001759,26,1332,2017,2025,51,100,True,14,True,False,False
001811,30,1710,2018,2026,64,196,True,16,True,False,False
001856,6,61,2017,2018,10,15,False,0,True,False,False
001881,30,1720,2018,2026,32,180,True,12,True,False,False
001985,28,1466,2018,2026,41,179,True,11,True,False,False
001998,29,938,2016,2025,24,98,True,6,True,False,False
002051,27,1801,2015,2025,84,100,True,18,True,False,False
002112,27,1118,2015,2025,35,100,True,9,True,False,False
002125,21,743,2017,2025,37,59,True,4,True,False,False
002152,28,781,2016,2025,28,64,True,3,True,False,False
002163,27,533,2015,2025,21,39,False,0,True,False,False
002244,28,769,2016,2025,31,59,True,1,True,False,False
002376,41,1360,2016,2026,17,100,True,12,True,False,False
002420,41,1473,2016,2026,13,100,True,12,True,False,False
002450,41,1366,2016,2026,18,100,True,10,True,False,False
002451,41,1368,2016,2026,18,101,True,10,True,False,False
002692,30,1300,2018,2026,34,116,True,9,True,False,False
002910,38,1573,2017,2026,24,100,True,15,True,False,False
003567,30,1884,2018,2026,44,166,True,13,True,False,False
003857,38,1139,2017,2026,16,100,True,7,True,False,False
003858,38,1148,2017,2026,16,100,True,7,True,False,False
003961,38,1548,2017,2026,18,100,True,12,True,False,False
003962,38,1516,2017,2026,13,100,True,12,True,False,False
004148,30,1348,2018,2026,38,120,True,12,True,False,False
004232,30,1990,2018,2026,57,209,True,16,True,False,False
004320,36,636,2017,2026,15,68,True,1,True,False,False
004374,30,1215,2018,2026,23,133,True,9,True,False,False
004375,30,1200,2018,2026,23,133,True,9,True,False,False
005001,30,1310,2018,2026,35,119,True,12,True,False,False
005094,30,1141,2018,2026,29,143,True,7,True,False,False
005119,35,1104,2017,2026,17,92,True,8,True,False,False
005136,30,1857,2018,2026,48,171,True,15,True,False,False
005207,30,1432,2018,2026,54,108,True,16,True,False,False
005449,30,2172,2018,2026,45,238,True,15,True,False,False
005550,33,1300,2018,2026,17,108,True,10,True,False,False
005551,33,1306,2018,2026,17,108,True,10,True,False,False
005729,29,853,2018,2026,14,90,True,6,True,False,False
005765,30,1695,2018,2026,64,196,True,16,True,False,False
005774,29,1079,2018,2026,12,106,True,10,True,False,False
005775,31,851,2018,2026,16,72,True,6,True,False,False
005776,31,846,2018,2026,16,71,True,6,True,False,False
005787,30,1720,2018,2026,32,180,True,12,True,False,False
005819,29,1206,2018,2026,30,136,True,10,True,False,False
