spec,DV,N,var,coef,t,sig
R6-core(不含de/TO),quarter_return,2668,mgr_total_tenure_v2,0.0,0.284,
R6-core(不含de/TO),quarter_return,2668,AS_improved,0.04881,1.132,
R6-core(不含de/TO),quarter_return,2668,ICI,0.02996,1.431,
R6-core(不含de/TO),quarter_return,2668,industry_hhi,0.0092,0.133,
R6-core(不含de/TO),quarter_return,2668,SDI,-0.0028,-0.342,
R6-core(不含de/TO),quarter_return,2668,ARG,0.3425,10.763,***
R6-core(不含de/TO),quarter_return,2668,RG,0.20321,11.968,***
R6-core(不含de/TO),quarter_return,2668,return_volatility,0.89525,8.429,***
R6-core(不含de/TO),quarter_return,2668,risk_asym,0.06382,0.975,
R6-core(不含de/TO),quarter_return,2668,lsv,-0.19139,-3.083,***
R6-core(不含de/TO),quarter_return,2668,pgr,-0.02435,-1.714,
R6-core(不含de/TO),quarter_return,2668,plr,0.0538,3.985,***
R6-core(不含de/TO)-excess,excess_return,2488,mgr_total_tenure_v2,-0.0,-0.543,
R6-core(不含de/TO)-excess,excess_return,2488,AS_improved,0.07018,2.299,**
R6-core(不含de/TO)-excess,excess_return,2488,ICI,-0.00266,-0.185,
R6-core(不含de/TO)-excess,excess_return,2488,industry_hhi,0.08847,1.583,
R6-core(不含de/TO)-excess,excess_return,2488,SDI,0.00719,1.13,
R6-core(不含de/TO)-excess,excess_return,2488,ARG,0.26384,8.916,***
R6-core(不含de/TO)-excess,excess_return,2488,RG,0.19777,14.034,***
R6-core(不含de/TO)-excess,excess_return,2488,return_volatility,0.36809,6.36,***
R6-core(不含de/TO)-excess,excess_return,2488,risk_asym,-0.15145,-3.779,***
R6-core(不含de/TO)-excess,excess_return,2488,lsv,-0.03229,-0.792,
R6-core(不含de/TO)-excess,excess_return,2488,pgr,-0.03023,-2.684,***
R6-core(不含de/TO)-excess,excess_return,2488,plr,0.0584,4.498,***
R6+de,quarter_return,2668,mgr_total_tenure_v2,0.0,0.284,
R6+de,quarter_return,2668,AS_improved,0.04881,1.132,
R6+de,quarter_return,2668,ICI,0.02996,1.43,
R6+de,quarter_return,2668,industry_hhi,0.0092,0.133,
R6+de,quarter_return,2668,SDI,-0.0028,-0.342,
R6+de,quarter_return,2668,ARG,0.3425,10.761,***
R6+de,quarter_return,2668,RG,0.20321,11.966,***
R6+de,quarter_return,2668,return_volatility,0.89525,8.427,***
R6+de,quarter_return,2668,risk_asym,0.06382,0.974,
R6+de,quarter_return,2668,lsv,-0.19139,-3.082,***
R6+de,quarter_return,2668,pgr,0.0017,0.206,
R6+de,quarter_return,2668,plr,0.02775,3.532,***
R6+de,quarter_return,2668,de,-0.02605,-3.267,***
R6+TO,quarter_return,1043,mgr_total_tenure_v2,-1e-05,-1.563,
R6+TO,quarter_return,1043,AS_improved,0.06457,1.018,
R6+TO,quarter_return,1043,ICI,0.00315,0.106,
R6+TO,quarter_return,1043,industry_hhi,0.90241,3.78,***
R6+TO,quarter_return,1043,SDI,0.02098,2.35,**
R6+TO,quarter_return,1043,ARG,0.2448,3.739,***
R6+TO,quarter_return,1043,RG,0.17975,8.084,***
R6+TO,quarter_return,1043,return_volatility,0.50352,4.683,***
R6+TO,quarter_return,1043,risk_asym,-0.07261,-0.947,
R6+TO,quarter_return,1043,lsv,0.07925,1.038,
R6+TO,quarter_return,1043,pgr,-0.0471,-2.567,**
R6+TO,quarter_return,1043,plr,0.09419,4.594,***
R6+TO,quarter_return,1043,TO_two_sided,-0.02193,-0.859,
