fund_code,基本面优势,认知能力,配置选择能力,风险应对能力,风险转化能力,交易执行能力,综合能力,ff5_alpha,quarter_return
11,-1.1651112923814306,-0.5660894013955771,-0.4658471542134717,-1.0466137503855215,-0.3959652153355031,-0.7710356547715147,-0.7351104114138365,-0.0084148888388725,0.03782543193051595
17,-0.6432321631640598,0.0023743523303977887,-0.5417444229896197,-0.0432253467435213,-0.33845629398625937,-0.15326931342273653,-0.2862588646626332,0.0164847649949621,0.08224863054242942
20,-1.0847851291165291,-0.18062439296039748,-0.7758933834479617,-0.5428378792073908,-0.2103057808643445,-0.6887805105951164,-0.5805378460319567,0.0095254252166679,0.04049729068764611
21,-2.1621940568991933,-0.32029883732706105,-0.11276423012902967,-0.33991602343882843,-0.17072280390354577,-0.514361573877404,-0.6033762542625103,0.012186250420382,0.04696746634942339
31,-0.8347855529706063,-0.5480909053088168,-0.1112149709584776,-0.5190001526290804,-0.6470270838488713,-0.24901902848202584,-0.484856282366313,-0.0132287624758803,0.01968800601577388
61,-0.33284873987422553,-0.4034435229404947,-0.3238750480936435,-0.4593409650165264,0.12773069866345801,-1.1834423607512872,-0.4292033230021198,0.0345973353470991,0.06297880604274846
73,-0.14611130985113222,0.08980481863415851,-0.8016296953483772,-0.5592501881919258,-0.4123738971863234,-0.6868433969468685,-0.4194006114817448,0.0298618339942805,0.045911021088867285
263,-1.0018717164083435,-0.04949466145618643,-0.337855234266604,-0.24948364299098597,-0.02176580909964279,-0.5021481640639311,-0.3604365380476156,0.0289038419962925,0.06274734977360663
308,-0.9970986333879018,0.2120430457552933,-0.8416983925315817,-0.4405856442414006,0.24909108514546063,-0.6836120936994926,-0.4169767721599371,0.0201569034228364,0.06701470402567883
327,-0.12406555163502732,-0.8457233317292477,-0.588104873887249,-0.25893830952470825,-0.08708506690491734,-1.1621073843809306,-0.51100408634368,0.0113605716679312,0.055551375266747756
354,-0.19996072659564113,0.16027491799636495,0.20529337371106784,-0.7573588494826684,-0.30087688427403114,-0.33375856677011273,-0.20439778923583676,0.0011142615429632,0.07837980871846824
390,-0.44093139087390326,-0.3874502983298045,-0.5167715946322504,-0.36965904054385146,-0.20566453842167756,-0.23532782921789663,-0.3593007820032306,0.0194793348007424,0.03490323585226159
404,-0.4016409479413685,-0.03615042212859253,-0.14682808892641516,-0.21987405296126275,0.20629052742310874,-0.15458240796449407,-0.12546423208317073,0.0334394588103164,0.07456792333480927
522,-0.160220036298614,0.22326902758628595,1.6871507984807326,0.20524717972385081,0.42870562934919243,-0.12550693076385336,0.3764409446795991,0.0574214690458094,0.08261618718108725
601,-0.4099956988575408,0.01677913070458195,-0.5821941580475649,-0.1709383468041053,-0.2791290585040303,-0.671144376193338,-0.34943708461699957,0.0247740204065876,0.05907417675071679
