fund_code,risk_asym,de,oc_conf,rc_mom,anchor_high,ICI,ISDI,AS_improved,ARG,return_volatility,rsstab_lag,mppm8_lag,sortino8_lag,sharpe8_lag,SDI,lsv,TO_wind_clean,mgr_total_tenure_v2,log_fund_age,log_aum,timing,基金经理人,gender,education,CFA,school,male,has_CFA,master_up,top_school,ff3_alpha,ff5_alpha,ex_hs300
11,0.023443175812912047,-0.066062002224197,1.3160132740341768,0.12317886758929704,0.7892460806236195,0.09785068000000001,0.211860607920772,0.8078556686611443,0.02990966590485768,0.1188502676663236,-0.03273573998092973,-0.012277617848706731,-0.22707270751479094,0.06483932938079935,0.40198692449452444,0.07495560629313294,93.97672504754325,1253.52,2.92043100140734,3.7356217142986456,0.2281404767180433,屠环宇,男,硕士,否,,1.0,0.0,1.0,,0.0171349148926868,-0.0084148888388725,0.015616327705564585
17,0.014555113736865879,-0.15538758505880118,4.7256892328335915,0.16416338545582215,0.8481526071115151,0.21315608,0.3343879932258056,0.8182837008950149,0.05926036571208768,0.12340489934194929,-0.030165039332884228,-0.006296100452258028,-0.07384382100176433,0.027343405267938548,0.27406070520686604,0.09377323326769942,239.53703191419888,2516.72,2.287233807113426,0.5641073846963733,1.5396708825156855,夏钦,男,硕士,否,上海交通大学,1.0,0.0,1.0,1.0,0.0408644027108173,0.0164847649949621,0.03233815476351945
20,0.00962946716115876,-0.1571178435520393,1.4657228794117274,0.10625571839672893,0.8320707524828851,0.12459536,0.3010791451342051,0.7664659730328839,0.054024369591752705,0.09127175670591998,-0.022421630568134,0.010242884806382354,-0.13335601647087258,0.10128101067687337,0.2718376637275737,0.0693367694241853,194.1616188015861,2650.72,2.289493624315807,2.038753770175463,0.8372883324346727,詹成,男,博士,否,,1.0,0.0,1.0,,0.0209325431984867,0.0095254252166679,0.017569656324616656
21,0.037742452956263606,-0.11320923573177955,-3.697370608103495,0.11962684636274239,0.774182947534467,0.1755932,0.19704344864936502,0.7028997167952798,0.048049708351770366,0.12508135688865626,-0.02586169585722453,-0.000628447045376852,0.16971900332279258,0.029304489154151053,0.3010037739891036,0.076818426704169,94.6197153479828,3539.0,2.788149252053844,4.031485288189766,1.1460938239612124,郑晓辉,男,博士,否,,1.0,0.0,1.0,,0.0214635048579368,0.012186250420382,0.019556086398032288
31,0.030891541176485206,-0.09368128377969587,-4.116382256210556,0.1122013392771765,0.7631047229211709,0.12831616,0.1374064802777303,0.8601665356755945,0.04594352399723002,0.1534083382409357,-0.032576932568196174,-0.08487437813354838,0.012786766703024224,-0.04681553711998107,0.36877167896127694,0.0990788309432597,72.71011272779687,980.24,2.7377257528763703,3.1877070526922724,0.9324956646351324,黄皓,男,硕士,否,西南财经大学,1.0,0.0,1.0,0.0,0.0120914723231022,-0.0132287624758803,0.014151923476260144
61,0.053443319094989575,-0.05237170560323565,-5.853474135127522,0.04958471532523615,0.789727355583305,0.15931054166666667,0.2163130959257258,0.764444559700995,0.05696139432883042,0.11290558210059957,-0.02504350554929107,0.07771385250528401,-0.1477607006811811,0.18923593225629307,0.5579317346797735,0.07672745450140858,132.33498798470197,355.16,2.5787375770640244,2.413058255015388,0.918924948554342,连骁,男,硕士,否,,1.0,0.0,1.0,,0.0428692218998994,0.0345973353470991,0.03967898395331606
73,0.02800731208375025,-0.13230419137814703,-7.924567229156426,0.06643900729269263,0.8411585122517754,0.19904908,0.3820139695837393,0.8116296866614444,0.06300736640886238,0.13952248328871267,-0.029498459734625553,-0.006921446506467797,-0.38622037900487705,0.06638059701106686,0.4175386780625439,0.08422057237238287,199.15263633194073,1070.64,2.273275840898416,1.02098285870545,0.7556226397567494,叶敏,女,大学(推测),否,,0.0,0.0,0.0,,0.0279595949232439,0.0298618339942805,0.025829334646300016
263,0.016619510456600338,-0.15614179691248348,-4.270459832617587,0.007368580386779351,0.8166937245377507,0.11907807999999999,0.1976443192964937,0.7602914206236769,0.046815930502177715,0.12402239050647094,-0.026832821237860037,0.04722908417625608,-0.1368714356017467,0.08628480865716436,0.27708070114814065,0.07468352897056009,94.95218592531637,2076.72,2.2201939241967428,2.6658999401912253,1.2969831882058034,单文,男,硕士,否,,1.0,0.0,1.0,,0.0306341061019128,0.0289038419962925,0.03073875260594462
308,0.029346013101938417,-0.10215875909785081,-17.25026589111691,0.01998362866500256,0.8584451557123356,0.12836308000000002,0.31869442988397656,0.7892613255220919,0.07895638769945373,0.10323493333880855,-0.020747496377726833,0.0721526388587994,0.1493360378882869,0.18567910520472466,0.3277748243787101,0.07471726502250106,280.209396173209,2871.72,2.2346376839106497,1.4345037633893925,0.738402704522376,邵卓,男,硕士,否,,1.0,0.0,1.0,,0.0337918072807417,0.0201569034228364,0.0358501811210669
327,0.031808850462601436,-0.03222574897043145,-1.136207934044954,0.22716841395085144,0.7543100914794492,0.26226876,0.37968202288492947,0.777212694278238,0.06486393457710433,0.10477465942757537,-0.024447878599989974,0.03477204668238966,-0.02953150272989724,0.10386613294253137,0.5699814066401694,0.08075894273051644,187.40973976996017,796.04,2.0317904895926686,1.599613501060019,1.171699077731902,钟贇,男,硕士,否,北京大学,1.0,0.0,1.0,1.0,0.0345092324165101,0.0113605716679312,0.028955811583780196
