manager_name,manager_id,school,education,gender,CFA,resume
屠环宇,30693795,,硕士,男,否,"经理屠环宇的档案

查详细资料：


返回基金经理大全





基金经理：屠环宇




基金经理简介：屠环宇先生:中国,金融硕士。2015年7月加入华夏基金管理有限公司,历任投资研究部研究员、基金经理助理,现任华夏创新前沿股票型证券投资基金基金经理(2020年3月23日起任职)、华夏创业板两年定期开放混合型证券投资基金基金经理(2021年2月22日起任职)、华夏时代前沿一年持有期混合型证券投资基金基金经理(2021年8月24日起任职)、华夏科技前沿6个月定期开放混合型证券投资基金基金经理(2022年8月22日起任职)、华夏创新研选混合型证券投资基金基金经理(2022年8月23日起任职)、华夏数字产业混合型证券投资基金基金经理(2024年3月25日至2026年1月13日)、华夏大盘精选证券"
陈伟彦,30132447,厦门大学,硕士,男,否,"基金经理：陈伟彦基金经理简介：陈伟彦先生:中国,厦门大学统计学硕士,2007年1月至2010年3月,曾任华泰联合证券有限责任公司研究员等。2010年3月加入华夏基金管理有限公司,历任研究员、基金经理助理,华夏新锦安灵活配置混合型证券投资基金基金经理(2017年3月7日至2017年8月17日期间)、华夏新锦福灵活配置混合型证券投资基金基金经理(2017年3月7日至2017年8月17日期间)、华夏回报证券投资基金基金经理(2015年11月19日至2017年8月29日期间)、华夏回报二号证券投资基金基金经理(2015年12月14日至2017年8月29日期间)、华夏新锦源灵活配置混合型证券投资基金基金经理(2017年3月7日至2018年3月5日期间)、华夏新锦泰灵活配置混合型证券投资基金基金经理(2016年9月14日至2018年5月25日期间)、华夏新起航灵活配置混合型证券投资基金基金经理(2016年9月14日至2018年7月30日期间)、华夏新锦绣灵活配置混合型证券投资基金基金经理(2016年9月14日至2019年1月31日期间)、华夏红利混合型证券投资基金基金经理(2017年8月29日至2"
佟巍,30333216,美国密歇根大学,硕士,男,否,"基金经理：佟巍基金经理简介：佟巍先生:美国密歇根大学工业工程、金融工程硕士,2008年2月至2009年1月,任雷曼兄弟亚洲投资有限公司、野村国际(香港)有限公司结构化信贷交易部交易员等。2009年1月加入华夏基金管理有限公司,曾任研究员、投资经理等。2015年2月27日起任职华夏大盘精选证券投资基金基金经理,2016年8月18日起任职华夏兴和混合型证券投资基金,2016年8月18日起至2020年5月18日任华夏新活力灵活配置混合型证券投资基金基金经理。2016年9月14日至2020年5月18日担任华夏新锦程灵活配置混合型证券投资基金基金经理。2018年7月24日起至2020年5月18日任华夏行业龙头混合型证券投资基金基金经理。曾任华夏经典配置混合型证券投资基金基金经理。佟巍累计任职时间：7年又129天任职起始日期：2015-02-27现任基金公司：现任基金资产总规模--在管基金最佳任期回报--佟巍管理过的基金一览基金代码基金名称相关链接基金类型规模（亿元）任职时间任职天数任职回报005449华夏行业龙头混合估值图基金吧档案混合型-偏股7.792018-07-24 ~ 2020-05-1"
阳琨,30038120,北京大学MBA,MBA,男,否,"基金经理：阳琨基金经理简介：阳琨先生:北京大学MBA。现任华夏基金管理有限公司党委委员。1995年8月至2001年6月,任中国对外经济贸易信托投资有限公司财务部部门经理;2001年6月至2006年7月,任宝盈基金管理有限公司基金经理助理、益民基金管理有限公司投资部部门经理等;2006年加入华夏基金管理有限公司,历任策略研究员、兴和证券投资基金基金经理(2009年1月1日至2012年1月12日期间)、兴华证券投资基金基金经理(2007年6月12日至2013年4月11日期间)、华夏盛世精选混合型证券投资基金基金经理(2009年12月18日至2015年9月1日期间)、华夏大盘精选证券投资基金基金经理(2015年9月1日至2017年5月2日期间)等,现任华夏基金管理有限公司副总经理、投资总监,华夏兴华混合型证券投资基金基金经理(2013年4月12日起任职)、华夏大中华企业精选灵活配置混合型证券投资基金(QDII)基金经理(2016年1月20日起任职)。2021年2月22日至2022年4月11日担任华夏成长证券投资基金基金经理。2021年11月2日至2024年1月4日担任华夏翔阳两年定期开放混合"
任竞辉,30064310,,大学(推测),未知,否,基金经理：基金经理简介：累计任职时间：任职起始日期：现任基金公司：现任基金资产总规模在管基金最佳任期回报管理过的基金一览基金代码基金名称相关链接基金类型规模（亿元）任职时间任职天数任职回报现任基金业绩与排名详情基金代码基金名称基金类型近三月同类排名近六月同类排名近一年同类排名近两年同类排名今年来同类排名现任基金收益率走势现任基金排名走势暂无数据现任基金投资风格分析股票交易换手率股票投资集中度相关资讯点击查看更多基金资讯>>现任基金的基金吧讨论更多>>同公司基金经理一览更多>>
孙彬,30156863,中国人民大学,硕士,男,否,"基金经理：孙彬基金经理简介：孙彬先生:中国人民大学金融学硕士。2007年7月加入华夏基金管理有限公司,曾任行业研究员、投资研究部总经理助理、基金经理助理等,任投资研究部副总监,华夏行业精选股票型证券投资基金(LOF)基金经理(2012年1月12日起任职)。孙彬累计任职时间：7年又221天任职起始日期：2012-01-12现任基金公司：现任基金资产总规模--在管基金最佳任期回报--孙彬管理过的基金一览基金代码基金名称相关链接基金类型规模（亿元）任职时间任职天数任职回报002604华夏新起点混合A估值图基金吧档案混合型-灵活0.212018-01-17 ~ 2019-08-191年又214天2.18%000011华夏大盘精选混合A估值图基金吧档案混合型-灵活49.592013-09-23 ~ 2015-02-271年又157天19.30%160314华夏行业混合(LOF)估值图基金吧档案混合型-偏股12.742012-01-12 ~ 2019-08-197年又221天97.16%孙彬现任基金业绩与排名详情基金代码基金名称基金类型近三月同类排名近六月同类排名近一年同类排名近两年同类排名今年来"
程海泳,30040199,,大学(推测),未知,否,基金经理：基金经理简介：累计任职时间：任职起始日期：现任基金公司：现任基金资产总规模在管基金最佳任期回报管理过的基金一览基金代码基金名称相关链接基金类型规模（亿元）任职时间任职天数任职回报现任基金业绩与排名详情基金代码基金名称基金类型近三月同类排名近六月同类排名近一年同类排名近两年同类排名今年来同类排名现任基金收益率走势现任基金排名走势暂无数据现任基金投资风格分析股票交易换手率股票投资集中度相关资讯点击查看更多基金资讯>>现任基金的基金吧讨论更多>>同公司基金经理一览更多>>
巩怀志,30037514,,大学(推测),未知,否,基金经理：基金经理简介：累计任职时间：任职起始日期：现任基金公司：现任基金资产总规模在管基金最佳任期回报管理过的基金一览基金代码基金名称相关链接基金类型规模（亿元）任职时间任职天数任职回报现任基金业绩与排名详情基金代码基金名称基金类型近三月同类排名近六月同类排名近一年同类排名近两年同类排名今年来同类排名现任基金收益率走势现任基金排名走势暂无数据现任基金投资风格分析股票交易换手率股票投资集中度相关资讯点击查看更多基金资讯>>现任基金的基金吧讨论更多>>同公司基金经理一览更多>>
王亚伟,30404185,,大学(推测),未知,否,基金经理：基金经理简介：累计任职时间：任职起始日期：现任基金公司：现任基金资产总规模在管基金最佳任期回报管理过的基金一览基金代码基金名称相关链接基金类型规模（亿元）任职时间任职天数任职回报现任基金业绩与排名详情基金代码基金名称基金类型近三月同类排名近六月同类排名近一年同类排名近两年同类排名今年来同类排名现任基金收益率走势现任基金排名走势暂无数据现任基金投资风格分析股票交易换手率股票投资集中度相关资讯点击查看更多基金资讯>>现任基金的基金吧讨论更多>>同公司基金经理一览更多>>
蒋征,30040267,,大学(推测),未知,否,基金经理：基金经理简介：累计任职时间：任职起始日期：现任基金公司：现任基金资产总规模在管基金最佳任期回报管理过的基金一览基金代码基金名称相关链接基金类型规模（亿元）任职时间任职天数任职回报现任基金业绩与排名详情基金代码基金名称基金类型近三月同类排名近六月同类排名近一年同类排名近两年同类排名今年来同类排名现任基金收益率走势现任基金排名走势暂无数据现任基金投资风格分析股票交易换手率股票投资集中度相关资讯点击查看更多基金资讯>>现任基金的基金吧讨论更多>>同公司基金经理一览更多>>
夏钦,30132859,上海交通大学,硕士,男,否,"基金经理：夏钦基金经理简介：夏钦先生:硕士研究生。上海交通大学会计学硕士。历任上海申银万国证券研究所高级研究员,UBS(瑞银)董事,平安资产管理有限责任公司策略研究经理。2015年9月加入财通基金管理有限公司,现任权益公募投资部基金经理。曾任财通行业龙头精选混合型证券投资基金基金经理。2019年7月3日至2021年3月24日担任财通福盛多策略混合型发起式证券投资基金(LOF)基金经理。2019年2月28日至2021年4月19日担任财通新兴蓝筹混合型证券投资基金基金经理。曾任财通多策略福瑞混合型发起式证券投资基金(LOF)基金经理。曾任财通景气行业混合型证券投资基金的基金经理。曾任财通均衡优选一年持有期混合型证券投资基金基金经理。夏钦累计任职时间：10年又89天任职起始日期：2016-05-11现任基金公司：财通基金管理有限公司现任基金资产总规模14.80亿元在管基金最佳任期回报370.10%夏钦管理过的基金一览基金代码基金名称相关链接基金类型规模（亿元）任职时间任职天数任职回报028462财通多策略福享混合(LOF)C估值图基金吧档案混合型-灵活--2026-07-23 ~ 至今14天"
